Time [s],Wavelength [nm],Voltage [V]
3726654014.9309206000,580.0000000000,0.0019606000
3726654021.6287078800,580.1875000000,0.0019525000
3726654022.4982433300,580.4062500000,0.0019382000
3726654023.3702817000,580.5937500000,0.0019749000
3726654024.2393727300,580.8125000000,0.0020832000
3726654025.1093735700,581.0000000000,0.0020913000
3726654025.9797430000,581.1875000000,0.0021056000
3726654026.8490257300,581.4062500000,0.0021301000
3726654027.7181201000,581.5937500000,0.0021730000
3726654028.5891366000,581.8125000000,0.0022312000
3726654029.4624033000,582.0000000000,0.0022506000
3726654030.3293538100,582.1875000000,0.0022660000
3726654031.2004256200,582.4062500000,0.0022986000
3726654032.0695834200,582.5937500000,0.0023517000
3726654032.9395704300,582.8125000000,0.0023568000
3726654033.8113279300,583.0000000000,0.0023609000
3726654034.6815815000,583.1875000000,0.0023844000
3726654035.5524911900,583.4062500000,0.0024038000
3726654036.4212718000,583.5937500000,0.0024865000
3726654037.2902846300,583.8125000000,0.0026908000
3726654038.1627936400,584.0000000000,0.0027255000
3726654039.0363993600,584.1875000000,0.0026724000
3726654039.9053888300,584.4062500000,0.0026622000
3726654040.7750167800,584.5937500000,0.0026969000
3726654041.6449565900,584.8125000000,0.0028930000
3726654042.5152072900,585.0000000000,0.0029440000
3726654043.3798170100,585.1875000000,0.0030849000
3726654044.2491688700,585.4062500000,0.0031013000
3726654045.1164631800,585.5937500000,0.0032177000
3726654045.9844665500,585.8125000000,0.0036976000
3726654046.8551392500,586.0000000000,0.0037936000
3726654047.7255725800,586.1875000000,0.0048281000
3726654048.5957646400,586.4062500000,0.0048893000
3726654049.4682192800,586.5937500000,0.0060300000
3726654050.3373136500,586.8125000000,0.0241413000
3726654051.2070713000,587.0000000000,0.0373255000
3726654052.0765080400,587.1875000000,1.7317474000
3726654052.9455814400,587.4062500000,2.2749134000
3726654053.8169808400,587.5937500000,2.6799574000
3726654054.6859474200,587.8125000000,0.3656398000
3726654055.5569782200,588.0000000000,0.2303664000
3726654056.4259457600,588.1875000000,0.0060402000
3726654057.2939462600,588.4062500000,0.0056409000
3726654058.1649751700,588.5937500000,0.0046790000
3726654059.0349426300,588.8125000000,0.0206510000
3726654059.9049425100,589.0000000000,0.0216691000
3726654060.7739400900,589.1875000000,0.0079426000
3726654061.6441335700,589.4062500000,0.0086084000
3726654062.5144887000,589.5937500000,0.0124051000
3726654063.3807230000,589.8125000000,0.0042358000
3726654064.2512488400,590.0000000000,0.0035159000
3726654065.1208658200,590.1875000000,0.0027153000
3726654065.9937458000,590.4062500000,0.0026948000
3726654066.8627648300,590.5937500000,0.0026336000
3726654067.7325329800,590.8125000000,0.0025539000
3726654068.6018648100,591.0000000000,0.0025274000
3726654069.4706997900,591.1875000000,0.0024539000
3726654070.3458018300,591.4062500000,0.0024600000
3726654071.2151079200,591.5937500000,0.0024396000
3726654072.0841102600,591.8125000000,0.0024355000
3726654072.9531416900,592.0000000000,0.0023854000
3726654073.8225855800,592.1875000000,0.0022843000
3726654074.6945200000,592.4062500000,0.0022721000
3726654075.5642266300,592.5937500000,0.0022506000
3726654076.4352250100,592.8125000000,0.0022302000
3726654077.3050122200,593.0000000000,0.0022241000
3726654078.1783881200,593.1875000000,0.0021261000
3726654079.0638856900,593.4062500000,0.0021138000
3726654079.9425225200,593.5937500000,0.0020668000
3726654080.8213672600,593.8125000000,0.0019892000
3726654081.6977486600,594.0000000000,0.0020158000
3726654082.5789361000,594.1875000000,0.0020485000
3726654083.4532656700,594.4062500000,0.0020260000
3726654084.3252649300,594.5937500000,0.0019729000
3726654085.1952638600,594.8125000000,0.0019075000
3726654086.0642957700,595.0000000000,0.0019014000
3726654086.9342622700,595.1875000000,0.0020709000
3726654087.8141136200,595.4062500000,0.0021424000
3726654088.6862392400,595.5937500000,0.0025396000
3726654089.5554661700,595.8125000000,0.0027500000
3726654090.4268798800,596.0000000000,0.0026867000
3726654091.2976374600,596.1875000000,0.0018361000
3726654092.1813821800,596.4062500000,0.0017830000
3726654093.0635871900,596.5937500000,0.0016379000
3726654093.9415040000,596.8125000000,0.0014766000
3726654094.8128685900,597.0000000000,0.0014541000
3726654095.6897082300,597.1875000000,0.0014317000
3726654096.5670952800,597.4062500000,0.0014419000
3726654097.4485535600,597.5937500000,0.0014276000
3726654098.3238153400,597.8125000000,0.0012867000
3726654099.2034430500,598.0000000000,0.0012867000
3726654100.0744104400,598.1875000000,0.0012969000
3726654100.9443178200,598.4062500000,0.0013132000
3726654101.8312974000,598.5937500000,0.0013684000
3726654102.7134928700,598.8125000000,0.0012846000
3726654103.5953049600,599.0000000000,0.0012581000
3726654104.4753327400,599.1875000000,0.0011662000
3726654105.3434190700,599.4062500000,0.0011580000
3726654106.2190141700,599.5937500000,0.0011457000
3726654107.0905575700,599.8125000000,0.0011988000
3726654107.9662008300,600.0000000000,0.0012009000
3726654108.8318624500,600.1875000000,0.0011478000
3726654109.7039527900,600.4062500000,0.0011417000
