Volume (Å^3), Energy (eV),quadratic fit to left part of parabola (eV)
63.0,-13.41264525,-13.41285573246839
63.005,-13.41276646,-13.412972070641906
63.01,-13.41288738,-13.413088173082748
63.015,-13.41300803,-13.41320403979093
63.02,-13.41312839,-13.413319670766445
63.025,-13.41324847,-13.413435066009288
63.03,-13.41336827,-13.413550225519469
63.035,-13.41348778,-13.413665149296978
63.04,-13.41360701,-13.413779837341824
63.045,-13.41372596,-13.413894289654003
63.05,-13.41384463,-13.414008506233511
63.055,-13.41396302,-13.414122487080355
63.06,-13.41408113,-13.414236232194533
63.065,-13.41419895,-13.414349741576043
63.07,-13.4143165,-13.41446301522489
63.075,-13.41443376,-13.414576053141062
63.08,-13.41455075,-13.414688855324574
63.085,-13.41466745,-13.414801421775415
63.09,-13.41478387,-13.414913752493593
63.095,-13.41490002,-13.4150258474791
63.1,-13.41501588,-13.415137706731944
63.105,-13.41513147,-13.415249330252117
63.11,-13.41524677,-13.415360718039626
63.115,-13.4153618,-13.415471870094471
63.12,-13.41547655,-13.415582786416643
63.125,-13.41559102,-13.41569346700615
63.13,-13.41570521,-13.415803911862994
63.135,-13.41581912,-13.415914120987168
63.14,-13.41593275,-13.416024094378674
63.145,-13.41604611,-13.416133832037513
63.15,-13.41615918,-13.416243333963688
63.155,-13.41627198,-13.416352600157193
63.16,-13.41638451,-13.416461630618034
63.165,-13.41649675,-13.416570425346205
63.17,-13.41660872,-13.416678984341711
63.175,-13.41672041,-13.416787307604547
63.18,-13.41683183,-13.416895395134723
63.185,-13.41694297,-13.417003246932229
63.19,-13.41705383,-13.417110862997067
63.195,-13.41716441,-13.417218243329238
63.2,-13.41727472,-13.417325387928745
63.205,-13.41738476,-13.417432296795578
63.21,-13.41749452,-13.417538969929751
63.215,-13.417604,-13.417645407331253
63.22,-13.41771321,-13.417751609000092
63.225,-13.41782214,-13.417857574936264
63.23,-13.4179308,-13.417963305139764
63.235,-13.41803918,-13.418068799610602
63.24,-13.41814729,-13.418174058348772
63.245,-13.41825513,-13.418279081354274
63.25,-13.41836269,-13.418383868627107
63.255,-13.41846998,-13.418488420167279
63.26,-13.41857699,-13.41859273597478
63.265,-13.41868373,-13.418696816049614
63.27,-13.4187902,-13.418800660391785
63.275,-13.41889639,-13.418904269001285
63.28,-13.41900231,-13.419007641878121
63.285,-13.41910796,-13.419110779022287
63.29,-13.41921333,-13.419213680433788
63.295,-13.41931843,-13.419316346112623
63.3,-13.41942326,-13.419418776058787
63.305,-13.41952782,-13.419520970272288
63.31,-13.41963211,-13.419622928753121
63.315,-13.41973612,-13.419724651501287
63.32,-13.41983987,-13.419826138516786
63.325,-13.41994334,-13.419927389799618
63.33,-13.42004654,-13.420028405349782
63.335,-13.42014947,-13.420129185167283
63.34,-13.42025213,-13.420229729252117
63.345,-13.42035452,-13.42033003760428
63.35,-13.42045664,-13.42043011022378
63.355,-13.42055849,-13.420529947110609
63.36,-13.42066006,-13.420629548264774
63.365,-13.42076137,-13.420728913686272
63.37,-13.42086241,-13.420828043375103
63.375,-13.42096318,-13.420926937331267
63.38,-13.42106368,-13.42102559555476
63.385,-13.42116391,-13.421124018045592
63.39,-13.42126387,-13.421222204803758
63.395,-13.42136357,-13.42132015582925
63.4,-13.42146299,-13.421417871122081
63.405,-13.42156215,-13.421515350682242
63.41,-13.42166104,-13.421612594509739
63.415,-13.42175966,-13.421709602604565
63.42,-13.42185801,-13.421806374966728
63.425,-13.4219561,-13.421902911596224
63.43,-13.42205391,-13.421999212493052
63.435,-13.42215146,-13.422095277657213
63.44,-13.42224875,-13.422191107088707
63.445,-13.42234576,-13.422286700787534
63.45,-13.42244251,-13.422382058753698
63.455,-13.422539,-13.42247718098719
63.46,-13.42263521,-13.422572067488016
63.465,-13.42273117,-13.422666718256174
63.47,-13.42282685,-13.422761133291669
63.475,-13.42292227,-13.422855312594493
63.48,-13.42301742,-13.422949256164653
63.485,-13.42311231,-13.423042964002146
63.49,-13.42320694,-13.423136436106972
63.495,-13.42330129,-13.423229672479128
63.5,-13.42339539,-13.42332267311862
63.505,-13.42348922,-13.423415438025447
63.51,-13.42358278,-13.423507967199605
63.515,-13.42367608,-13.423600260641095
63.52,-13.42376912,-13.423692318349921
63.525,-13.42386189,-13.423784140326077
63.53,-13.4239544,-13.42387572656957
63.535,-13.42404664,-13.423967077080391
63.54,-13.42413862,-13.424058191858549
63.545,-13.42423034,-13.42414907090404
63.55,-13.4243218,-13.42423971421686
63.555,-13.42441299,-13.424330121797016
63.56,-13.42450392,-13.424420293644502
63.565,-13.42459459,-13.424510229759328
63.57,-13.42468499,-13.424599930141483
63.575,-13.42477513,-13.42468939479097
63.58,-13.42486502,-13.424778623707791
63.585,-13.42495464,-13.424867616891948
63.59,-13.42504399,-13.424956374343434
63.595,-13.42513309,-13.425044896062253
63.6,-13.42522193,-13.425133182048409
63.605,-13.4253105,-13.425221232301897
63.61,-13.42539881,-13.425309046822719
63.615,-13.42548687,-13.425396625610873
63.62,-13.42557466,-13.425483968666356
63.625,-13.42566219,-13.425571075989179
63.63,-13.42574947,-13.425657947579328
63.635,-13.42583648,-13.425744583436817
63.64,-13.42592323,-13.425830983561632
63.645,-13.42600972,-13.425917147953786
63.65,-13.42609596,-13.42600307661327
63.655,-13.42618193,-13.42608876954009
63.66,-13.42626765,-13.426174226734243
63.665,-13.42635311,-13.426259448195726
63.67,-13.42643831,-13.426344433924545
63.675,-13.42652325,-13.426429183920693
63.68,-13.42660793,-13.426513698184177
63.685,-13.42669235,-13.426597976714994
63.69,-13.42677652,-13.426682019513144
63.695,-13.42686043,-13.426765826578627
63.7,-13.42694408,-13.426849397911443
63.705,-13.42702747,-13.426932733511595
63.71,-13.42711061,-13.427015833379077
63.715,-13.42719349,-13.427098697513891
63.72,-13.42727611,-13.427181325916042
63.725,-13.42735848,-13.427263718585522
63.73,-13.42744059,-13.427345875522338
63.735,-13.42752244,-13.427427796726484
63.74,-13.42760404,-13.42750948219797
63.745,-13.42768538,-13.42759093193678
63.75,-13.42776647,-13.427672145942928
63.755,-13.4278473,-13.427753124216412
63.76,-13.42792787,-13.427833866757222
63.765,-13.42800819,-13.427914373565372
63.77,-13.42808826,-13.427994644640854
63.775,-13.42816807,-13.428074679983666
63.78,-13.42824763,-13.428154479593811
63.785,-13.42832693,-13.428234043471289
63.79,-13.42840598,-13.428313371616103
63.795,-13.42848477,-13.428392464028246
63.8,-13.42856331,-13.428471320707729
63.805,-13.4286416,-13.428549941654538
63.81,-13.42871963,-13.428628326868683
63.815,-13.42879741,-13.428706476350161
63.82,-13.42887493,-13.428784390098972
63.825,-13.42895221,-13.42886206811512
63.83,-13.42902923,-13.428939510398592
63.835,-13.429106,-13.429016716949405
63.84,-13.42918251,-13.429093687767551
63.845,-13.42925877,-13.429170422853026
63.85,-13.42933479,-13.429246922205838
63.855,-13.42941055,-13.429323185825979
63.86,-13.42948605,-13.429399213713456
63.865,-13.42956131,-13.429475005868266
63.87,-13.42963632,-13.429550562290409
63.875,-13.42971107,-13.429625882979884
63.88,-13.42978557,-13.42970096793669
63.885,-13.42985982,-13.429775817160834
63.89,-13.42993383,-13.429850430652305
63.895,-13.43000758,-13.429924808411116
63.9,-13.43008108,-13.429998950437255
63.905,-13.43015433,-13.430072856730732
63.91,-13.43022733,-13.430146527291537
63.915,-13.43030008,-13.43021996211968
63.92,-13.43037259,-13.430293161215154
63.925,-13.43044484,-13.430366124577958
63.93,-13.43051684,-13.430438852208098
63.935,-13.4305886,-13.430511344105572
63.94,-13.4306601,-13.430583600270378
63.945,-13.43073136,-13.430655620702517
63.95,-13.43080237,-13.430727405401989
63.955,-13.43087313,-13.430798954368797
63.96,-13.43094364,-13.43087026760293
63.965,-13.43101391,-13.430941345104404
63.97,-13.43108393,-13.431012186873208
63.975,-13.4311537,-13.431082792909347
63.98,-13.43122322,-13.43115316321282
63.985,-13.43129249,-13.431223297783621
63.99,-13.43136152,-13.431293196621759
63.995,-13.4314303,-13.43136285972723
64.0,-13.43149884,-13.431432287100034
64.005,-13.43156713,-13.43150147874017
64.01,-13.43163517,-13.43157043464764
64.015,-13.43170297,-13.431639154822445
64.02,-13.43177052,-13.431707639264577
64.025,-13.43183782,-13.431775887974048
64.03,-13.43190488,-13.431843900950852
64.035,-13.4319717,-13.431911678194986
64.04,-13.43203827,-13.431979219706452
64.045,-13.43210459,-13.432046525485255
64.05,-13.43217067,-13.43211359553139
64.055,-13.4322365,-13.432180429844859
64.06,-13.43230209,-13.432247028425657
64.065,-13.43236744,-13.43231339127379
64.07,-13.43243254,-13.432379518389261
64.075,-13.4324974,-13.432445409772061
64.08,-13.43256201,-13.432511065422194
64.085,-13.43262639,-13.43257648533966
64.09,-13.43269051,-13.432641669524461
64.095,-13.4327544,-13.432706617976592
64.1,-13.43281804,-13.432771330696056
64.105,-13.43288144,-13.432835807682856
64.11,-13.43294459,-13.43290004893699
64.115,-13.43300751,-13.432964054458456
64.12,-13.43307018,-13.433027824247251
64.125,-13.43313261,-13.433091358303383
64.13,-13.4331948,-13.43315465662685
64.135,-13.43325674,-13.433217719217648
64.14,-13.43331845,-13.433280546075775
64.145,-13.43337991,-13.433343137201241
64.15,-13.43344113,-13.43340549259404
64.155,-13.43350211,-13.43346761225417
64.16,-13.43356285,-13.433529496181631
64.165,-13.43362335,-13.433591144376425
64.17,-13.43368361,-13.43365255683856
64.175,-13.43374363,-13.43371373356802
64.18,-13.43380341,-13.433774674564816
64.185,-13.43386294,-13.433835379828945
64.19,-13.43392224,-13.433895849360407
64.195,-13.4339813,-13.433956083159199
64.2,-13.43404012,-13.43401608122533
64.205,-13.4340987,-13.43407584355879
64.21,-13.43415704,-13.434135370159584
64.215,-13.43421515,-13.434194661027714
64.22,-13.43427301,-13.434253716163173
64.225,-13.43433064,-13.434312535565969
64.23,-13.43438802,-13.434371119236094
64.235,-13.43444517,-13.434429467173555
64.24,-13.43450208,-13.434487579378345
64.245,-13.43455876,-13.434545455850476
64.25,-13.43461519,-13.434603096589932
64.255,-13.43467139,-13.434660501596724
64.26,-13.43472735,-13.43471767087085
64.265,-13.43478308,-13.434774604412311
64.27,-13.43483856,-13.434831302221102
64.275,-13.43489381,-13.434887764297226
64.28,-13.43494883,-13.434943990640683
64.285,-13.43500361,-13.434999981251476
64.29,-13.43505815,-13.435055736129602
64.295,-13.43511245,-13.435111255275057
64.3,-13.43516652,-13.435166538687849
64.305,-13.43522036,-13.435221586367973
64.31,-13.43527395,-13.43527639831543
64.315,-13.43532732,-13.435330974530217
64.32,-13.43538045,-13.435385315012343
64.325,-13.43543334,-13.4354394197618
64.33,-13.435486,-13.435493288778588
64.335,-13.43553842,-13.43554692206271
64.34,-13.43559061,-13.435600319614164
64.345,-13.43564257,-13.435653481432954
64.35,-13.43569429,-13.435706407519074
64.355,-13.43574578,-13.43575909787253
64.36,-13.43579703,-13.43581155249332
64.365,-13.43584805,-13.435863771381438
64.37,-13.43589884,-13.435915754536893
64.375,-13.43594939,-13.43596750195968
64.38,-13.43599971,-13.436019013649801
64.385,-13.4360498,-13.436070289607255
64.39,-13.43609966,-13.43612132983204
64.395,-13.43614928,-13.43617213432416
64.4,-13.43619867,-13.436222703083615
64.405,-13.43624783,-13.4362730361104
64.41,-13.43629676,-13.436323133404517
64.415,-13.43634546,-13.436372994965971
64.42,-13.43639392,-13.436422620794758
64.425,-13.43644215,-13.436472010890878
64.43,-13.43649015,-13.436521165254327
64.435,-13.43653792,-13.436570083885112
64.44,-13.43658546,-13.43661876678323
64.445,-13.43663277,-13.436667213948681
64.45,-13.43667985,-13.436715425381465
64.455,-13.4367267,-13.436763401081581
64.46,-13.43677332,-13.436811141049034
64.465,-13.43681971,-13.436858645283817
64.47,-13.43686587,-13.436905913785932
64.475,-13.43691179,-13.436952946555383
64.48,-13.43695749,-13.436999743592168
64.485,-13.43700296,-13.437046304896281
64.49,-13.43704821,-13.437092630467728
64.495,-13.43709322,-13.43713872030651
64.5,-13.437138,-13.43718457441263
64.505,-13.43718256,-13.437230192786075
64.51,-13.43722688,-13.437275575426856
64.515,-13.43727098,-13.437320722334974
64.52,-13.43731485,-13.43736563351042
64.525,-13.4373585,-13.4374103089532
64.53,-13.43740191,-13.437454748663313
64.535,-13.4374451,-13.437498952640762
64.54,-13.43748806,-13.437542920885544
64.545,-13.43753079,-13.437586653397656
64.55,-13.4375733,-13.4376301501771
64.555,-13.43761558,-13.437673411223884
64.56,-13.43765764,-13.437716436537997
64.565,-13.43769946,-13.43775922611944
64.57,-13.43774106,-13.437801779968218
64.575,-13.43778244,-13.437844098084334
64.58,-13.43782359,-13.437886180467778
64.585,-13.43786451,-13.437928027118556
64.59,-13.43790521,-13.437969638036666
64.595,-13.43794568,-13.438011013222113
64.6,-13.43798593,-13.438052152674889
64.605,-13.43802595,-13.438093056394997
64.61,-13.43806575,-13.438133724382443
64.615,-13.43810532,-13.43817415663722
64.62,-13.43814467,-13.438214353159331
64.625,-13.43818379,-13.438254313948772
64.63,-13.43822269,-13.438294039005552
64.635,-13.43826137,-13.438333528329661
64.64,-13.43829982,-13.438372781921103
64.645,-13.43833805,-13.438411799779878
64.65,-13.43837606,-13.438450581905986
64.655,-13.43841384,-13.43848912829943
64.66,-13.4384514,-13.438527438960204
64.665,-13.43848874,-13.43856551388831
64.67,-13.43852585,-13.438603353083757
64.675,-13.43856274,-13.438640956546529
64.68,-13.43859941,-13.438678324276637
64.685,-13.43863586,-13.438715456274075
64.69,-13.43867208,-13.438752352538852
64.695,-13.43870809,-13.438789013070956
64.7,-13.43874387,-13.438825437870396
64.705,-13.43877943,-13.438861626937168
64.71,-13.43881477,-13.438897580271277
64.715,-13.43884988,-13.438933297872715
64.72,-13.43888478,-13.438968779741487
64.725,-13.43891946,-13.43900402587759
64.73,-13.43895391,-13.439039036281034
64.735,-13.43898815,-13.439073810951804
64.74,-13.43902216,-13.43910834988991
64.745,-13.43905596,-13.439142653095345
64.75,-13.43908953,-13.43917672056812
64.755,-13.43912289,-13.439210552308221
64.76,-13.43915603,-13.439244148315659
64.765,-13.43918894,-13.439277508590429
64.77,-13.43922164,-13.439310633132536
64.775,-13.43925412,-13.439343521941971
64.78,-13.43928638,-13.43937617501874
64.785,-13.43931842,-13.439408592362845
64.79,-13.43935024,-13.439440773974283
64.795,-13.43938185,-13.43947271985305
64.8,-13.43941323,-13.43950442999915
64.805,-13.4394444,-13.439535904412587
64.81,-13.43947535,-13.439567143093356
64.815,-13.43950608,-13.439598146041458
64.82,-13.4395366,-13.439628913256893
64.825,-13.4395669,-13.439659444739664
64.83,-13.43959698,-13.439689740489762
64.835,-13.43962684,-13.439719800507195
64.84,-13.43965649,-13.439749624791961
64.845,-13.43968592,-13.439779213344064
64.85,-13.43971514,-13.4398085661635
64.855,-13.43974413,-13.439837683250264
64.86,-13.43977292,-13.439866564604362
64.865,-13.43980148,-13.4398952102258
64.87,-13.43982984,-13.439923620114563
64.875,-13.43985797,-13.439951794270662
64.88,-13.43988589,-13.439979732694091
64.885,-13.4399136,-13.44000743538486
64.89,-13.43994109,-13.440034902342958
64.895,-13.43996836,-13.44006213356839
64.9,-13.43999542,-13.440089129061153
64.905,-13.44002227,-13.440115888821254
64.91,-13.4400489,-13.440142412848683
64.915,-13.44007532,-13.440168701143449
64.92,-13.44010152,-13.440194753705544
64.925,-13.44012752,-13.440220570534976
64.93,-13.44015329,-13.44024615163174
64.935,-13.44017886,-13.440271496995834
64.94,-13.44020421,-13.440296606627268
64.945,-13.44022934,-13.440321480526027
64.95,-13.44025427,-13.440346118692123
64.955,-13.44027898,-13.440370521125551
64.96,-13.44030348,-13.440394687826316
64.965,-13.44032777,-13.44041861879441
64.97,-13.44035184,-13.440442314029838
64.975,-13.4403757,-13.440465773532598
64.98,-13.44039935,-13.440488997302694
64.985,-13.44042279,-13.440511985340123
64.99,-13.44044602,-13.440534737644882
64.995,-13.44046904,-13.440557254216976
65.0,-13.44049184,-13.440579535056408
65.005,-13.44051444,-13.440601580163165
65.01,-13.44053682,-13.440623389537258
65.015,-13.44055899,-13.440644963178684
65.02,-13.44058096,-13.440666301087447
65.025,-13.44060271,-13.440687403263539
65.03,-13.44062425,-13.440708269706963
65.035,-13.44064559,-13.44072890041772
65.04,-13.44066671,-13.440749295395815
65.045,-13.44068762,-13.440769454641242
65.05,-13.44070833,-13.440789378153998
65.055,-13.44072882,-13.440809065934086
65.06,-13.44074911,-13.440828517981515
65.065,-13.44076918,-13.44084773429627
65.07,-13.44078905,-13.44086671487836
65.075,-13.44080871,-13.440885459727784
65.08,-13.44082816,-13.440903968844545
65.085,-13.4408474,-13.440922242228634
65.09,-13.44086644,-13.440940279880056
65.095,-13.44088527,-13.440958081798811
65.1,-13.44090389,-13.440975647984903
65.105,-13.4409223,-13.440992978438324
65.11,-13.4409405,-13.441010073159081
65.115,-13.4409585,-13.441026932147171
65.12,-13.44097629,-13.441043555402594
65.125,-13.44099388,-13.441059942925346
65.13,-13.44101125,-13.441076094715434
65.135,-13.44102842,-13.441092010772856
65.14,-13.44104539,-13.44110769109761
65.145,-13.44106215,-13.441123135689697
65.15,-13.4410787,-13.441138344549117
65.155,-13.44109505,-13.441153317675873
65.16,-13.44111119,-13.441168055069959
65.165,-13.44112712,-13.44118255673138
65.17,-13.44114286,-13.441196822660132
65.175,-13.44115838,-13.44121085285622
65.18,-13.4411737,-13.44122464731964
65.185,-13.44118882,-13.44123820605039
65.19,-13.44120373,-13.441251529048476
65.195,-13.44121844,-13.441264616313894
65.2,-13.44123294,-13.441277467846646
65.205,-13.44124724,-13.44129008364673
65.21,-13.44126133,-13.441302463714152
65.215,-13.44127523,-13.441314608048902
65.22,-13.44128891,-13.441326516650985
65.225,-13.4413024,-13.441338189520401
65.23,-13.44131568,-13.441349626657153
65.235,-13.44132876,-13.441360828061239
65.24,-13.44134163,-13.441371793732653
65.245,-13.44135431,-13.441382523671404
65.25,-13.44136678,-13.441393017877484
65.255,-13.44137905,-13.441403276350904
65.26,-13.44139111,-13.441413299091653
65.265,-13.44140298,-13.441423086099736
65.27,-13.44141464,-13.44143263737515
65.275,-13.4414261,-13.441441952917899
65.28,-13.44143736,-13.44145103272798
65.285,-13.44144842,-13.441459876805393
65.29,-13.44145928,-13.441468485150143
65.295,-13.44146993,-13.441476857762225
65.3,-13.44148039,-13.441484994641637
65.305,-13.44149064,-13.441492895788386
65.31,-13.4415007,-13.441500561202467
65.315,-13.44151055,-13.441507990883881
65.32,-13.44152021,-13.441515184832625
65.325,-13.44152966,-13.441522143048704
65.33,-13.44153892,-13.44152886553212
65.335,-13.44154797,-13.441535352282866
65.34,-13.44155683,-13.441541603300944
65.345,-13.44156549,-13.441547618586355
65.35,-13.44157394,-13.441553398139103
65.355,-13.4415822,-13.441558941959183
65.36,-13.44159026,-13.441564250046593
65.365,-13.44159812,-13.441569322401335
65.37,-13.44160579,-13.441574159023418
65.375,-13.44161325,-13.441578759912826
65.38,-13.44162052,-13.44158312506957
65.385,-13.44162759,-13.441587254493648
65.39,-13.44163446,-13.441591148185058
65.395,-13.44164114,-13.4415948061438
65.4,-13.44164761,-13.441598228369877
65.405,-13.44165389,-13.441601414863285
65.41,-13.44165998,-13.44160436562403
65.415,-13.44166586,-13.441607080652108
65.42,-13.44167155,-13.441609559947516
65.425,-13.44167704,-13.44161180351026
65.43,-13.44168234,-13.441613811340336
65.435,-13.44168744,-13.441615583437741
65.44,-13.44169235,-13.441617119802483
65.445,-13.44169706,-13.441618420434558
65.45,-13.44170157,-13.441619485333966
65.455,-13.44170589,-13.441620314500707
65.46,-13.44171001,-13.44162090793478
65.465,-13.44171394,-13.44162126563619
65.47,-13.44171767,-13.441621387604929
65.475,-13.44172121,-13.441621273841001
65.48,-13.44172455,-13.441620924344406
65.485,-13.4417277,-13.441620339115147
65.49,-13.44173065,-13.441619518153221
65.495,-13.44173342,-13.441618461458624
65.5,-13.44173598,-13.441617169031364
65.505,-13.44173836,-13.441615640871436
65.51,-13.44174054,-13.441613876978842
65.515,-13.44174252,-13.44161187735358
65.52,-13.44174431,-13.441609641995651
65.525,-13.44174592,-13.441607170905058
65.53,-13.44174732,-13.441604464081795
65.535,-13.44174854,-13.441601521525865
65.54,-13.44174956,-13.441598343237267
65.545,-13.44175039,-13.441594929216006
65.55,-13.44175103,-13.441591279462077
65.555,-13.44175147,-13.441587393975478
65.56,-13.44175173,-13.441583272756215
65.565,-13.44175179,-13.441578915804286
65.57,-13.44175166,-13.441574323119688
65.575,-13.44175134,-13.44156949470242
65.58,-13.44158523,-13.441564430552493
65.585,-13.44158454,-13.441559130669894
65.59,-13.44158365,-13.441553595054629
65.595,-13.44158258,-13.441547823706696
65.6,-13.44158132,-13.4415418166261
65.605,-13.44157986,-13.441535573812835
65.61,-13.44157822,-13.441529095266901
65.615,-13.44157638,-13.4415223809883
65.62,-13.44157436,-13.441515430977034
65.625,-13.44157215,-13.441508245233102
65.63,-13.44156975,-13.441500823756503
65.635,-13.44156716,-13.441493166547232
65.64,-13.44156438,-13.441485273605302
65.645,-13.44156141,-13.441477144930701
65.65,-13.44155825,-13.441468780523433
65.655,-13.44155491,-13.441460180383498
65.66,-13.44155138,-13.441451344510899
65.665,-13.43897787,-13.441442272905629
65.67,-13.43897411,-13.441432965567692
65.675,-13.43897017,-13.441423422497092
65.68,-13.43896603,-13.441413643693824
65.685,-13.43896171,-13.44140362915789
65.69,-13.4389572,-13.441393378889284
65.695,-13.43895251,-13.441382892888019
65.7,-13.43894762,-13.441372171154082
65.705,-13.43894255,-13.441361213687475
65.71,-13.43893729,-13.441350020488205
65.715,-13.43893185,-13.441338591556267
65.72,-13.43892621,-13.441326926891666
65.725,-13.43892039,-13.441315026494394
65.73,-13.43891438,-13.441302890364458
65.735,-13.43890819,-13.441290518501852
65.74,-13.43890181,-13.441277910906582
65.745,-13.43889524,-13.441265067578644
65.75,-13.43888848,-13.441251988518037
65.755,-13.43888154,-13.441238673724769
65.76,-13.43887441,-13.441225123198826
65.765,-13.43886709,-13.44121133694022
65.77,-13.43885959,-13.441197314948948
65.775,-13.4388519,-13.441183057225008
65.78,-13.43884402,-13.441168563768404
65.785,-13.43883595,-13.44115383457913
65.79,-13.4388277,-13.441138869657188
65.795,-13.43881926,-13.441123669002582
65.8,-13.43881064,-13.44110823261531
65.805,-13.43880183,-13.441092560495367
65.81,-13.43879283,-13.441076652642757
65.815,-13.43878364,-13.441060509057486
65.82,-13.43877427,-13.441044129739545
65.825,-13.43876471,-13.441027514688933
65.83,-13.43875497,-13.441010663905658
65.835,-13.43874504,-13.440993577389719
65.84,-13.43873492,-13.44097625514111
65.845,-13.43872462,-13.440958697159832
65.85,-13.43871413,-13.440940903445892
65.855,-13.43870345,-13.44092287399928
65.86,-13.43869259,-13.440904608820006
65.865,-13.43868154,-13.44088610790806
65.87,-13.4386703,-13.440867371263447
65.875,-13.43865888,-13.440848398886175
65.88,-13.43864727,-13.440829190776228
65.885,-13.43863548,-13.440809746933617
65.89,-13.4386235,-13.44079006735834
65.895,-13.43861134,-13.440770152050398
65.9,-13.43859898,-13.440750001009786
65.905,-13.43858645,-13.440729614236503
65.91,-13.43857372,-13.440708991730563
65.915,-13.43856081,-13.44068813349195
65.92,-13.43854772,-13.440667039520669
65.925,-13.43853444,-13.440645709816721
65.93,-13.43852097,-13.44062414438011
65.935,-13.43850732,-13.44060234321083
65.94,-13.43849348,-13.440580306308885
65.945,-13.43847945,-13.440558033674268
65.95,-13.43846524,-13.440535525306991
65.955,-13.43845085,-13.440512781207044
65.96,-13.43843627,-13.440489801374426
65.965,-13.4384215,-13.440466585809144
65.97,-13.43840655,-13.440443134511199
65.975,-13.43839141,-13.440419447480583
65.98,-13.43837609,-13.440395524717303
65.985,-13.43836058,-13.440371366221353
65.99,-13.43834489,-13.440346971992739
65.995,-13.43832901,-13.440322342031457
66.0,-13.43831295,-13.440297476337506
66.005,-13.4382967,-13.44027237491089
66.01,-13.43828026,-13.440247037751607
66.015,-13.43826364,-13.440221464859658
66.02,-13.43824684,-13.44019565623504
66.025,-13.43822985,-13.440169611877756
66.03,-13.43821267,-13.440143331787809
66.035,-13.43819531,-13.44011681596519
66.04,-13.43817777,-13.440090064409905
66.045,-13.43816004,-13.440063077121952
