Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
4.04288125, 10.34536303, 1.91130540, 4.19480647, -0.00109050, 12.24921758, 12.43504341, 3.81041950, 0.15702410
4.01428395, 10.40437369, 1.96223934, 4.12864813, -0.07461573, 12.19086919, 12.43386914, 3.86547812, 0.07275848
3.99524377, 10.42844868, 2.02306901, 4.04181979, -0.10181107, 12.15086524, 12.41751847, 3.92346860, -0.00825684
3.99297384, 10.41425743, 2.08279674, 3.95111024, -0.06322899, 12.14960118, 12.38808455, 3.97571766, -0.07722194
4.01104870, 10.36797438, 2.13206673, 3.88360492, 0.02640435, 12.18267662, 12.35173211, 4.01240602, -0.12708502
4.04900782, 10.30173111, 2.16354428, 3.85974831, 0.12684217, 12.22769806, 12.31885582, 4.02981033, -0.15877881
4.09974380, 10.22698731, 2.17269038, 3.87862186, 0.20310806, 12.26489507, 12.29489069, 4.03334821, -0.17877637
4.14828400, 10.15155711, 2.16307281, 3.92581141, 0.23965052, 12.28130352, 12.27614680, 4.03278766, -0.19219865
4.17976253, 10.07787701, 2.14660581, 3.98545872, 0.23758096, 12.27303499, 12.25387184, 4.03525976, -0.19947757
4.18750805, 10.00944711, 2.13727321, 4.04615868, 0.20757636, 12.24523431, 12.22122865, 4.04365757, -0.19823177
4.17714224, 9.95489823, 2.14092929, 4.10086579, 0.16189308, 12.20760223, 12.17770364, 4.05792810, -0.18768722
4.16147670, 9.92545448, 2.15220562, 4.14030836, 0.11110060, 12.17282557, 12.12794930, 4.07741692, -0.16994344
4.15192435, 9.93109597, 2.16086470, 4.15085869, 0.06516198, 12.15650637, 12.08210781, 4.10016790, -0.14867150
4.15410331, 9.97394334, 2.15857159, 4.12674801, 0.03221821, 12.16914464, 12.05289986, 4.12053278, -0.12521698
4.16739413, 10.04744807, 2.14361987, 4.08215305, 0.01392751, 12.20493015, 12.05256525, 4.12537620, -0.09757719
4.18576653, 10.14158363, 2.11659077, 4.04243158, 0.00531839, 12.24852071, 12.08957962, 4.09438198, -0.05712747
4.19951867, 10.24595037, 2.07575794, 4.02668737, -0.00216119, 12.29070057, 12.15892582, 4.01807817, 0.00451364
4.19806624, 10.35131911, 2.01760512, 4.04044238, -0.01627305, 12.33008821, 12.23782789, 3.91445712, 0.07751610
4.17226637, 10.45501001, 1.94180372, 4.07760698, -0.03908152, 12.36804417, 12.30135197, 3.81954657, 0.13003431
4.11888008, 10.55205420, 1.85747090, 4.12580497, -0.06680920, 12.40499397, 12.33927662, 3.76524035, 0.13140372
4.04832576, 10.63038717, 1.78073260, 4.17196393, -0.09296976, 12.44000419, 12.35403647, 3.75751339, 0.08149585
3.98122469, 10.67210684, 1.72884432, 4.20413442, -0.10940106, 12.47224847, 12.35415858, 3.77904387, 0.00522593
3.93608445, 10.66672974, 1.71771477, 4.21315210, -0.10972101, 12.50207004, 12.34567142, 3.81410281, -0.07381072
3.91696804, 10.61951897, 1.74977527, 4.19419375, -0.09373434, 12.52821266, 12.32998421, 3.85791263, -0.14277694
3.91823803, 10.54856178, 1.81304069, 4.14573316, -0.06881299, 12.54500145, 12.30672780, 3.91314000, -0.19679683
3.93295583, 10.47004385, 1.89076851, 4.07274575, -0.04233323, 12.54251711, 12.27397102, 3.98600383, -0.23460411
3.95620053, 10.39024423, 1.97065417, 3.99274657, -0.01401848, 12.50818562, 12.22991483, 4.08391697, -0.25642432
3.98724708, 10.30999536, 2.04694231, 3.93002670, 0.02069192, 12.43672423, 12.17682673, 4.20876836, -0.26157326
4.02829325, 10.22968639, 2.11677145, 3.90056980, 0.06179816, 12.34099069, 12.12580548, 4.34809798, -0.24660365
4.08317047, 10.15213405, 2.17589929, 3.90606122, 0.10226533, 12.24607187, 12.09161697, 4.47418206, -0.20558167
4.15402598, 10.08100209, 2.22087190, 3.93784046, 0.13005432, 12.16977653, 12.08183710, 4.55861367, -0.13472439
4.23480276, 10.01974510, 2.25009604, 3.98272080, 0.13027834, 12.12103530, 12.09453309, 4.58785991, -0.03964743
4.31336815, 9.97070148, 2.26489160, 4.02910975, 0.09370996, 12.10297524, 12.12196968, 4.56538840, 0.06180147
