q (1/Å), Static structure factor S(q)
1.84478285e-02, -1.83255065e-06
5.53434856e-02, -1.83255065e-06
9.22391426e-02, 0.00000000e+00
1.29134800e-01, 0.00000000e+00
1.66030457e-01, 0.00000000e+00
2.02926114e-01, 0.00000000e+00
2.39821771e-01, 0.00000000e+00
2.76717428e-01, 2.41247493e-02
3.13613085e-01, 2.41247493e-02
3.50508742e-01, 2.41247493e-02
3.87404399e-01, 2.41247493e-02
4.24300056e-01, 2.41247493e-02
4.61195713e-01, 2.47850014e-02
4.98091370e-01, 2.47850014e-02
5.34987027e-01, 2.47850014e-02
5.71882684e-01, 2.61825216e-02
6.08778341e-01, 2.61825216e-02
6.45673998e-01, 3.08918717e-02
6.82569655e-01, 3.08918717e-02
7.19465312e-01, 3.08918717e-02
7.56360969e-01, 3.27070561e-02
7.93256626e-01, 3.27070561e-02
8.30152283e-01, 3.35507902e-02
8.67047940e-01, 3.35507902e-02
9.03943597e-01, 3.35507902e-02
9.40839254e-01, 3.35953370e-02
9.77734911e-01, 3.68151699e-02
1.01463057e+00, 4.15926536e-02
1.05152623e+00, 4.15926536e-02
1.08842188e+00, 4.37233501e-02
1.12531754e+00, 4.37233501e-02
1.16221320e+00, 4.55252125e-02
1.19910885e+00, 4.78774850e-02
1.23600451e+00, 4.78774850e-02
1.27290017e+00, 5.35793406e-02
1.30979582e+00, 5.62584286e-02
1.34669148e+00, 5.79232242e-02
1.38358714e+00, 6.11025526e-02
1.42048280e+00, 6.11025526e-02
1.45737845e+00, 7.30923193e-02
1.49427411e+00, 8.21122319e-02
1.53116977e+00, 8.56204189e-02
1.56806542e+00, 9.40257305e-02
1.60496108e+00, 1.00086224e-01
1.64185674e+00, 1.11430566e-01
1.67875240e+00, 1.19312984e-01
1.71564805e+00, 1.28253517e-01
1.75254371e+00, 1.57831797e-01
1.78943937e+00, 1.88785728e-01
1.82633502e+00, 2.01810190e-01
1.86323068e+00, 2.01810190e-01
1.90012634e+00, 2.35496866e-01
1.93702199e+00, 2.66098443e-01
1.97391765e+00, 2.96301408e-01
2.01081331e+00, 3.21440200e-01
2.04770897e+00, 3.49901799e-01
2.08460462e+00, 4.32807374e-01
2.12150028e+00, 5.15157827e-01
2.15839594e+00, 5.42176267e-01
2.19529159e+00, 5.95965909e-01
2.23218725e+00, 6.20373995e-01
2.26908291e+00, 7.07609784e-01
2.30597856e+00, 9.12939303e-01
2.34287422e+00, 9.77068171e-01
2.37976988e+00, 1.07941432e+00
2.41666554e+00, 1.24243661e+00
2.45356119e+00, 1.28584317e+00
2.49045685e+00, 1.64239158e+00
2.52735251e+00, 1.83216786e+00
2.56424816e+00, 1.90037847e+00
2.60114382e+00, 2.25143989e+00
2.63803948e+00, 2.30258723e+00
2.67493513e+00, 2.38691134e+00
2.71183079e+00, 2.48163766e+00
2.74872645e+00, 2.45898394e+00
2.78562211e+00, 2.44144821e+00
2.82251776e+00, 2.24588634e+00
2.85941342e+00, 2.17856737e+00
2.89630908e+00, 1.97482635e+00
2.93320473e+00, 1.78320319e+00
2.97010039e+00, 1.72145831e+00
3.00699605e+00, 1.44775870e+00
3.04389171e+00, 1.38845290e+00
3.08078736e+00, 1.25050796e+00
3.11768302e+00, 1.07332259e+00
3.15457868e+00, 9.94001872e-01
3.19147433e+00, 9.08177529e-01
3.22836999e+00, 8.45604645e-01
3.26526565e+00, 8.08882728e-01
3.30216130e+00, 7.26842495e-01
3.33905696e+00, 6.67696923e-01
3.37595262e+00, 6.54824890e-01
3.41284828e+00, 6.06164399e-01
3.44974393e+00, 5.95968554e-01
3.48663959e+00, 5.77090204e-01
3.52353525e+00, 5.60872321e-01
3.56043090e+00, 5.51602817e-01
3.59732656e+00, 5.32649742e-01
3.63422222e+00, 5.28653797e-01
