Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Ta atom%,Noise atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Ta atom% Sigma,Noise atom% Sigma,H atom% Sigma,O atom% Sigma
0,11244,45.98897189612238,0.20455353966559944,52.854855923159015,0,0.1422981145499822,0.044468160796869445,0,0,0.08893632159373889,0.08893632159373889,0.08004268943436499,0,0.026680896478121666,0.017787264318747775,0.026680896478121666,0.008893632159373888,0,0.03557452863749555,0,0.017787264318747775,0,0.20455353966559944,0.16897901102810386,0.4700106016150593,0.042608715677930446,0.4707610380732516,0,0.03554920868507959,0.01988234394401567,0,0,0.028111625228187213,0.028111625228187213,0.026670216286962627,0,0.015402167634408754,0.01257637657263813,0.015402167634408754,0.008893236667115355,0,0.01778410016959551,0,0.01257637657263813,0,0.042608715677930446,0.03873367639867176
0.5,11210,46.71721677074041,0.23193577163247103,52.07850133809099,0,0.21409455842997324,0.026761819803746655,0,0,0.04460303300624443,0.09812667261373774,0.06244424620874219,0,0.05352363960749331,0.01784121320249777,0.06244424620874219,0.008920606601248885,0,0.04460303300624443,0,0.03568242640499554,0,0.19625334522747548,0.10704727921498662,0.47122587055115056,0.045433566955954005,0.4718366029211384,0,0.04365506201078799,0.015448876252477343,0,0,0.019942633762819694,0.02957178540761566,0.0235943365061217,0,0.02184508587879577,0.012614517398012781,0.0235943365061217,0.008920208706264355,0,0.019942633762819694,0,0.017838029829610892,0,0.04180027609744806,0.030885343491645147
1,11232,46.99964387464387,0.16915954415954415,51.81623931623932,0,0.17806267806267806,0.03561253561253561,0,0,0.05341880341880342,0.08012820512820512,0.15135327635327633,0,0.03561253561253561,0.03561253561253561,0.017806267806267807,0.044515669515669515,0,0.008903133903133903,0,0.02670940170940171,0,0.22257834757834757,0.12464387464387464,0.4709319221266171,0.03877502347140247,0.4714707389137745,0,0.039780560705651155,0.017803096892200058,0,0,0.021802309573827165,0.026698698682841162,0.036680771157012834,0,0.017803096892200058,0.017803096892200058,0.012589811675930589,0.019903581034395445,0,0.0089027375653456,0,0.015418620743566766,0,0.044466100797185014,0.03329170927987018
1.5,11389,45.903942400561945,0.14048643427868995,52.91948371235402,0,0.23707085784528933,0.07024321713934498,0,0,0.03512160856967249,0.1580472385635262,0.0790236192817631,0,0.02634120642725437,0.043902010712090614,0.02634120642725437,0.017560804284836244,0,0.02634120642725437,0,0.017560804284836244,0,0.1492668364211081,0.1492668364211081,0.4669442205406643,0.035096929351117134,0.46771964473221095,0,0.045570194805039745,0.024826003697728916,0,0,0.017557720195545717,0.03722264178715907,0.02633079648292857,0,0.015206099490781312,0.019629265819776656,0.015206099490781312,0.012416273450550663,0,0.015206099490781312,0,0.012416273450550663,0,0.03617549619615206,0.03617549619615206
2,11152,46.48493543758967,0.17037302725968437,52.50179340028694,0,0.16140602582496413,0.07173601147776185,0,0,0.0627690100430416,0.0896700143472023,0.05380200860832138,0,0.01793400286944046,0,0.03586800573888092,0.01793400286944046,0,0.01793400286944046,0,0,0,0.17037302725968437,0.1434720229555237,0.4722998009376606,0.03905294267018497,0.47287820199157427,0,0.03801305026480174,0.025353411426981234,0,0,0.023717008830425476,0.028343431983258456,0.021958668550823263,0,0.012680117863490993,0,0.01793078629639523,0.012680117863490993,0,0.012680117863490993,0,0,0,0.03905294267018497,0.03584226622660369
2.5,11076,46.560130010834236,0.22571325388226798,52.27518959913326,0,0.11737089201877934,0.10834236186348861,0,0,0.07222824124232576,0.08125677139761647,0.11737089201877934,0,0.054171180931744306,0.054171180931744306,0.01805706031058144,0.01805706031058144,0,0.01805706031058144,0,0.03611412062116288,0,0.16251354279523295,0.08125677139761647,0.4739672293462798,0.04509167552274987,0.47460077236368337,0,0.03253371903556924,0.031258798860919174,0,0,0.025527315625226636,0.027074583791337398,0.03253371903556924,0,0.022109301138928658,0.022109301138928658,0.012767116954773384,0.012767116954773384,0,0.012767116954773384,0,0.01805379944187574,0,0.038273671474353094,0.027074583791337398
3,11020,47.005444646098006,0.2087114337568058,51.724137931034484,0,0.21778584392014522,0.09074410163339383,0,0,0.06352087114337568,0.11796733212341198,0.09074410163339383,0,0.06352087114337568,0.018148820326678763,0.045372050816696916,0.009074410163339382,0,0.054446460980036304,0,0.027223230490018152,0,0.12704174228675136,0.13611615245009073,0.4754434970591812,0.043473903673862335,0.47601523450841227,0,0.04440691411948676,0.028682781708682385,0,0,0.02400100612921819,0.03269894701970044,0.028682781708682385,0,0.02400100612921819,0.01283198933766485,0.02028639423772184,0.009073998429399502,0,0.02222162270193817,0,0.015715199922228133,0,0.03393175951058001,0.03512111225657514
3.5,11013,46.817397620993376,0.19068373740125305,52.002179242713154,0,0.1362026695723236,0.09988195768637065,0,0,0.04540088985744121,0.14528284754381185,0.07264142377190592,0,0.03632071188595296,0.04540088985744121,0.03632071188595296,0.03632071188595296,0,0.03632071188595296,0,0.01816035594297648,0,0.1725233814582766,0.1089621356578589,0.4754836715208729,0.04157091162143255,0.4760676949979412,0,0.03514342044979516,0.03010049960650081,0,0,0.020299285594238395,0.036294318413933636,0.02567329186642418,0,0.018157057658179397,0.020299285594238395,0.018157057658179397,0.018157057658179397,0,0.018157057658179397,0,0.012840144769219429,0,0.03954542141531566,0.031437517671859094
4,11078,46.470482036468674,0.18053800324968405,52.346994042245896,0,0.10832280194981043,0.06318830113738942,0,0,0.05416140097490522,0.18956490341216825,0.11734970211229465,0,0.06318830113738942,0.05416140097490522,0.03610760064993681,0.018053800324968405,0,0.04513450081242101,0,0.02708070048745261,0,0.12637660227477884,0.09929590178732624,0.47386493670688035,0.04033306714945599,0.4745263617604044,0,0.03125315851964893,0.023875386137586135,0,0,0.022105310651378506,0.041327226547935136,0.03252784891325583,0,0.023875386137586135,0.022105310651378506,0.01805054063363102,0.012764812213074208,0,0.020180206729444643,0,0.01563293253243527,0,0.03375421871806483,0.02992397314627651
4.5,10724,46.07422603506154,0.13987318164863857,52.89071242073853,0,0.1678478179783663,0.03729951510630362,0,0,0.05594927265945542,0.12122342409548675,0.09324878776575904,0,0.04662439388287952,0.02797463632972771,0.02797463632972771,0.02797463632972771,0,0.02797463632972771,0,0.03729951510630362,0,0.11189854531891084,0.11189854531891084,0.4813365215292428,0.03608983369886491,0.4820194624573487,0,0.03952889408673959,0.018646279094191566,0,0,0.02283480428070459,0.03360094392395927,0.02947410409830971,0,0.020846201418821816,0.0161489045427631,0.0161489045427631,0.0161489045427631,0,0.0161489045427631,0,0.018646279094191566,0,0.03228424965487521,0.03228424965487521
