Energy theoretical (eV),Theoretical surface plasmon (arbitrary unit),Theoretical bulk plasmon (arbitrary unit),Energy lab data (eV),Measured amplitude (arbitrary unit),Imaginary part of polarizability (normalized intensity)
70.539,0.01980,0.04451,70.6,0.50498,0.0122
70.037,0.02071,0.04691,70.1,0.50213,0.0127
69.539,0.02169,0.04952,69.6,0.50925,0.0133
69.036,0.02312,0.05317,69.1,0.50925,0.0141
68.536,0.02411,0.05589,68.6,0.51351,0.0147
68.036,0.02511,0.05866,68.1,0.51494,0.0153
67.536,0.02663,0.06281,67.6,0.52063,0.0162
67.036,0.02808,0.06674,67.1,0.52063,0.0170
66.536,0.02962,0.07109,66.6,0.52489,0.0179
66.037,0.03109,0.07534,66.1,0.52205,0.0187
65.534,0.03272,0.08003,65.6,0.53343,0.0197
65.036,0.03473,0.08577,65.1,0.52489,0.0208
64.535,0.03630,0.09051,64.6,0.53485,0.0217
64.032,0.03839,0.09665,64.1,0.53485,0.0229
63.534,0.04050,0.10295,63.6,0.53912,0.0241
63.034,0.04271,0.10979,63.1,0.53770,0.0253
62.535,0.04536,0.11769,62.6,0.54339,0.0268
62.034,0.04805,0.12603,62.1,0.54481,0.0283
61.533,0.05037,0.13366,61.6,0.55192,0.0296
61.033,0.05314,0.14229,61.1,0.54765,0.0311
60.533,0.05647,0.15282,60.6,0.55619,0.0330
60.032,0.05937,0.16240,60.1,0.55334,0.0346
59.531,0.06281,0.17362,59.6,0.56472,0.0365
59.032,0.06637,0.18572,59.1,0.56330,0.0384
58.531,0.06985,0.19741,58.6,0.57752,0.0403
58.030,0.07353,0.21032,58.1,0.58037,0.0423
57.532,0.07788,0.22566,57.6,0.59033,0.0446
57.029,0.08169,0.23948,57.1,0.59459,0.0466
56.530,0.08671,0.25718,56.6,0.60455,0.0493
56.030,0.09142,0.27512,56.1,0.61166,0.0518
55.531,0.09733,0.29641,55.6,0.62304,0.0549
55.028,0.10340,0.31928,55.1,0.62873,0.0580
54.530,0.11083,0.34655,54.6,0.64011,0.0619
54.029,0.11903,0.37600,54.1,0.64580,0.0662
53.528,0.12842,0.40815,53.6,0.65576,0.0711
