Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 10 points,Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 100 points,Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 1000 points
1.0,0.7293294335267746,0.7376327057627562,0.1,0.9939617161422004,0.9976640815999686,0.01,0.9999339960177168,1.0000665697218305
2.0,0.4725265416668987,0.4669621392895308,0.2,0.9780797237861644,0.9812894665384088,0.02,0.9997386032315204,0.999870529987169
3.0,0.3300283304311115,0.3278969134284977,0.3,0.9551495769258852,0.957956060290272,0.03,0.999417680274128,0.9995489728918412
4.0,0.2495806717151218,0.2509280439679822,0.4,0.9273486255897244,0.9298250080833826,0.04,0.9989749939474706,0.999105664984102
5.0,0.199945520084285,0.2036732418823848,0.5,0.896361676485673,0.8985678499074979,0.05,0.9984142212448504,0.9985442830086148
6.0,0.1666594984189211,0.1720187073927783,0.6000000000000001,0.8634821015674612,0.8654670964178602,0.06,0.9977389513302182,0.9978684158856116
7.0,0.1428561925386067,0.1493872597435622,0.7000000000000001,0.8296930875703842,0.8314970423739863,0.07,0.996952687475396,0.9970815666480204
8.0,0.1249998733979284,0.1324107636561333,0.8,0.7957328345120254,0.7973886081031243,0.08,0.996058848956146,0.9961871543374372
9.0,0.1111110941889114,0.119206422129734,0.9,0.7621467915322062,0.7636812830304218,0.09,0.9950607729079284,0.9951885158597956
10.0,0.099999997732731,0.1086428940806875,1.0,0.7293294335267746,0.7307646629962827,0.1,0.9939617161422004,0.9940889078015744
,,,1.1,0.6975576067628171,0.6989115999415647,0.11,0.9927648569240812,0.9928915082073652
,,,1.2000000000000002,0.6670170856360771,0.668304598256014,0.12,0.9914732967121678,0.9915994183196046
,,,1.3,0.6378236693131015,0.6390567800929392,0.13,0.9900900618613084,0.9902156642812596
,,,1.4,0.6100398926424835,0.6112284887623425,0.14,0.9886181052890928,0.9887431988022366
,,,1.5,0.5836882193868934,0.5848403939378173,0.15,0.9870603081068294,0.9871849027902732
,,,1.6,0.5587614185351549,0.5598837959025629,0.16,0.9854194812157404,0.9855435869470498
,,,1.7000000000000002,0.5352306888865409,0.5363286911334468,0.17,0.9836983668690982,0.983821993330248
,,,1.8,0.5130519873042116,0.514130052251287,0.18,0.9818996402010188,0.98202279688227
,,,1.9,0.4921709271669051,0.4932326869271415,0.19,0.9800259107226132,0.9801486069263048
,,,2.0,0.4725265416668987,0.4735749688048762,0.2,0.9780797237861644,0.9782019686304352
,,,2.1,0.4540541485031043,0.45509167568897,0.21,0.9760635620180064,0.9761853644404443
,,,2.2,0.4366875055955368,0.4377161235595462,0.22,0.9739798467207614,0.9741012154819778
,,,2.3000000000000003,0.4203604095837865,0.4213817473059548,0.23,0.97183093924557,0.9719518829327024
,,,2.4000000000000004,0.4050078583472216,0.4060232487032851,0.24,0.9696191423349392,0.9697396693650894
,,,2.5,0.3905668742012804,0.3915774077021466,0.25,0.9673467014368332,0.9674668200604316
,,,2.6,0.3769770646481774,0.3779836334319001,0.26,0.9650158059905962,0.9651355242947044
,,,2.7,0.3641809816712344,0.3651843155150945,0.27,0.9626285906853078,0.9627479165968498
