Time[s],Wavelength [nm],Voltage [V]
3726663963.4657001500,600.0000000000,0.1264823000
3726663969.9526953700,600.0937500000,0.1256480000
3726663970.8364553400,600.1875000000,0.1244450000
3726663971.7151150700,600.3125000000,0.1255438000
3726663972.5957770300,600.4062500000,0.1206575000
3726663973.4804720900,600.5000000000,0.1248433000
3726663974.3624935100,600.5937500000,0.1203634000
3726663975.2463784200,600.6875000000,0.1245717000
3726663976.1270241700,600.8125000000,0.1298909000
3726663977.0064177500,600.9062500000,0.1243000000
3726663977.8870320300,601.0000000000,0.1211508000
3726663978.7665329000,601.0937500000,0.1231839000
3726663979.6491966200,601.1875000000,0.1261289000
3726663980.5304904000,601.3125000000,0.1241948000
3726663981.4156136500,601.4062500000,0.1240846000
3726663982.2976775200,601.5000000000,0.1206310000
3726663983.1777057600,601.5937500000,0.1227775000
3726663984.0603823600,601.6875000000,0.1234514000
3726663984.9403834300,601.8125000000,0.1241703000
3726663985.8261790300,601.9062500000,0.1237946000
3726663986.7095041300,602.0000000000,0.1229592000
3726663987.5958447400,602.0937500000,0.1229184000
3726663988.4842224100,602.1875000000,0.1231573000
3726663989.3617777800,602.3125000000,0.1237435000
3726663990.2377953500,602.4062500000,0.1246615000
3726663991.1178622200,602.5000000000,0.1233514000
3726663992.0000944100,602.5937500000,0.1246799000
3726663992.8847928000,602.6875000000,0.1253375000
3726663993.7679505300,602.8125000000,0.1210303000
3726663994.6512098300,602.9062500000,0.1240774000
3726663995.5331087100,603.0000000000,0.1220228000
3726663996.4179639800,603.0937500000,0.1265313000
3726663997.3014273600,603.1875000000,0.1260411000
3726663998.1744704200,603.3125000000,0.1303157000
3726663999.0563640600,603.4062500000,0.1269561000
3726663999.9399905200,603.5000000000,0.1252068000
3726664000.8219885800,603.5937500000,0.1303055000
3726664001.7128496200,603.6875000000,0.1316953000
3726664002.5959134100,603.8125000000,0.1292976000
3726664003.4757041900,603.9062500000,0.1307854000
3726664004.3594408000,604.0000000000,0.1328472000
3726664005.2397184400,604.0937500000,0.1310326000
3726664006.1216950400,604.1875000000,0.1254356000
3726664007.0040359500,604.3125000000,0.1272624000
3726664007.8829469700,604.4062500000,0.1297500000
3726664008.7654352200,604.5000000000,0.1250414000
3726664009.6477775600,604.5937500000,0.1234331000
3726664010.5304241200,604.6875000000,0.1232656000
3726664011.4078645700,604.8125000000,0.1230940000
3726664012.2895050000,604.9062500000,0.1264189000
3726664013.1766886700,605.0000000000,0.1254642000
3726664014.0609598200,605.0937500000,0.1226937000
3726664014.9435801500,605.1875000000,0.1245798000
3726664015.8237037600,605.3125000000,0.1248433000
3726664016.7112126300,605.4062500000,0.1229572000
3726664017.5937066100,605.5000000000,0.1227959000
3726664018.4751629800,605.5937500000,0.1257194000
3726664019.3565425900,605.6875000000,0.1238272000
3726664020.2398777000,605.8125000000,0.1225385000
3726664021.1183953300,605.9062500000,0.1219432000
3726664022.0001950300,606.0000000000,0.1251741000
3726664022.8854985200,606.0937500000,0.1235168000
3726664023.7736158400,606.1875000000,0.1245982000
3726664024.6614632600,606.3125000000,0.1268968000
3726664025.5455718000,606.4062500000,0.1256520000
3726664026.4239521000,606.5000000000,0.1263822000
3726664027.3083071700,606.5937500000,0.1264169000
3726664028.1923217800,606.6875000000,0.1248453000
3726664029.0776743900,606.8125000000,0.1263822000
3726664029.9555625900,606.9062500000,0.1259073000
3726664030.8401985200,607.0000000000,0.1226815000
3726664031.7236838300,607.0937500000,0.1248739000
3726664032.6080064800,607.1875000000,0.1247677000
3726664033.4887566600,607.3125000000,0.1200714000
3726664034.3740687400,607.4062500000,0.1256623000
3726664035.2567210200,607.5000000000,0.1248249000
3726664036.1374287600,607.5937500000,0.1263025000
3726664037.0210962300,607.6875000000,0.1236148000
3726664037.9023880900,607.8125000000,0.1243940000
3726664038.7893614800,607.9062500000,0.1228796000
3726664039.6718735700,608.0000000000,0.1212079000
3726664040.5584402100,608.0937500000,0.1242449000
3726664041.4427185000,608.1875000000,0.1242776000
3726664042.3291544900,608.3125000000,0.1248698000
3726664043.2158231700,608.4062500000,0.1239865000
3726664044.1046519300,608.5000000000,0.1246391000
3726664044.9794101700,608.5937500000,0.1231512000
3726664045.8623609500,608.6875000000,0.1261800000
3726664046.7483453700,608.8125000000,0.1249495000
3726664047.6355710000,608.9062500000,0.1227591000
3726664048.5173401800,609.0000000000,0.1231655000
3726664049.3997049300,609.0937500000,0.1214387000
3726664050.2802143100,609.1875000000,0.1214020000
3726664051.1647448500,609.3125000000,0.1254274000
3726664052.0450897200,609.4062500000,0.1229531000
3726664052.9296598400,609.5000000000,0.1237455000
3726664053.8166503900,609.5937500000,0.1226917000
3726664054.7014255500,609.6875000000,0.1238334000
3726664055.5870637900,609.8125000000,0.1241601000
3726664056.4723782500,609.9062500000,0.1228285000
3726664057.3565526000,610.0000000000,0.1234474000
3726664058.2307734500,610.0937500000,0.1234739000
3726664059.1117720600,610.1875000000,0.1284480000
3726664059.9963374100,610.3125000000,0.1236148000
3726664060.8783550300,610.4062500000,0.1233575000
3726664061.7633762400,610.5000000000,0.1241172000
3726664062.6491022100,610.5937500000,0.1245676000
3726664063.5318050400,610.6875000000,0.1272195000
3726664064.4094815200,610.8125000000,0.1288279000
3726664065.2867560400,610.9062500000,0.1330289000
3726664066.1702938100,611.0000000000,0.1390129000
3726664067.0548734700,611.0937500000,0.1686297000
3726664067.9377007500,611.1875000000,0.2136377000
