Wavelength [nm],Absorbance,Wavelength simulated [nm],Absorbance simulated
500.0,0.9651302881201312,500.00000,0.86403338
500.03125,0.9652006771011503,500.02500,0.86402645
500.0625,0.9652817497094714,500.05001,0.86400930
500.09375,0.9652045814424435,500.07501,0.86398290
500.125,0.9651981116907531,500.10001,0.86394831
500.15625,0.9651967521485372,500.12501,0.86390670
500.1875,0.9652306049357923,500.15002,0.86385928
500.21875,0.965249297240473,500.17502,0.86380733
500.25,0.9652774215220451,500.20002,0.86375213
500.28125,0.9652945437439443,500.22502,0.86369495
500.3125,0.9652335066955444,500.25003,0.86363706
500.34375,0.9653531509077167,500.27503,0.86357964
500.375,0.9653210149957482,500.30003,0.86352383
500.375,0.9652563930274155,500.32503,0.86347066
500.40625,0.9652890864266348,500.35004,0.86342102
500.4375,0.9653673024597164,500.37504,0.86337570
500.46875,0.9653543233003449,500.40004,0.86333531
500.5,0.965406849956389,500.42504,0.86330031
500.53125,0.9654156385180575,500.45005,0.86327094
500.5625,0.9654363597469089,500.47505,0.86324728
500.59375,0.9654204896609565,500.50005,0.86322921
500.625,0.965449340662989,500.52505,0.86321640
500.65625,0.9654234645319125,500.55006,0.86320830
500.6875,0.9654549984241627,500.57506,0.86320419
500.71875,0.9654301404051221,500.60006,0.86320313
500.75,0.9655341975656694,500.62506,0.86320401
500.78125,0.9655266242196103,500.65007,0.86320553
500.8125,0.9654512833254779,500.67507,0.86320625
500.84375,0.9654929238575052,500.70007,0.86320457
500.875,0.9654836757706328,500.72507,0.86319879
500.90625,0.9655368543291367,500.75008,0.86318709
500.9375,0.9654623953145558,500.77508,0.86316759
500.96875,0.9654610681710043,500.80008,0.86313836
501.0,0.9654451510973389,500.82508,0.86309743
501.03125,0.9655282100070839,500.85009,0.86304285
501.0625,0.9655232051861371,500.87509,0.86297270
501.09375,0.9654332789530135,500.90009,0.86288511
501.125,0.9654393689562135,500.92509,0.86277830
501.125,0.9654835700895827,500.95010,0.86265062
501.15625,0.9654699386970556,500.97510,0.86250054
501.1875,0.965382000968951,501.00010,0.86232671
501.21875,0.9654634094348608,501.02510,0.86212796
501.25,0.9654499944726125,501.05011,0.86190335
501.28125,0.9654880019268827,501.07511,0.86165217
501.3125,0.9654866150201564,501.10011,0.86137395
501.34375,0.9654173703753317,501.12511,0.86106851
501.375,0.9655667317963861,501.15012,0.86073598
501.40625,0.9654723701731891,501.17512,0.86037674
501.4375,0.9655356448928486,501.20012,0.85999154
501.46875,0.9655596779412969,501.22512,0.85958142
501.5,0.9655083673933225,501.25013,0.85914776
501.53125,0.9655093171413559,501.27513,0.85869226
501.5625,0.9654993719322437,501.30013,0.85821696
501.59375,0.9654175415711257,501.32513,0.85772422
501.625,0.9655127292009782,501.35014,0.85721672
501.65625,0.9654363795448427,501.37514,0.85669745
