Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
1.00000000e-02, 5.33349487e-01, 2.21864570e-01, 7.55214057e-01, 1.55954801e+02, 4.28480112e+00, 6.54508270e+01
2.00000000e-02, 1.87565388e-01, 5.53947354e-01, 7.41512742e-01, 7.98230931e+02, 2.45505871e+00, 6.54508270e+01
3.00000000e-02, 1.30518751e-01, 6.11621670e-01, 7.42140422e-01, 9.09777927e+02, 2.23299795e+00, 6.54508270e+01
4.00000000e-02, 2.98095591e-01, 4.49022717e-01, 7.47118308e-01, 5.95297828e+02, 3.31402404e+00, 6.54508270e+01
5.00000000e-02, 4.59135805e-01, 2.97960834e-01, 7.57096639e-01, 3.03131399e+02, 4.22520764e+00, 6.54508270e+01
6.00000000e-02, 4.42543408e-01, 3.09573150e-01, 7.52116557e-01, 3.25590597e+02, 4.07675296e+00, 6.54508270e+01
7.00000000e-02, 3.62462202e-01, 3.85367532e-01, 7.47829734e-01, 4.72183329e+02, 3.47558791e+00, 6.54508270e+01
8.00000000e-02, 3.53403833e-01, 3.95746577e-01, 7.49150409e-01, 4.92257277e+02, 3.29171703e+00, 6.54508270e+01
9.00000000e-02, 4.12265606e-01, 3.42108484e-01, 7.54374090e-01, 3.88516680e+02, 3.63994267e+00, 6.54508270e+01
1.00000000e-01, 4.57910159e-01, 3.02398803e-01, 7.60308962e-01, 3.11714806e+02, 3.94702322e+00, 6.54508270e+01
1.10000000e-01, 4.30583326e-01, 3.32960564e-01, 7.63543890e-01, 3.70823831e+02, 3.78465839e+00, 6.54508270e+01
1.20000000e-01, 3.48001415e-01, 4.12902891e-01, 7.60904305e-01, 5.25439036e+02, 3.28230405e+00, 6.54508270e+01
1.30000000e-01, 2.98818102e-01, 4.57811332e-01, 7.56629434e-01, 6.12295752e+02, 3.02438108e+00, 6.54508270e+01
1.40000000e-01, 3.44071498e-01, 4.12955481e-01, 7.57026979e-01, 5.25540752e+02, 3.30378691e+00, 6.54508270e+01
1.50000000e-01, 4.36834824e-01, 3.27226668e-01, 7.64061492e-01, 3.59733990e+02, 3.86384037e+00, 6.54508270e+01
1.60000000e-01, 4.62137893e-01, 3.06822645e-01, 7.68960538e-01, 3.20270889e+02, 4.03533799e+00, 6.54508270e+01
1.70000000e-01, 3.94589471e-01, 3.70864519e-01, 7.65453990e-01, 4.44133278e+02, 3.62923956e+00, 6.54508270e+01
1.80000000e-01, 3.37875724e-01, 4.25811701e-01, 7.63687425e-01, 5.50405765e+02, 3.24845443e+00, 6.54508270e+01
1.90000000e-01, 3.45746385e-01, 4.19140769e-01, 7.64887154e-01, 5.37503620e+02, 3.25797197e+00, 6.54508270e+01
2.00000000e-01, 3.87392268e-01, 3.79223178e-01, 7.66615445e-01, 4.60299629e+02, 3.46159579e+00, 6.54508270e+01
2.10000000e-01, 4.16064812e-01, 3.52909040e-01, 7.68973852e-01, 4.09405866e+02, 3.58029889e+00, 6.54508270e+01
2.20000000e-01, 4.07664189e-01, 3.61774109e-01, 7.69438298e-01, 4.26551658e+02, 3.49684523e+00, 6.54508270e+01
