Radius (Å), RDF
1.41913390e-02, 0.00000000e+00
4.25740169e-02, 0.00000000e+00
7.09566949e-02, 0.00000000e+00
9.93393728e-02, 0.00000000e+00
1.27722051e-01, 0.00000000e+00
1.56104729e-01, 0.00000000e+00
1.84487407e-01, 0.00000000e+00
2.12870085e-01, 0.00000000e+00
2.41252763e-01, 0.00000000e+00
2.69635440e-01, 0.00000000e+00
2.98018118e-01, 0.00000000e+00
3.26400796e-01, 0.00000000e+00
3.54783474e-01, 0.00000000e+00
3.83166152e-01, 0.00000000e+00
4.11548830e-01, 0.00000000e+00
4.39931508e-01, 0.00000000e+00
4.68314186e-01, 0.00000000e+00
4.96696864e-01, 0.00000000e+00
5.25079542e-01, 0.00000000e+00
5.53462220e-01, 0.00000000e+00
5.81844898e-01, 0.00000000e+00
6.10227576e-01, 0.00000000e+00
6.38610254e-01, 0.00000000e+00
6.66992932e-01, 0.00000000e+00
6.95375610e-01, 0.00000000e+00
7.23758288e-01, 0.00000000e+00
7.52140966e-01, 0.00000000e+00
7.80523644e-01, 0.00000000e+00
8.08906321e-01, 0.00000000e+00
8.37288999e-01, 0.00000000e+00
8.65671677e-01, 0.00000000e+00
8.94054355e-01, 0.00000000e+00
9.22437033e-01, 0.00000000e+00
9.50819711e-01, 0.00000000e+00
9.79202389e-01, 0.00000000e+00
1.00758507e+00, 0.00000000e+00
1.03596775e+00, 0.00000000e+00
1.06435042e+00, 0.00000000e+00
1.09273310e+00, 0.00000000e+00
1.12111578e+00, 0.00000000e+00
1.14949846e+00, 0.00000000e+00
1.17788113e+00, 0.00000000e+00
1.20626381e+00, 0.00000000e+00
1.23464649e+00, 0.00000000e+00
1.26302917e+00, 0.00000000e+00
1.29141185e+00, 0.00000000e+00
1.31979452e+00, 0.00000000e+00
1.34817720e+00, 0.00000000e+00
1.37655988e+00, 0.00000000e+00
1.40494256e+00, 0.00000000e+00
1.43332524e+00, 0.00000000e+00
1.46170791e+00, 0.00000000e+00
1.49009059e+00, 0.00000000e+00
1.51847327e+00, 0.00000000e+00
1.54685595e+00, 0.00000000e+00
1.57523863e+00, 0.00000000e+00
1.60362130e+00, 0.00000000e+00
1.63200398e+00, 0.00000000e+00
1.66038666e+00, 0.00000000e+00
1.68876934e+00, 0.00000000e+00
1.71715202e+00, 0.00000000e+00
1.74553469e+00, 0.00000000e+00
1.77391737e+00, 0.00000000e+00
1.80230005e+00, 0.00000000e+00
1.83068273e+00, 0.00000000e+00
1.85906541e+00, 0.00000000e+00
1.88744808e+00, 0.00000000e+00
1.91583076e+00, 0.00000000e+00
1.94421344e+00, 0.00000000e+00
1.97259612e+00, 0.00000000e+00
2.00097880e+00, 0.00000000e+00
2.02936147e+00, 0.00000000e+00
2.05774415e+00, 0.00000000e+00
2.08612683e+00, 2.00373754e-05
2.11450951e+00, 5.84875743e-05
2.14289218e+00, 7.59039991e-05
2.17127486e+00, 1.66289945e-04
2.19965754e+00, 7.55864535e-04
2.22804022e+00, 1.80614048e-03
2.25642290e+00, 5.28125364e-03
2.28480557e+00, 1.40978898e-02
2.31318825e+00, 3.17578393e-02
2.34157093e+00, 6.28704050e-02
2.36995361e+00, 1.22231357e-01
2.39833629e+00, 2.08868791e-01
2.42671896e+00, 3.41207391e-01
2.45510164e+00, 5.15267367e-01
2.48348432e+00, 7.39087088e-01
2.51186700e+00, 1.00762439e+00
2.54024968e+00, 1.30374850e+00
2.56863235e+00, 1.62511683e+00
2.59701503e+00, 1.93162978e+00
2.62539771e+00, 2.22724630e+00
2.65378039e+00, 2.49268557e+00
2.68216307e+00, 2.69591377e+00
2.71054574e+00, 2.84705022e+00
2.73892842e+00, 2.96315548e+00
2.76731110e+00, 3.01587490e+00
2.79569378e+00, 3.00232394e+00
2.82407646e+00, 2.96147334e+00
2.85245913e+00, 2.88157557e+00
2.88084181e+00, 2.77017787e+00
2.90922449e+00, 2.64823575e+00
2.93760717e+00, 2.51062272e+00
2.96598985e+00, 2.36451512e+00
2.99437252e+00, 2.22477699e+00
3.02275520e+00, 2.07680004e+00
3.05113788e+00, 1.94520763e+00
3.07952056e+00, 1.80416698e+00
3.10790324e+00, 1.67860910e+00
3.13628591e+00, 1.55653412e+00
3.16466859e+00, 1.44291329e+00
3.19305127e+00, 1.34390126e+00
3.22143395e+00, 1.24794962e+00
3.24981662e+00, 1.15738795e+00
3.27819930e+00, 1.07447743e+00
3.30658198e+00, 1.00397115e+00
3.33496466e+00, 9.34785731e-01
3.36334734e+00, 8.79754121e-01
3.39173001e+00, 8.17783668e-01
3.42011269e+00, 7.74261776e-01
3.44849537e+00, 7.27300406e-01
3.47687805e+00, 6.92868102e-01
3.50526073e+00, 6.61781739e-01
3.53364340e+00, 6.29860226e-01
3.56202608e+00, 6.07810076e-01
3.59040876e+00, 5.87463235e-01
3.61879144e+00, 5.64752389e-01
3.64717412e+00, 5.45043766e-01
3.67555679e+00, 5.30923202e-01
3.70393947e+00, 5.21530652e-01
3.73232215e+00, 5.13117043e-01
3.76070483e+00, 5.02102418e-01
3.78908751e+00, 5.02147076e-01
3.81747018e+00, 5.01814937e-01
3.84585286e+00, 5.04767346e-01
3.87423554e+00, 5.09844154e-01
3.90261822e+00, 5.19664675e-01
3.93100090e+00, 5.28394558e-01
3.95938357e+00, 5.38702331e-01
3.98776625e+00, 5.52947755e-01
4.01614893e+00, 5.67689523e-01
4.04453161e+00, 5.84233245e-01
4.07291429e+00, 6.03064313e-01
4.10129696e+00, 6.21284873e-01
4.12967964e+00, 6.48397742e-01
4.15806232e+00, 6.72823572e-01
4.18644500e+00, 6.93427807e-01
4.21482768e+00, 7.21212231e-01
4.24321035e+00, 7.50036220e-01
4.27159303e+00, 7.78027043e-01
4.29997571e+00, 8.08069896e-01
4.32835839e+00, 8.34556164e-01
4.35674106e+00, 8.59103011e-01
4.38512374e+00, 8.85578736e-01
4.41350642e+00, 9.10959498e-01
4.44188910e+00, 9.35986470e-01
4.47027178e+00, 9.68983636e-01
4.49865445e+00, 9.93843599e-01
4.52703713e+00, 1.02135914e+00
4.55541981e+00, 1.04844815e+00
4.58380249e+00, 1.08131023e+00
4.61218517e+00, 1.10410998e+00
4.64056784e+00, 1.12434187e+00
4.66895052e+00, 1.14793761e+00
4.69733320e+00, 1.16616094e+00
4.72571588e+00, 1.18399208e+00
4.75409856e+00, 1.19558659e+00
4.78248123e+00, 1.20892287e+00
4.81086391e+00, 1.22079834e+00
4.83924659e+00, 1.21849339e+00
4.86762927e+00, 1.22644781e+00
4.89601195e+00, 1.22848729e+00
4.92439462e+00, 1.22769652e+00
4.95277730e+00, 1.23099893e+00
4.98115998e+00, 1.22887393e+00
5.00954266e+00, 1.23243477e+00
5.03792534e+00, 1.23061613e+00
5.06630801e+00, 1.22506954e+00
5.09469069e+00, 1.22236285e+00
5.12307337e+00, 1.22403359e+00
5.15145605e+00, 1.21896530e+00
