Temperature T (K), Long range order P, Energy U (eV), Heat capacity C (eV/K)
 3.00087e+02,  9.95069e-01, -2.35123e+03,  1.57589e-02
 3.01174e+02,  9.94958e-01, -2.35122e+03,  1.59963e-02
 3.02261e+02,  9.94845e-01, -2.35120e+03,  1.62191e-02
 3.03348e+02,  9.94730e-01, -2.35118e+03,  1.64418e-02
 3.04436e+02,  9.94614e-01, -2.35116e+03,  1.67411e-02
 3.05523e+02,  9.94496e-01, -2.35114e+03,  1.70019e-02
 3.06610e+02,  9.94376e-01, -2.35113e+03,  1.72243e-02
 3.07697e+02,  9.94254e-01, -2.35111e+03,  1.74850e-02
 3.08785e+02,  9.94131e-01, -2.35109e+03,  1.77455e-02
 3.09872e+02,  9.94005e-01, -2.35107e+03,  1.79677e-02
 3.10959e+02,  9.93879e-01, -2.35105e+03,  1.82281e-02
 3.12047e+02,  9.93750e-01, -2.35103e+03,  1.85266e-02
 3.13134e+02,  9.93619e-01, -2.35101e+03,  1.87868e-02
 3.14221e+02,  9.93486e-01, -2.35099e+03,  1.90469e-02
 3.15308e+02,  9.93352e-01, -2.35097e+03,  1.92922e-02
 3.16396e+02,  9.93215e-01, -2.35095e+03,  1.95903e-02
 3.17483e+02,  9.93077e-01, -2.35092e+03,  1.98647e-02
 3.18570e+02,  9.92937e-01, -2.35090e+03,  2.01097e-02
 3.19657e+02,  9.92794e-01, -2.35088e+03,  2.03692e-02
 3.20745e+02,  9.92651e-01, -2.35086e+03,  2.06668e-02
 3.21832e+02,  9.92504e-01, -2.35084e+03,  2.09498e-02
 3.22919e+02,  9.92356e-01, -2.35081e+03,  2.12089e-02
 3.24007e+02,  9.92206e-01, -2.35079e+03,  2.14916e-02
 3.25094e+02,  9.92054e-01, -2.35077e+03,  2.17505e-02
 3.26181e+02,  9.91901e-01, -2.35074e+03,  2.20621e-02
 3.27268e+02,  9.91744e-01, -2.35072e+03,  2.23444e-02
 3.28356e+02,  9.91587e-01, -2.35069e+03,  2.26265e-02
