Shift, ACF at T=500K, ACF at T=750K, ACF at T=1000K
0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00
2.50000000e+02, 9.85737673e-01, 9.58469073e-01, 8.63323703e-01
5.00000000e+02, 9.71776179e-01, 9.20812308e-01, 7.52083670e-01
7.50000000e+02, 9.57973752e-01, 8.86419947e-01, 6.59551883e-01
1.00000000e+03, 9.44273673e-01, 8.54219586e-01, 5.80155047e-01
1.25000000e+03, 9.30801026e-01, 8.23843250e-01, 5.11575293e-01
1.50000000e+03, 9.17473653e-01, 7.95126351e-01, 4.52335355e-01
1.75000000e+03, 9.04409866e-01, 7.68250539e-01, 4.00497030e-01
2.00000000e+03, 8.91445814e-01, 7.43403505e-01, 3.54536102e-01
2.25000000e+03, 8.78491174e-01, 7.19895942e-01, 3.15444195e-01
2.50000000e+03, 8.65964796e-01, 6.97227644e-01, 2.80363142e-01
2.75000000e+03, 8.53841138e-01, 6.76081098e-01, 2.49928110e-01
3.00000000e+03, 8.41767129e-01, 6.56068913e-01, 2.23631342e-01
3.25000000e+03, 8.30036309e-01, 6.36971068e-01, 2.01127296e-01
3.50000000e+03, 8.18610809e-01, 6.18894792e-01, 1.81437610e-01
3.75000000e+03, 8.07291334e-01, 6.01917565e-01, 1.64131747e-01
4.00000000e+03, 7.95996502e-01, 5.85880625e-01, 1.47629515e-01
4.25000000e+03, 7.84694170e-01, 5.70331809e-01, 1.33459387e-01
4.50000000e+03, 7.73410098e-01, 5.55581873e-01, 1.20251755e-01
4.75000000e+03, 7.62283828e-01, 5.41569826e-01, 1.07516834e-01
5.00000000e+03, 7.51477779e-01, 5.28001095e-01, 9.61554942e-02
5.25000000e+03, 7.40886705e-01, 5.15453014e-01, 8.71004043e-02
5.50000000e+03, 7.30588219e-01, 5.03040281e-01, 7.85513486e-02
5.75000000e+03, 7.20488650e-01, 4.90708073e-01, 7.27567510e-02
6.00000000e+03, 7.10561242e-01, 4.78422199e-01, 6.79250246e-02
6.25000000e+03, 7.00670794e-01, 4.66450481e-01, 6.37021162e-02
6.50000000e+03, 6.90764603e-01, 4.54687187e-01, 6.10026150e-02
6.75000000e+03, 6.81047532e-01, 4.43588436e-01, 5.89261793e-02
7.00000000e+03, 6.71403806e-01, 4.33098773e-01, 5.73967351e-02
7.25000000e+03, 6.61887377e-01, 4.22645002e-01, 5.57368477e-02
7.50000000e+03, 6.52364701e-01, 4.12376149e-01, 5.33694644e-02
7.75000000e+03, 6.42600361e-01, 4.02164935e-01, 5.19218810e-02
8.00000000e+03, 6.33036550e-01, 3.92209430e-01, 4.96276132e-02
8.25000000e+03, 6.23690037e-01, 3.83080921e-01, 4.73628624e-02
8.50000000e+03, 6.14388833e-01, 3.74431401e-01, 4.59034261e-02
8.75000000e+03, 6.05276269e-01, 3.66502022e-01, 4.45233985e-02
9.00000000e+03, 5.96168798e-01, 3.58741540e-01, 4.36355445e-02
9.25000000e+03, 5.87047634e-01, 3.51729032e-01, 4.36445193e-02
9.50000000e+03, 5.78213502e-01, 3.45163927e-01, 4.42119135e-02
9.75000000e+03, 5.69558822e-01, 3.38954839e-01, 4.50246449e-02
1.00000000e+04, 5.61092700e-01, 3.33063041e-01, 4.72166815e-02
1.02500000e+04, 5.52799137e-01, 3.27005367e-01, 4.82062634e-02
1.05000000e+04, 5.44591202e-01, 3.20834018e-01, 4.86333394e-02
1.07500000e+04, 5.36556438e-01, 3.14415338e-01, 4.95860720e-02
1.10000000e+04, 5.28752075e-01, 3.07827645e-01, 5.07087517e-02
1.12500000e+04, 5.20834789e-01, 3.01357489e-01, 5.14443134e-02
1.15000000e+04, 5.12950205e-01, 2.95168535e-01, 5.24357372e-02
1.17500000e+04, 5.05304966e-01, 2.89474487e-01, 5.21894042e-02
1.20000000e+04, 4.97608240e-01, 2.83575265e-01, 5.16944706e-02
1.22500000e+04, 4.89933663e-01, 2.77903658e-01, 5.01363630e-02
1.25000000e+04, 4.82328365e-01, 2.72502793e-01, 4.75388242e-02
1.27500000e+04, 4.74745018e-01, 2.67856536e-01, 4.70456749e-02
1.30000000e+04, 4.67368199e-01, 2.63281151e-01, 4.69614866e-02
1.32500000e+04, 4.60219377e-01, 2.58656928e-01, 4.66314664e-02
1.35000000e+04, 4.53148344e-01, 2.54144166e-01, 4.54292766e-02
1.37500000e+04, 4.46152304e-01, 2.49199420e-01, 4.37238430e-02
1.40000000e+04, 4.39427115e-01, 2.44250168e-01, 4.17943252e-02
1.42500000e+04, 4.33005233e-01, 2.39618312e-01, 3.98612042e-02
1.45000000e+04, 4.26712068e-01, 2.35252812e-01, 3.77240295e-02
1.47500000e+04, 4.20461347e-01, 2.31223164e-01, 3.61731963e-02
1.50000000e+04, 4.14168620e-01, 2.27214342e-01, 3.40855035e-02
1.52500000e+04, 4.07806968e-01, 2.23980711e-01, 3.20183807e-02
1.55000000e+04, 4.01586013e-01, 2.20614901e-01, 3.14017371e-02
1.57500000e+04, 3.95468066e-01, 2.16822683e-01, 2.99490162e-02
1.60000000e+04, 3.89349757e-01, 2.13003402e-01, 2.79536142e-02
1.62500000e+04, 3.83227667e-01, 2.09325321e-01, 2.51253397e-02
1.65000000e+04, 3.77163817e-01, 2.05901082e-01, 2.19333596e-02
1.67500000e+04, 3.71204917e-01, 2.02280364e-01, 1.91195274e-02
1.70000000e+04, 3.65212423e-01, 1.98810199e-01, 1.71646289e-02
1.72500000e+04, 3.59208636e-01, 1.95572561e-01, 1.69304579e-02
1.75000000e+04, 3.53362293e-01, 1.92654484e-01, 1.61714805e-02
1.77500000e+04, 3.47605852e-01, 1.90167049e-01, 1.59525298e-02
1.80000000e+04, 3.42038410e-01, 1.87889707e-01, 1.59810996e-02
1.82500000e+04, 3.36662377e-01, 1.85738312e-01, 1.57339345e-02
1.85000000e+04, 3.31621219e-01, 1.83940108e-01, 1.56175591e-02
1.87500000e+04, 3.26589833e-01, 1.82716755e-01, 1.54443209e-02
