Block size, s at T=500K, s at T=750K, s at T=1000K
2.50000000e+03, 2.38337509e+03, 2.20347617e+03, 1.65886704e+03
5.00000000e+03, 4.54585411e+03, 3.97390225e+03, 2.45557259e+03
7.50000000e+03, 6.54299555e+03, 5.44862234e+03, 2.90853282e+03
1.00000000e+04, 8.32732596e+03, 6.71308981e+03, 3.20895845e+03
1.25000000e+04, 9.99819795e+03, 7.82195577e+03, 3.41259223e+03
1.50000000e+04, 1.13903398e+04, 8.73907581e+03, 3.51101905e+03
1.75000000e+04, 1.28406114e+04, 9.57948568e+03, 3.91759215e+03
2.00000000e+04, 1.38993527e+04, 1.03727235e+04, 3.97239159e+03
2.25000000e+04, 1.50658423e+04, 1.08519678e+04, 4.06740499e+03
2.50000000e+04, 1.61350631e+04, 1.17898901e+04, 4.06223330e+03
2.75000000e+04, 1.71066167e+04, 1.21741524e+04, 4.38227103e+03
3.00000000e+04, 1.76611289e+04, 1.30435534e+04, 4.40869167e+03
3.25000000e+04, 1.89845149e+04, 1.31721254e+04, 4.20583068e+03
3.50000000e+04, 2.00100653e+04, 1.34107907e+04, 4.56889811e+03
3.75000000e+04, 2.01394557e+04, 1.42993004e+04, 4.35741524e+03
4.00000000e+04, 1.99531846e+04, 1.49947164e+04, 4.72603218e+03
4.25000000e+04, 2.15600234e+04, 1.40061422e+04, 4.08013002e+03
4.50000000e+04, 2.21046315e+04, 1.58081078e+04, 4.39381557e+03
4.75000000e+04, 2.19507183e+04, 1.51858990e+04, 4.60395404e+03
5.00000000e+04, 2.24173077e+04, 1.55234743e+04, 4.69226825e+03
5.25000000e+04, 2.25831717e+04, 1.55754126e+04, 4.43569775e+03
5.50000000e+04, 2.47001217e+04, 1.60867674e+04, 4.58013011e+03
5.75000000e+04, 2.51804273e+04, 1.54266547e+04, 4.72351789e+03
6.00000000e+04, 2.42146108e+04, 1.70650829e+04, 4.27956490e+03
6.25000000e+04, 2.40862998e+04, 1.63174774e+04, 4.44088002e+03
6.50000000e+04, 2.66001911e+04, 1.67452649e+04, 4.53295006e+03
6.75000000e+04, 2.86562630e+04, 1.81627556e+04, 4.87807318e+03
7.00000000e+04, 2.65508430e+04, 1.74985076e+04, 4.53266425e+03
7.25000000e+04, 2.62788211e+04, 1.72316706e+04, 4.42055219e+03
7.50000000e+04, 2.57525094e+04, 1.68770370e+04, 4.77032505e+03
7.75000000e+04, 2.82972648e+04, 1.69392599e+04, 4.19036100e+03
8.00000000e+04, 2.52947494e+04, 2.00702781e+04, 4.82763557e+03
8.25000000e+04, 2.66309361e+04, 1.74962887e+04, 5.07766665e+03
8.50000000e+04, 2.63784272e+04, 1.68974394e+04, 4.16397727e+03
8.75000000e+04, 2.76612872e+04, 1.77702336e+04, 4.41366806e+03
9.00000000e+04, 2.70807219e+04, 1.80367712e+04, 5.08731777e+03
9.25000000e+04, 2.78945463e+04, 1.69668956e+04, 4.08768104e+03
9.50000000e+04, 2.96910147e+04, 1.91240072e+04, 5.06977981e+03
9.75000000e+04, 2.79805950e+04, 1.86360558e+04, 3.71574969e+03
1.00000000e+05, 2.55013728e+04, 1.85174432e+04, 5.23335951e+03
1.02500000e+05, 3.03563300e+04, 1.84475694e+04, 4.89591808e+03
1.05000000e+05, 2.90772288e+04, 1.92376125e+04, 4.18306208e+03
1.07500000e+05, 2.79568301e+04, 1.71761801e+04, 4.60215041e+03
1.10000000e+05, 3.04193228e+04, 1.90242423e+04, 4.73534336e+03
1.12500000e+05, 2.97689263e+04, 1.99711713e+04, 4.27531710e+03
1.15000000e+05, 3.06066729e+04, 1.83167630e+04, 5.12938800e+03
1.17500000e+05, 3.01768683e+04, 1.59282409e+04, 4.84669426e+03
1.20000000e+05, 2.72619929e+04, 1.85939658e+04, 4.17059159e+03
1.22500000e+05, 2.80342086e+04, 1.99209852e+04, 4.93089027e+03
1.25000000e+05, 2.99105540e+04, 1.59272134e+04, 4.51170348e+03
1.27500000e+05, 2.91044609e+04, 1.54156842e+04, 5.17955118e+03
1.30000000e+05, 3.24561940e+04, 1.73952481e+04, 4.47827823e+03
1.32500000e+05, 3.01344486e+04, 1.86028319e+04, 4.12598808e+03
1.35000000e+05, 3.07708899e+04, 2.09695436e+04, 5.17706855e+03
1.37500000e+05, 3.34765452e+04, 1.62123310e+04, 5.88986282e+03
1.40000000e+05, 3.16378265e+04, 1.76748536e+04, 5.58174039e+03
1.42500000e+05, 3.12493912e+04, 1.75988145e+04, 5.83217139e+03
1.45000000e+05, 3.22225149e+04, 1.79690212e+04, 5.80913532e+03
1.47500000e+05, 3.31703104e+04, 2.07753700e+04, 4.47796090e+03
