Latticeparameter(angstrom)forAu,Potentialenergy(eV)forAu,Latticeparameterlinspace(angstrom)forAu,Fittedenergy(eV)curveforAu,Latticeparameter(angstrom)forminE_potforAu,MinimumE_pot(eV)forAu,Latticeparameter(angstrom)forPt,Potentialenergy(eV)forPt,Latticeparameterlinspace(angstrom)forPt,Fittedenergy(eV)curveforPt,Latticeparameter(angstrom)forminE_potforPt,MinimumE_pot(eV)forPt,Latticeparameter(angstrom)forRh,Potentialenergy(eV)forRh,Latticeparameterlinspace(angstrom)forRh,Fittedenergy(eV)curveforRh,Latticeparameter(angstrom)forminE_potforRh,MinimumE_pot(eV)forRh
4.112,-3.1277956844828245,4.112,-3.1279915326598484,4.177011095278475,-3.146187170007991,3.916,-6.4140836591958275,3.916,-6.414373899911283,3.9696210812541937,-6.434230743237066,3.787,-7.287828909078142,3.787,-7.288118074850686,3.8396505615306378,-7.307135330417722
4.122,-3.1332043626729265,4.1121,-3.128047466630946,,,3.926,-6.421157375795608,3.9161000000000006,-6.414447894429998,,,3.797,-7.294719032892806,3.787100000000001,-7.288190245828119,,
4.132,-3.1376005354281578,4.1122000000000005,-3.1281033144982477,,,3.936,-6.426637279353213,3.9162,-6.414521750824704,,,3.807,-7.3000464979110244,3.7872,-7.288262279599834,,
4.142,-3.141058062841666,4.1123,-3.1281590762617526,,,3.946,-6.430595050067062,3.916300000000001,-6.414595469095417,,,3.817,-7.303834598907871,3.787300000000001,-7.288334176165833,,
4.151999999999999,-3.1436112900536637,4.1124,-3.128214751921462,,,3.956,-6.433076835487077,3.9164,-6.414669049242136,,,3.827,-7.306160558699084,3.7874,-7.288405935526114,,
4.161999999999999,-3.1451840301849208,4.1125,-3.1282703414773607,,,3.9659999999999993,-6.434137831629026,3.916500000000001,-6.414742491264846,,,3.8369999999999993,-7.307034602018857,3.787500000000001,-7.288477557680679,,
4.171999999999999,-3.145976147649389,4.1126000000000005,-3.1283258449294635,,,3.975999999999999,-6.433781464481935,3.9166,-6.414815795163577,,,3.846999999999999,-7.306649522048821,3.7876,-7.288549042629526,,
4.181999999999999,-3.1459451548242128,4.1127,-3.1283812622777702,,,3.985999999999999,-6.432173513108343,3.916700000000001,-6.414888960938299,,,3.856999999999999,-7.304877034113464,3.787700000000001,-7.288620390372657,,
4.191999999999998,-3.145074653615496,4.1128,-3.128436593522281,,,3.995999999999999,-6.4292439464018205,3.9168,-6.414961988589027,,,3.866999999999999,-7.301811409718277,3.7878,-7.28869160091007,,
4.201999999999998,-3.143492917929726,4.1129,-3.128491838662981,,,4.005999999999999,-6.4250510682756765,3.916900000000001,-6.415034878115762,,,3.8769999999999984,-7.297510675491391,3.787900000000001,-7.288762674241767,,
4.211999999999998,-3.1410878324247964,4.113,-3.128546997699871,,,4.015999999999998,-6.419635874731973,3.917,-6.415107629518488,,,3.8869999999999982,-7.292022669440371,3.788,-7.288833610367746,,
,,4.1131,-3.12860207063298,,,,,3.917100000000001,-6.415180242797234,,,,,3.788100000000001,-7.288904409288008,,
,,4.1132,-3.1286570574622914,,,,,3.9172,-6.415252717951972,,,,,3.7882,-7.288975071002554,,
,,4.1133,-3.128711958187808,,,,,3.9173,-6.415325054982716,,,,,3.7883,-7.289045595511382,,
,,4.1134,-3.128766772809513,,,,,3.9174,-6.415397253889452,,,,,3.7884,-7.289115982814494,,
,,4.1135,-3.1288215013274225,,,,,3.9175,-6.415469314672208,,,,,3.7885,-7.289186232911888,,
,,4.1136,-3.128876143741536,,,,,3.9176,-6.415541237330956,,,,,3.7886,-7.289256345803565,,
,,4.1137,-3.1289307000518534,,,,,3.9177,-6.41561302186571,,,,,3.7887,-7.289326321489526,,
,,4.1138,-3.1289851702583604,,,,,3.9178,-6.415684668276469,,,,,3.7888,-7.289396159969783,,
,,4.1139,-3.1290395543610714,,,,,3.9179,-6.415756176563221,,,,,3.7889,-7.289465861244309,,
,,4.114,-3.1290938523599863,,,,,3.918,-6.415827546725993,,,,,3.789,-7.289535425313119,,
,,4.1141,-3.129148064255105,,,,,3.9181,-6.415898778764756,,,,,3.7891,-7.289604852176211,,
,,4.1142,-3.129202190046413,,,,,3.9182,-6.415969872679526,,,,,3.7892,-7.289674141833601,,
,,4.1143,-3.129256229733926,,,,,3.9183,-6.416040828470301,,,,,3.7893,-7.289743294285259,,
,,4.1144,-3.129310183317642,,,,,3.9184,-6.416111646137068,,,,,3.7894,-7.2898123095312,,
,,4.1145,-3.1293640507975624,,,,,3.9185,-6.416182325679856,,,,,3.7895,-7.289881187571439,,
,,4.1146,-3.1294178321736723,,,,,3.918600000000001,-6.416252867098635,,,,,3.789600000000001,-7.289949928405946,,
,,4.1147,-3.1294715274460003,,,,,3.9187,-6.416323270393406,,,,,3.7897,-7.290018532034736,,
,,4.1148,-3.129525136614518,,,,,3.918800000000001,-6.416393535564197,,,,,3.789800000000001,-7.290086998457824,,
,,4.1149,-3.12957865967924,,,,,3.9189,-6.416463662610994,,,,,3.7899,-7.29015532767518,,
,,4.115,-3.129632096640165,,,,,3.919000000000001,-6.416533651533783,,,,,3.790000000000001,-7.290223519686833,,
,,4.1151,-3.1296854474972804,,,,,3.9191,-6.416603502332578,,,,,3.7901,-7.2902915744927554,,
,,4.1152,-3.1297387122505995,,,,,3.919200000000001,-6.416673215007378,,,,,3.790200000000001,-7.290359492092989,,
,,4.1153,-3.1297918909001083,,,,,3.9193,-6.416742789558171,,,,,3.7903,-7.290427272487463,,
,,4.1154,-3.1298449834458357,,,,,3.9194,-6.416812225984984,,,,,3.7904,-7.290494915676263,,
,,4.1155,-3.129897989887766,,,,,3.9195,-6.416881524287788,,,,,3.7905,-7.290562421659331,,
,,4.1156,-3.1299509102258867,,,,,3.9196,-6.416950684466599,,,,,3.7906,-7.290629790436668,,
,,4.1157,-3.130003744460211,,,,,3.9197,-6.417019706521387,,,,,3.7907,-7.2906970220083025,,
,,4.1158,-3.1300564925907395,,,,,3.9198,-6.417088590452224,,,,,3.7908,-7.290764116374206,,
,,4.1159,-3.130109154617472,,,,,3.9199,-6.417157336259024,,,,,3.7909,-7.290831073534406,,
,,4.116,-3.1301617305403937,,,,,3.92,-6.417225943941858,,,,,3.791,-7.290897893488889,,
,,4.1161,-3.130214220359534,,,,,3.9201,-6.41729441350067,,,,,3.7911,-7.290964576237656,,
,,4.1162,-3.130266624074864,,,,,3.9202,-6.417362744935517,,,,,3.7912,-7.291031121780691,,
,,4.1163,-3.130318941686383,,,,,3.9203,-6.417430938246326,,,,,3.7913,-7.291097530118023,,
,,4.1164,-3.1303711731941206,,,,,3.9204,-6.417498993433156,,,,,3.7914,-7.291163801249638,,
,,4.1165,-3.1304233185980337,,,,,3.9205,-6.417566910495992,,,,,3.7915,-7.291229935175536,,
