Frame, Time, New 0000 X, New 0000 Y, New 0000 Z, Oscilloscope Time (s), Oscilloscope Volt (V)
1, 0.00000, 607.810, 262.378, 150.852, 0.000010, 0.036000
2, 0.00010, 607.803, 262.529, 150.806, 0.000020, 0.028000
3, 0.00020, 607.794, 262.369, 150.819, 0.000030, 0.020000
4, 0.00030, 607.767, 262.425, 150.798, 0.000040, 0.020000
5, 0.00040, 607.796, 262.393, 150.755, 0.000050, 0.004000
6, 0.00050, 607.812, 262.413, 150.787, 0.000060, 0.004000
7, 0.00060, 607.793, 262.388, 150.817, 0.000070, -0.004000
8, 0.00070, 607.803, 262.389, 150.803, 0.000080, -0.004000
9, 0.00080, 607.767, 262.411, 150.797, 0.000090, -0.012000
10, 0.00090, 607.775, 262.407, 150.813, 0.000100, -0.028000
11, 0.00100, 607.775, 262.425, 150.814, 0.000110, -0.036000
12, 0.00110, 607.792, 262.396, 150.848, 0.000120, -0.036000
13, 0.00120, 607.777, 262.389, 150.784, 0.000130, -0.044000
14, 0.00130, 607.768, 262.404, 150.798, 0.000140, -0.052000
15, 0.00140, 607.784, 262.403, 150.831, 0.000150, -0.060000
16, 0.00150, 607.782, 262.385, 150.860, 0.000160, -0.060000
17, 0.00160, 607.792, 262.403, 150.847, 0.000170, -0.068000
18, 0.00170, 607.785, 262.408, 150.799, 0.000180, -0.068000
19, 0.00180, 607.755, 262.397, 150.874, 0.000190, -0.068000
20, 0.00190, 607.802, 262.394, 150.801, 0.000200, -0.076000
21, 0.00200, 607.786, 262.396, 150.801, 0.000210, -0.076000
22, 0.00210, 607.777, 262.403, 150.783, 0.000220, -0.076000
23, 0.00220, 607.803, 262.381, 150.803, 0.000230, -0.084000
24, 0.00230, 607.820, 262.409, 150.804, 0.000240, -0.076000
25, 0.00240, 607.777, 262.420, 150.783, 0.000250, -0.084000
26, 0.00250, 607.813, 262.523, 150.793, 0.000260, -0.092000
27, 0.00260, 607.786, 262.419, 150.767, 0.000270, -0.076000
28, 0.00270, 607.785, 262.535, 150.803, 0.000280, -0.076000
29, 0.00280, 607.794, 262.397, 150.818, 0.000290, -0.076000
30, 0.00290, 607.769, 262.397, 150.768, 0.000300, -0.076000
31, 0.00300, 607.819, 262.391, 150.837, 0.000310, -0.076000
32, 0.00310, 607.784, 262.365, 150.832, 0.000320, -0.068000
33, 0.00320, 607.782, 262.420, 150.828, 0.000330, -0.060000
34, 0.00330, 607.795, 262.522, 150.790, 0.000340, -0.068000
35, 0.00340, 607.828, 262.401, 150.820, 0.000350, -0.060000
36, 0.00350, 607.775, 262.417, 150.814, 0.000360, -0.052000
37, 0.00360, 607.782, 262.416, 150.860, 0.000370, -0.052000
38, 0.00370, 607.794, 262.420, 150.783, 0.000380, -0.036000
39, 0.00380, 607.794, 262.547, 150.788, 0.000390, -0.036000
40, 0.00390, 607.783, 262.402, 150.830, 0.000400, -0.028000
41, 0.00400, 607.801, 262.403, 150.833, 0.000410, -0.028000
42, 0.00410, 607.811, 262.420, 150.784, 0.000420, -0.020000
43, 0.00420, 607.803, 262.543, 150.806, 0.000430, -0.012000
44, 0.00430, 607.776, 262.397, 150.815, 0.000440, -0.004000
45, 0.00440, 607.792, 262.421, 150.814, 0.000450, -0.004000
46, 0.00450, 607.802, 262.388, 150.801, 0.000460, 0.012000
47, 0.00460, 607.786, 262.381, 150.801, 0.000470, 0.020000
48, 0.00470, 607.785, 262.540, 150.803, 0.000480, 0.028000
49, 0.00480, 607.793, 262.411, 150.816, 0.000490, 0.028000
50, 0.00490, 607.794, 262.384, 150.818, 0.000500, 0.044000
51, 0.00500, 607.811, 262.379, 150.819, 0.000510, 0.052000
52, 0.00510, 607.777, 262.548, 150.786, 0.000520, 0.052000
53, 0.00520, 607.777, 262.411, 150.782, 0.000530, 0.060000
54, 0.00530, 607.784, 262.416, 150.796, 0.000540, 0.068000
55, 0.00540, 607.785, 262.394, 150.799, 0.000550, 0.076000
56, 0.00550, 607.809, 262.395, 150.849, 0.000560, 0.084000
57, 0.00560, 607.794, 262.408, 150.785, 0.000570, 0.092000
58, 0.00570, 607.785, 262.384, 150.799, 0.000580, 0.100000
59, 0.00580, 607.801, 262.551, 150.836, 0.000590, 0.108000
60, 0.00590, 607.777, 262.423, 150.782, 0.000600, 0.108000
61, 0.00600, 607.777, 262.409, 150.783, 0.000610, 0.116000
62, 0.00610, 607.786, 262.375, 150.802, 0.000620, 0.132000
63, 0.00620, 607.775, 262.393, 150.813, 0.000630, 0.132000
64, 0.00630, 607.776, 262.378, 150.815, 0.000640, 0.132000
65, 0.00640, 607.795, 262.551, 150.789, 0.000650, 0.148000
66, 0.00650, 607.793, 262.403, 150.816, 0.000660, 0.148000
67, 0.00660, 607.774, 262.409, 150.845, 0.000670, 0.148000
68, 0.00670, 607.792, 262.396, 150.849, 0.000680, 0.156000
69, 0.00680, 607.810, 262.385, 150.817, 0.000690, 0.156000
70, 0.00690, 607.786, 262.419, 150.767, 0.000700, 0.156000
71, 0.00700, 607.768, 262.402, 150.798, 0.000710, 0.164000
72, 0.00710, 607.795, 262.514, 150.790, 0.000720, 0.164000
73, 0.00720, 607.778, 262.380, 150.785, 0.000730, 0.164000
74, 0.00730, 607.758, 262.379, 150.813, 0.000740, 0.164000
75, 0.00740, 607.758, 262.391, 150.811, 0.000750, 0.164000
76, 0.00750, 607.786, 262.423, 150.767, 0.000760, 0.164000
77, 0.00760, 607.810, 262.404, 150.818, 0.000770, 0.164000
78, 0.00770, 607.751, 262.403, 150.764, 0.000780, 0.172000
79, 0.00780, 607.761, 262.389, 150.751, 0.000790, 0.164000
80, 0.00790, 607.812, 262.415, 150.787, 0.000800, 0.164000
81, 0.00800, 607.801, 262.535, 150.836, 0.000810, 0.164000
82, 0.00810, 607.778, 262.416, 150.751, 0.000820, 0.156000
