Wavelength [nm],Voltage [V],Gaussian fit
665.0,0.0011274,2.2105258264385055e-58
665.03125,0.0011233,4.609858318274656e-57
665.0625,0.0011131,9.280603184541452e-56
665.09375,0.0011233,1.803688229445489e-54
665.125,0.0011172,3.384101497248797e-53
665.15625,0.0011212,6.129455981255023e-52
665.1875,0.0011233,1.071758958683163e-50
665.21875,0.0011212,1.809126585785844e-49
665.25,0.0011223,2.9480675516784733e-48
665.28125,0.0011253,4.637698880240602e-47
665.3125,0.0011314,7.043107301361141e-46
665.34375,0.0011314,1.0325776111718376e-44
665.375,0.0011274,1.4614290808007574e-43
665.375,0.0011314,1.4614290808007574e-43
665.40625,0.0011335,1.9967763646080404e-42
665.4375,0.0011274,2.6337694218851655e-41
665.46875,0.0011417,3.3536884601059633e-40
665.5,0.0011335,4.1225347324088507e-39
665.53125,0.0011376,4.892181618774657e-38
665.5625,0.0011457,5.6045075854069016e-37
665.59375,0.0011478,6.198248622269958e-36
665.625,0.001158,6.617548992872692e-35
665.65625,0.0011723,6.8205905580613886e-34
665.6875,0.0011743,6.786462211739098e-33
665.71875,0.0011866,6.518708071731816e-32
665.75,0.0011845,6.044721149106945e-31
665.78125,0.0011866,5.41112605615134e-30
665.8125,0.0011907,4.676227945198967e-29
665.84375,0.001205,3.9012190483859096e-28
665.875,0.0012091,3.141967154533211e-27
665.90625,0.0012213,2.4428656727327865e-26
665.9375,0.0012091,1.8335559823930368e-25
665.96875,0.0012254,1.3285729428519672e-24
666.0,0.0012315,9.293370982724371e-24
666.03125,0.0012356,6.275636585886217e-23
666.0625,0.0012499,4.0910891155219875e-22
666.09375,0.0012642,2.5746413195511e-21
666.125,0.0012907,1.5641960014127627e-20
666.125,0.0012948,1.5641960014127627e-20
666.15625,0.0013153,9.174074221043925e-20
666.1875,0.0013234,5.194335162686819e-19
666.21875,0.0013296,2.8391891710609974e-18
666.25,0.0013439,1.498150116510558e-17
666.28125,0.0013581,7.631553908361483e-17
666.3125,0.0013602,3.752902328913671e-16
666.34375,0.0013827,1.781632756091207e-15
666.375,0.0013888,8.165179889224726e-15
666.40625,0.001401,3.6125175628500217e-14
666.4375,0.0014235,1.5429463257325506e-13
666.46875,0.0014317,6.361921579981688e-13
666.5,0.0014541,2.532342512353328e-12
666.53125,0.0014807,9.730904755238068e-12
666.5625,0.0015052,3.609779208154138e-11
666.59375,0.0015542,1.292720684763028e-10
666.625,0.0016502,4.469154805889186e-10
666.65625,0.0017217,1.4915669102551947e-09
666.6875,0.0017748,4.80570074564665e-09
666.71875,0.0018565,1.49474582237816e-08
666.75,0.0019014,4.4882249390900234e-08
666.78125,0.0019647,1.3010036721376903e-07
666.8125,0.0020423,3.640651193210469e-07
666.84375,0.0021363,9.835042985566274e-07
666.875,0.0022026,2.56489797486316e-06
666.875,0.0022496,2.56489797486316e-06
666.90625,0.0023374,6.457442807589292e-06
666.9375,0.0024784,1.5694507200227234e-05
666.96875,0.0026846,3.682404056745095e-05
667.0,0.0029522,8.340879336858117e-05
667.03125,0.0034423,0.00018238489950409383
667.0625,0.0042889,0.00038500162218623726
667.09375,0.006226,0.0007845721394541556
667.125,0.0122458,0.0015434758767423702
667.15625,0.0203773,0.0029313214896256896
667.1875,0.0279278,0.005374322192343067
667.21875,0.0370294,0.009512191557937933
667.25,0.0450445,0.016253021793114913
667.28125,0.0571044,0.026809226832279397
667.3125,0.0703346,0.04269048633416121
667.34375,0.0852518,0.06562579188314678
667.375,0.1068872,0.09739006439155673
667.40625,0.1284623,0.139524794173295
667.4375,0.1586673,0.1929677662344633
667.46875,0.2000039,0.25764088961067766
667.5,0.2583033,0.33207903020611756
667.53125,0.3318281,0.41320422694779135
667.5625,0.4580747,0.4963461991462033
667.59375,0.6111286,0.5755741582242866
667.625,0.7345936,0.6443391427635202
667.625,0.7397862,0.6443391427635202
667.65625,0.7621466,0.6963448763161495
667.6875,0.7519534,0.7264920987993702
667.71875,0.7155346,0.7317016725653952
667.75,0.6761821,0.7114327305291004
667.78125,0.6200127,0.6677751861490454
667.8125,0.5632228,0.6050947069343786
667.84375,0.4726773,0.5293136238686496
667.875,0.4011313,0.44699167243089
667.90625,0.350449,0.36440341100175205
667.9375,0.3080187,0.2867887270999605
667.96875,0.2572485,0.21789053272451808
668.0,0.2184954,0.15981269912899831
668.03125,0.1793683,0.11315685117564063
668.0625,0.1377416,0.07734763917627399
668.09375,0.0991682,0.05103991152290049
668.125,0.0598861,0.03251392537610263
668.15625,0.0367271,0.01999519011986632
668.1875,0.0278114,0.011870754205365723
668.21875,0.0215537,0.006803426994200447
668.25,0.0170687,0.003764209501193458
668.28125,0.013221,0.0020105574432671904
668.3125,0.0100554,0.0010367065118074364
668.34375,0.0082469,0.0005160500311853528
668.375,0.0060443,0.0002479844404582927
668.375,0.0056021,0.0002479844404582927
668.40625,0.004775,0.00011504127794275339
668.4375,0.0036384,5.1520444830627406e-05
668.46875,0.0028807,2.2274201915634597e-05
668.5,0.002363,9.296539990924167e-06
668.53125,0.0021322,3.7457360686767645e-06
668.5625,0.0019443,1.4569667662909255e-06
668.59375,0.0018299,5.47089978625057e-07
668.625,0.0016767,1.9831908735638892e-07
668.65625,0.0015971,6.940118920356155e-08
668.6875,0.0015603,2.3445848306111975e-08
668.71875,0.0015358,7.646481300907716e-09
668.75,0.0015215,2.4074315753477e-09
668.78125,0.0014807,7.317166128619395e-10
668.8125,0.0014664,2.146982575720173e-10
668.84375,0.0014541,6.081500766669214e-11
668.875,0.0014296,1.6629900597354517e-11
668.90625,0.0014255,4.390006691902817e-12
668.9375,0.001399,1.118761088217599e-12
668.96875,0.0013827,2.752365875007473e-13
669.0,0.0013745,6.536896640229475e-14
669.03125,0.00135,1.498765587792727e-14
669.0625,0.0013398,3.317358820984454e-15
669.09375,0.0013112,7.088393640370461e-16
669.125,0.001305,1.4621766581124704e-16
669.125,0.0012969,1.4621766581124704e-16
669.15625,0.0012744,2.911712611333288e-17
669.1875,0.0012703,5.597496231308576e-18
669.21875,0.0012662,1.0388091198047737e-18
669.25,0.0012601,1.8611198407637485e-19
669.28125,0.0012479,3.2189154235815635e-20
669.3125,0.0012519,5.3745416664539614e-21
669.34375,0.0012376,8.66303250456287e-22
669.375,0.0012336,1.3480161495981682e-22
669.40625,0.0012397,2.0249620476086435e-23
669.4375,0.0012295,2.9365359515746445e-24
669.46875,0.0012213,4.1110276517263155e-25
669.5,0.0012213,5.555998440758041e-26
669.53125,0.0012131,7.248872714693594e-27
669.5625,0.0011988,9.130098734697578e-28
669.59375,0.0011988,1.1101383757604083e-28
669.625,0.0011784,1.303092961431621e-29
669.65625,0.0011682,1.476625362705052e-30
669.6875,0.0011743,1.6153323466480139e-31
669.71875,0.0011641,1.7058863630867276e-32
669.75,0.001158,1.7391416124462702e-33
669.78125,0.001158,1.711655804539441e-34
669.8125,0.0011539,1.6262771848894933e-35
669.84375,0.0011539,1.4916582790786202e-36
669.875,0.0011437,1.3208112457910803e-37
669.875,0.0011498,1.3208112457910803e-37
669.90625,0.0011376,1.1290386638347545e-38
669.9375,0.0011539,9.316944589335772e-40
669.96875,0.0011437,7.422237588601716e-41
670.0,0.0011417,5.708116564636531e-42
