Wavelength [nm],Voltage [V],Normalised voltage,Wavelength simulation [nm],Relative intensity simulation
600.0,0.1118887853,0.3149258185,580.00000,0.00000000
600.09375,0.1119010353,0.3149602977,580.22022,0.00000000
600.1875,0.1121851647,0.3157600176,580.44044,0.00000000
600.3125,0.1122624471,0.3159775391,580.66066,0.00000000
600.40625,0.1120020647,0.3152446584,580.88088,0.00000000
600.5,0.1125074941,0.3166672565,581.10110,0.00000000
600.59375,0.1117816176,0.3146241809,581.32132,0.00000000
600.6875,0.1117879882,0.3146421118,581.54154,0.00000000
600.8125,0.1118919912,0.3149348419,581.76176,0.00000000
600.90625,0.1120756206,0.3154516912,581.98198,0.00000000
601.0,0.1124854676,0.3166052601,582.20220,0.00000000
601.09375,0.1120912471,0.315495674,582.42242,0.00000000
601.1875,0.1117635382,0.314573294,582.64264,0.00000000
601.3125,0.1121995353,0.3158004656,582.86286,0.00000000
601.40625,0.1117808412,0.3146219955,583.08308,0.00000000
601.5,0.1128158735,0.3175352312,583.30330,0.00000000
601.59375,0.1114323235,0.3136410463,583.52352,0.00000000
601.6875,0.1117821,0.3146255386,583.74374,0.00000000
601.8125,0.1118294059,0.3147586873,583.96396,0.00000000
601.90625,0.1117715559,0.3145958608,584.18418,0.00000000
602.0,0.1117294118,0.3144772406,584.40440,0.00000000
602.09375,0.1123101353,0.3161117639,584.62462,0.00000000
602.1875,0.1122832853,0.316036191,584.84484,0.00000000
602.3125,0.1119497206,0.315097329,585.06507,0.00000000
602.40625,0.1123174029,0.3161322197,585.28529,0.00000000
602.5,0.1119382176,0.3150649524,585.50551,0.00000000
602.59375,0.1122461618,0.3159317019,585.72573,0.00000000
602.6875,0.1123271853,0.3161597534,585.94595,0.00000000
602.8125,0.1122842382,0.3160388732,586.16617,0.00000000
602.90625,0.1125273353,0.3167231021,586.38639,0.00000000
603.0,0.1120055824,0.3152545593,586.60661,0.00000000
603.09375,0.1128928882,0.3177519993,586.82683,0.00000000
603.1875,0.11373005,0.3201083021,587.04705,0.00000000
603.3125,0.1139542,0.320739202,587.26727,0.00000000
603.40625,0.1147965265,0.3231100415,587.48749,0.00000000
603.5,0.1148840059,0.3233562639,587.70771,0.00000000
603.59375,0.1159947294,0.3264825425,587.92793,0.00000000
603.6875,0.1171130941,0.3296303282,588.14815,0.00000000
603.8125,0.1174439176,0.3305614749,588.36837,0.00000000
603.90625,0.1172945235,0.3301409854,588.58859,0.00000000
604.0,0.1172290206,0.3299566186,588.80881,0.00000000
604.09375,0.1162929735,0.3273219901,589.02903,0.00000000
604.1875,0.1144595382,0.3221615434,589.24925,0.00000000
604.3125,0.1144394441,0.3221049859,589.46947,0.00000000
604.40625,0.1147569588,0.3229986731,589.68969,0.00000000
604.5,0.1135041176,0.3194723855,589.90991,0.00000000
604.59375,0.1129800206,0.3179972449,590.13013,0.00000000
604.6875,0.1122425353,0.3159214948,590.35035,0.00000000
604.8125,0.1120079529,0.3152612316,590.57057,0.00000000
604.90625,0.1123642853,0.3162641763,590.79079,0.00000000
605.0,0.11240165,0.3163693442,591.01101,0.00000000
605.09375,0.1122150706,0.3158441917,591.23123,0.00000000
605.1875,0.1124920412,0.3166237621,591.45145,0.00000000
605.3125,0.1122183147,0.3158533227,591.67167,0.00000000
605.40625,0.1120435206,0.3153613415,591.89189,0.00000000
605.5,0.1120387735,0.3153479803,592.11211,0.00000000
605.59375,0.1123652206,0.3162668088,592.33233,0.00000000
605.6875,0.1117892235,0.3146455887,592.55255,0.00000000
605.8125,0.1121694324,0.3157157368,592.77277,0.00000000
605.90625,0.1116819471,0.3143436449,592.99299,0.00000000
606.0,0.1118369088,0.3147798053,593.21321,0.00000002
606.09375,0.1115217294,0.3138926911,593.43343,0.00000019
606.1875,0.1121453059,0.3156478297,593.65365,0.00000130
606.3125,0.1126822235,0.3171590556,593.87387,0.00000732
606.40625,0.1122653912,0.3159858257,594.09409,0.00003389
606.5,0.1118760824,0.3148900644,594.31431,0.00012920
606.59375,0.1119760029,0.3151713041,594.53453,0.00040571
606.6875,0.1116177529,0.314162962,594.75475,0.00104938
606.8125,0.1125045794,0.3166590527,594.97497,0.00223562
606.90625,0.1119517,0.3151029003,595.19520,0.00392298
607.0,0.1122551441,0.315956984,595.41542,0.00567004
607.09375,0.1126437206,0.317050684,595.63564,0.00675007
607.1875,0.1122051882,0.3158163765,595.85586,0.00661885
607.3125,0.1124718,0.3165667907,596.07608,0.00534576
607.40625,0.1118230706,0.3147408557,596.29630,0.00355621
607.5,0.1122838559,0.316037797,596.51652,0.00194858
607.59375,0.1121727559,0.3157250914,596.73674,0.00087943
607.6875,0.1127482941,0.31734502,596.95696,0.00032692
607.8125,0.1122929588,0.3160634185,597.17718,0.00010010
607.90625,0.1120778176,0.3154578751,597.39740,0.00002524
608.0,0.1123430206,0.3162043239,597.61762,0.00000524
608.09375,0.1119665412,0.3151446727,597.83784,0.00000090
608.1875,0.1125681941,0.3168381047,598.05806,0.00000013
608.3125,0.112278,0.3160213149,598.27828,0.00000001
608.40625,0.1121538029,0.3156717458,598.49850,0.00000000
608.5,0.1119310412,0.3150447533,598.71872,0.00000000
608.59375,0.1122501206,0.3159428446,598.93894,0.00000000
608.6875,0.1120513059,0.3153832542,599.15916,0.00000000
608.8125,0.1121051559,0.3155348222,599.37938,0.00000000
608.90625,0.1121566265,0.315679693,599.59960,0.00000000
609.0,0.1122141706,0.3158416585,599.81982,0.00000000
609.09375,0.1124347412,0.3164624837,600.04004,0.00000000
609.1875,0.1124236941,0.3164313903,600.26026,0.00000000
609.3125,0.1123880647,0.3163311066,600.48048,0.00000000
609.40625,0.1122077676,0.3158236366,600.70070,0.00000004
609.5,0.1124339529,0.3164602651,600.92092,0.00000034
609.59375,0.1121000059,0.3155203268,601.14114,0.00000274
609.6875,0.1123613441,0.3162558979,601.36136,0.00001804
609.8125,0.1127353412,0.3173085622,601.58158,0.00009799
609.90625,0.1118137882,0.3147147293,601.80180,0.00043841
610.0,0.1122925706,0.3160623257,602.02202,0.00161555
610.09375,0.1125443118,0.3167708846,602.24224,0.00490355
610.1875,0.1124958088,0.3166343667,602.46246,0.01225897
610.3125,0.1127658441,0.3173944168,602.68268,0.02524349
610.40625,0.1126770882,0.3171446016,602.90290,0.04281511
610.5,0.1125681265,0.3168379143,603.12312,0.05981318
610.59375,0.1128432059,0.3176121618,603.34334,0.06882542
610.6875,0.1146318382,0.3226465046,603.56356,0.06523085
610.8125,0.1174699324,0.3306346967,603.78378,0.05092246
610.90625,0.1192604647,0.3356743874,604.00400,0.03274296
611.0,0.1311892765,0.3692496094,604.22422,0.01734118
611.09375,0.1658562794,0.4668244848,604.44444,0.00756470
611.1875,0.2128046912,0.5989670133,604.66466,0.00271804
611.3125,0.2327182882,0.655016472,604.88488,0.00080440
611.40625,0.243988,0.6867365697,605.10511,0.00019608
611.5,0.2746232676,0.7729635916,605.32533,0.00003937
611.59375,0.3250129412,0.9147920076,605.54555,0.00000651
611.6875,0.3541201618,0.9967181384,605.76577,0.00000089
611.8125,0.3552861618,1,605.98599,0.00000010
