Wavelength [nm],Voltage [V],Subtract min(voltage) from voltage,Normalised voltage from subtract with respect to peak at 627.8nm,Wavelength simulation [nm],Relative intensity simulation
600.0,0.1118887853,0.0012093029,0.03412959793,580.00000,0.00000000
600.09375,0.1119010353,0.001222,0.03447532403,580.22022,0.00000000
600.1875,0.1121851647,0.0015056823,0.04249417702,580.44044,0.00000000
600.3125,0.1122624471,0.0015829647,0.04467528255,580.66066,0.00000000
600.40625,0.1120020647,0.0013225823,0.03732663018,580.88088,0.00000000
600.5,0.1125074941,0.0018280117,0.05159113099,581.10110,0.00000000
600.59375,0.1117816176,0.0011021352,0.03110505336,581.32132,0.00000000
600.6875,0.1117879882,0.0011085058,0.03128484787,581.54154,0.00000000
600.8125,0.1118919912,0.0012125088,0.03422007656,581.76176,0.00000000
600.90625,0.1120756206,0.0013961382,0.03940256442,581.98198,0.00000000
601.0,0.1124854676,0.0018059852,0.05096948724,582.20220,0.00000000
601.09375,0.1120912471,0.0014117647,0.03984358392,582.42242,0.00000000
601.1875,0.1117635382,0.0010840558,0.0305948068,582.64264,0.00000000
601.3125,0.1121995353,0.0015200529,0.04289975183,582.86286,0.00000000
601.40625,0.1117808412,0.0011013588,0.03108314138,583.08308,0.00000000
601.5,0.1128158735,0.0021363911,0.06029438055,583.30330,0.00000000
601.59375,0.1114323235,0.0007528411,0.0212470871,583.52352,0.00000000
601.6875,0.1117821000,0.0011026176,0.03111866792,583.74374,0.00000000
601.8125,0.1118294059,0.0011499235,0.03245376051,583.96396,0.00000000
601.90625,0.1117715559,0.0010920735,0.03082108664,584.18418,0.00000000
602.0,0.1117294118,0.0010499294,0.02963167315,584.40440,0.00000000
602.09375,0.1123101353,0.0016306529,0.04602116462,584.62462,0.00000000
602.1875,0.1122832853,0.0016038029,0.04526338945,584.84484,0.00000000
602.3125,0.1119497206,0.0012702382,0.03584934679,585.06507,0.00000000
602.40625,0.1123174029,0.0016379205,0.04622627474,585.28529,0.00000000
602.5,0.1119382176,0.0012587352,0.03552470293,585.50551,0.00000000
602.59375,0.1122461618,0.0015666794,0.04421567004,585.72573,0.00000000
602.6875,0.1123271853,0.0016477029,0.0465023589,585.94595,0.00000000
602.8125,0.1122842382,0.0016047558,0.04529028271,586.16617,0.00000000
602.90625,0.1125273353,0.0018478529,0.05215110003,586.38639,0.00000000
603.0,0.1120055824,0.0013261,0.0374259086,586.60661,0.00000000
603.09375,0.1128928882,0.0022134058,0.06246793091,586.82683,0.00000000
603.1875,0.1137300500,0.0030505676,0.08609476223,587.04705,0.00000000
603.3125,0.1139542000,0.0032747176,0.09242084428,587.26727,0.00000000
603.40625,0.1147965265,0.0041170441,0.1161934365,587.48749,0.00000000
603.5,0.1148840059,0.0042045235,0.1186623273,587.70771,0.00000000
603.59375,0.1159947294,0.005315247,0.1500097643,587.92793,0.00000000
603.6875,0.1171130941,0.0064336117,0.1815728553,588.14815,0.00000000
603.8125,0.1174439176,0.0067644352,0.1909095344,588.36837,0.00000000
603.90625,0.1172945235,0.0066150411,0.1866932536,588.58859,0.00000000
604.0,0.1172290206,0.0065495382,0.1848445955,588.80881,0.00000000
604.09375,0.1162929735,0.0056134911,0.15842697,589.02903,0.00000000
604.1875,0.1144595382,0.0037800558,0.1066827712,589.24925,0.00000000
604.3125,0.1144394441,0.0037599617,0.1061156647,589.46947,0.00000000
604.40625,0.1147569588,0.0040774764,0.1150767356,589.68969,0.00000000
604.5,0.1135041176,0.0028246352,0.07971837632,589.90991,0.00000000
604.59375,0.1129800206,0.0023005382,0.06492702844,590.13013,0.00000000
604.6875,0.1122425353,0.0015630529,0.044113321,590.35035,0.00000000
604.8125,0.1120079529,0.0013284705,0.03749281013,590.57057,0.00000000
604.90625,0.1123642853,0.0016848029,0.04754941509,590.79079,0.00000000
605.0,0.1124016500,0.0017221676,0.04860394178,591.01101,0.00000000
605.09375,0.1122150706,0.0015355882,0.04333819744,591.23123,0.00000000
605.1875,0.1124920412,0.0018125588,0.05115501093,591.45145,0.00000000
605.3125,0.1122183147,0.0015388323,0.04342975418,591.67167,0.00000000
605.40625,0.1120435206,0.0013640382,0.03849662092,591.89189,0.00000000
605.5,0.1120387735,0.0013592911,0.03836264571,592.11211,0.00000000
605.59375,0.1123652206,0.0016857382,0.04757581163,592.33233,0.00000000
605.6875,0.1117892235,0.0011097411,0.03131971117,592.55255,0.00000000
605.8125,0.1121694324,0.00148995,0.04205017157,592.77277,0.00000000
605.90625,0.1116819471,0.0010024647,0.02829209882,592.99299,0.00000000
606.0,0.1118369088,0.0011574264,0.0326655114,593.21321,0.00000002
606.09375,0.1115217294,0.000842247,0.02377034857,593.43343,0.00000019
606.1875,0.1121453059,0.0014658235,0.04136926049,593.65365,0.00000130
606.3125,0.1126822235,0.0020027411,0.05652243825,593.87387,0.00000732
606.40625,0.1122653912,0.0015859088,0.04475837252,594.09409,0.00003389
606.5,0.1118760824,0.0011966,0.03377108984,594.31431,0.00012920
606.59375,0.1119760029,0.0012965205,0.03659110002,594.53453,0.00040571
606.6875,0.1116177529,0.0009382705,0.02648037552,594.75475,0.00104938
606.8125,0.1125045794,0.001825097,0.05150887076,594.97497,0.00223562
606.90625,0.1119517000,0.0012722176,0.03590521048,595.19520,0.00392298
607.0,0.1122551441,0.0015756617,0.04446917335,595.41542,0.00567004
607.09375,0.1126437206,0.0019642382,0.05543578867,595.63564,0.00675007
607.1875,0.1122051882,0.0015257058,0.04305929102,595.85586,0.00661885
607.3125,0.1124718000,0.0017923176,0.05058375287,596.07608,0.00534576
607.40625,0.1118230706,0.0011435882,0.03227496226,596.29630,0.00355621
607.5,0.1122838559,0.0016043735,0.04527949323,596.51652,0.00194858
607.59375,0.1121727559,0.0014932735,0.04214396918,596.73674,0.00087943
607.6875,0.1127482941,0.0020688117,0.05838711832,596.95696,0.00032692
607.8125,0.1122929588,0.0016134764,0.04553640018,597.17718,0.00010010
607.90625,0.1120778176,0.0013983352,0.03946456933,597.39740,0.00002524
608.0,0.1123430206,0.0016635382,0.04694927127,597.61762,0.00000524
608.09375,0.1119665412,0.0012870588,0.03632406682,597.83784,0.00000090
608.1875,0.1125681941,0.0018887117,0.05330423909,598.05806,0.00000013
608.3125,0.1122780000,0.0015985176,0.04511422487,598.27828,0.00000001
608.40625,0.1121538029,0.0014743205,0.0416090674,598.49850,0.00000000
608.5,0.1119310412,0.0012515588,0.0353221667,598.71872,0.00000000
608.59375,0.1122501206,0.0015706382,0.04432739742,598.93894,0.00000000
608.6875,0.1120513059,0.0013718235,0.03871634185,599.15916,0.00000000
608.8125,0.1121051559,0.0014256735,0.04023612556,599.37938,0.00000000
608.90625,0.1121566265,0.0014771441,0.04168875657,599.59960,0.00000000
609.0,0.1122141706,0.0015346882,0.04331279716,599.81982,0.00000000
609.09375,0.1124347412,0.0017552588,0.04953785946,600.04004,0.00000000
609.1875,0.1124236941,0.0017442117,0.04922608225,600.26026,0.00000000
609.3125,0.1123880647,0.0017085823,0.04822053013,600.48048,0.00000000
609.40625,0.1122077676,0.0015282852,0.04313208824,600.70070,0.00000004
609.5,0.1124339529,0.0017544705,0.04951561163,600.92092,0.00000034
609.59375,0.1121000059,0.0014205235,0.04009077949,601.14114,0.00000274
609.6875,0.1123613441,0.0016818617,0.04746640696,601.36136,0.00001804
609.8125,0.1127353412,0.0020558588,0.0580215546,601.58158,0.00009799
609.90625,0.1118137882,0.0011343058,0.03201298937,601.80180,0.00043841
610.0,0.1122925706,0.0016130882,0.04552544419,602.02202,0.00161555
610.09375,0.1125443118,0.0018648294,0.05263021996,602.24224,0.00490355
610.1875,0.1124958088,0.0018163264,0.05126134216,602.46246,0.01225897
610.3125,0.1127658441,0.0020863617,0.05888242387,602.68268,0.02524349
610.40625,0.1126770882,0.0019976058,0.05637750705,602.90290,0.04281511
610.5,0.1125681265,0.0018886441,0.05330233125,603.12312,0.05981318
610.59375,0.1128432059,0.0021637235,0.06106577027,603.34334,0.06882542
610.6875,0.1146318382,0.0039523558,0.1115455146,603.56356,0.06523085
610.8125,0.1174699324,0.00679045,0.1916437381,603.78378,0.05092246
610.90625,0.1192604647,0.0085809823,0.2421771053,604.00400,0.03274296
611.0,0.1311892765,0.0205097941,0.5788384582,604.22422,0.01734118
611.09375,0.1658562794,0.055176797,1.55722929,604.44444,0.00756470
611.1875,0.2128046912,0.1021252088,2.88223266,604.66466,0.00271804
611.3125,0.2327182882,0.1220388058,3.444244923,604.88488,0.00080440
611.40625,0.2439880000,0.1333085176,3.7623048,605.10511,0.00019608
611.5,0.2746232676,0.1639437852,4.626909827,605.32533,0.00003937
611.59375,0.3250129412,0.2143334588,6.049034341,605.54555,0.00000651
611.6875,0.3541201618,0.2434406794,6.870514002,605.76577,0.00000089
611.8125,0.3552861618,0.2446066794,6.903421482,605.98599,0.00000010
611.90625,0.3540389824,0.2433595,6.868222913,606.20621,0.00000001
612.0,0.3390770176,0.2283975352,6.445958282,606.42643,0.00000000
612.09375,0.2995308147,0.1888513323,5.329864039,606.64665,0.00000000
612.1875,0.2445599735,0.1338804911,3.778447345,606.86687,0.00000000
612.3125,0.2212120794,0.110532597,3.119510499,607.08709,0.00000000
612.40625,0.2056158353,0.0949363529,2.679344896,607.30731,0.00000000
612.5,0.1764465735,0.0657670911,1.856114275,607.52753,0.00000000
612.59375,0.1365087441,0.0258292617,0.7289673386,607.74775,0.00000000
612.6875,0.1171076765,0.0064281941,0.1814199569,607.96797,0.00000000
612.8125,0.1153476147,0.0046681323,0.1317465446,608.18819,0.00000000
612.90625,0.1144959676,0.0038164852,0.1077109014,608.40841,0.00000005
613.0,0.1126118882,0.0019324058,0.05453739752,608.62863,0.00000049
613.09375,0.1123784294,0.001698947,0.0479485975,608.84885,0.00000430
613.1875,0.1125310029,0.0018515205,0.05225460901,609.06907,0.00003123
613.3125,0.1128433029,0.0021638205,0.06106850786,609.28929,0.00018702
613.40625,0.1126964118,0.0020169294,0.0569228681,609.50951,0.00092241
613.5,0.1126697265,0.0019902441,0.05616974119,609.72973,0.00374723
613.59375,0.1125164794,0.001836997,0.05184471897,609.94995,0.01253860
613.6875,0.1124935206,0.0018140382,0.05119676335,610.17017,0.03455729
613.8125,0.1125540735,0.0018745911,0.05290571991,610.39039,0.07844812
613.90625,0.1119119971,0.0012325147,0.03478469385,610.61061,0.14668225
614.0,0.1123611324,0.00168165,0.04746043225,610.83083,0.22590445
614.09375,0.1135468529,0.0028673705,0.08092447498,611.05105,0.28656568
614.1875,0.1129548118,0.0022753294,0.0642155721,611.27127,0.29941652
614.3125,0.1123367765,0.0016572941,0.04677304692,611.49149,0.25767928
614.40625,0.1116692029,0.0009897205,0.02793242514,611.71171,0.18265662
614.5,0.1121038559,0.0014243735,0.04019943626,611.93193,0.10664574
614.59375,0.1123739824,0.0016945,0.04782309187,612.15215,0.05128659
614.6875,0.1120610294,0.001381547,0.03899076371,612.37237,0.02031497
614.8125,0.1123178500,0.0016383676,0.04623889304,612.59259,0.00662798
614.90625,0.1121630824,0.0014836,0.04187095845,612.81281,0.00178114
615.0,0.1126959824,0.0020165,0.05691074934,613.03303,0.00039425
615.09375,0.1122821235,0.0016026411,0.04523060051,613.25325,0.00007188
615.1875,0.1120621971,0.0013827147,0.03902371917,613.47347,0.00001079
615.3125,0.1123341559,0.0016546735,0.04669908693,613.69369,0.00000134
615.40625,0.1125253324,0.00184585,0.05209457311,613.91391,0.00000014
615.5,0.1121569824,0.0014775,0.04169880097,614.13413,0.00000001
615.59375,0.1121247059,0.0014452235,0.0407878762,614.35435,0.00000000
615.6875,0.1120562853,0.0013768029,0.03885687316,614.57457,0.00000000
615.8125,0.1120520765,0.0013725941,0.03873809014,614.79479,0.00000000
615.90625,0.1121903824,0.0015109,0.04264143376,615.01502,0.00000000
616.0,0.1120261059,0.0013466235,0.03800513388,615.23524,0.00000000
616.09375,0.1120977059,0.0014182235,0.04002586765,615.45546,0.00000000
616.1875,0.1122978265,0.0016183441,0.04567377903,615.67568,0.00000000
616.3125,0.1119704147,0.0012909323,0.03643338683,615.89590,0.00000000
616.40625,0.1118835971,0.0012041147,0.03398317375,616.11612,0.00000000
616.5,0.1124189176,0.0017394352,0.04909127729,616.33634,0.00000007
616.59375,0.1124962235,0.0018167411,0.05127304605,616.55656,0.00000074
616.6875,0.1119497588,0.0012702764,0.03585042489,616.77678,0.00000681
616.8125,0.1120993176,0.0014198352,0.04007135392,616.99700,0.00005146
616.90625,0.1119484912,0.0012690088,0.03581465,617.21722,0.00032024
617.0,0.1122100559,0.0015305735,0.04319666988,617.43744,0.00164165
617.09375,0.1124342853,0.0017548029,0.0495249928,617.65766,0.00693156
617.1875,0.1120501235,0.0013706411,0.03868297152,617.87788,0.02410652
617.3125,0.1121244882,0.0014450058,0.04078173215,618.09810,0.06905422
617.40625,0.1120669706,0.0013874882,0.03915843946,618.31832,0.16292889
617.5,0.1118549324,0.00117545,0.03317418314,618.53854,0.31663447
617.59375,0.1122615088,0.0015820264,0.04464880134,618.75876,0.50683950
617.6875,0.1123719500,0.0016924676,0.04776573238,618.97898,0.66824372
617.8125,0.1121366500,0.0014571676,0.04112496902,619.19920,0.72569060
617.90625,0.1122352529,0.0015557705,0.04390779318,619.41942,0.64911297
618.0,0.1123296029,0.0016501205,0.04657058971,619.63964,0.47823488
618.09375,0.1120904412,0.0014109588,0.03982083937,619.85986,0.29021135
618.1875,0.1124599029,0.0017804205,0.05024798651,620.08008,0.14505734
618.3125,0.1120349000,0.0013554176,0.03825332571,620.30030,0.05971964
618.40625,0.1124651941,0.0017857117,0.05039731761,620.52052,0.02025102
618.5,0.1121240324,0.00144455,0.04076886832,620.74074,0.00565625
618.59375,0.1135368706,0.0028573882,0.08064274913,620.96096,0.00130126
618.6875,0.1146635529,0.0039840705,0.112440584,621.18118,0.00024657
618.8125,0.1158195412,0.0051400588,0.1450655085,621.40140,0.00003848
618.90625,0.1170902206,0.0064107382,0.1809273071,621.62162,0.00000495
619.0,0.1189437324,0.00826425,0.2332381157,621.84184,0.00000052
619.09375,0.1226819824,0.0120025,0.3387410211,622.06206,0.00000005
619.1875,0.1274260529,0.0167465705,0.4726307345,622.28228,0.00000000
619.3125,0.1301646294,0.019485147,0.5499203158,622.50250,0.00000000
619.40625,0.1316243824,0.0209449,0.5911182514,622.72272,0.00000000
619.5,0.1338164559,0.0231369735,0.6529841306,622.94294,0.00000000
619.59375,0.1362871324,0.02560765,0.7227128938,623.16316,0.00000000
619.6875,0.1369549000,0.0262754176,0.7415589907,623.38338,0.00000000
619.8125,0.1362002029,0.0255207205,0.7202595226,623.60360,0.00000000
619.90625,0.1355168176,0.0248373352,0.7009726545,623.82382,0.00000000
620.0,0.1334952324,0.02281575,0.6439183879,624.04404,0.00000000
620.09375,0.1296983412,0.0190188588,0.536760479,624.26426,0.00000001
620.1875,0.1252096353,0.0145301529,0.4100778029,624.48448,0.00000011
620.3125,0.1225533941,0.0118739117,0.3351119328,624.70470,0.00000125
620.40625,0.1211441500,0.0104646676,0.2953394866,624.92492,0.00001127
620.5,0.1189291294,0.008249647,0.2328259819,625.14515,0.00008372
620.59375,0.1157049882,0.0050255058,0.1418325321,625.36537,0.00051246
