Time (ps) dt = 0.005 ps, Potential energy (eV/cell) dt = 0.005 ps, Kinetic energy (eV/cell) dt = 0.005 ps, Total energy (ev/cell) dt = 0.005 ps, Time (ps) dt = 0.010 ps, Potential energy (eV/cell) dt = 0.010 ps, Kinetic energy (eV/cell) dt = 0.010 ps, Total energy (ev/cell) dt = 0.010 ps, Time (ps) dt = 0.020 ps, Potential energy (eV/cell) dt = 0.020 ps, Kinetic energy (eV/cell) dt = 0.020 ps, Total energy (ev/cell) dt = 0.020 ps
0.00000000e+00, 7.89121320e-01, 0.00000000e+00, 7.89121320e-01, 0.00000000e+00, 7.89121320e-01, 0.00000000e+00, 7.89121320e-01, 0.00000000e+00, 7.89121320e-01, 0.00000000e+00, 7.89121320e-01
5.00000000e-03, 7.17142280e-01, 6.92559294e-02, 7.86398209e-01, 1.00000000e-02, 5.33349487e-01, 2.21864570e-01, 7.55214057e-01, 2.00000000e-02, 1.73093866e-01, 4.04933225e-01, 5.78027090e-01
1.00000000e-02, 5.41186923e-01, 2.39855306e-01, 7.81042229e-01, 2.00000000e-02, 1.89508219e-01, 5.44643743e-01, 7.34151961e-01, 4.00000000e-02, 3.23649044e-01, 3.29360250e-01, 6.53009294e-01
1.50000000e-02, 3.44020890e-01, 4.32853148e-01, 7.76874037e-01, 3.00000000e-02, 1.29172097e-01, 6.11595366e-01, 7.40767462e-01, 6.00000000e-02, 3.68875647e-01, 2.62892510e-01, 6.31768158e-01
2.00000000e-02, 1.93933183e-01, 5.81481871e-01, 7.75415055e-01, 4.00000000e-02, 2.97363932e-01, 4.56860264e-01, 7.54224196e-01, 8.00000000e-02, 3.61293102e-01, 2.68965700e-01, 6.30258802e-01
2.50000000e-02, 1.20793262e-01, 6.54818159e-01, 7.75611421e-01, 5.00000000e-02, 4.64041997e-01, 3.02674663e-01, 7.66716659e-01, 1.00000000e-01, 4.28466622e-01, 2.26609653e-01, 6.55076275e-01
3.00000000e-02, 1.24579337e-01, 6.52291994e-01, 7.76871331e-01, 6.00000000e-02, 4.49258606e-01, 3.08428912e-01, 7.57687519e-01, 1.20000000e-01, 2.87820209e-01, 3.32957245e-01, 6.20777454e-01
3.50000000e-02, 1.89002442e-01, 5.89244339e-01, 7.78246780e-01, 7.00000000e-02, 3.65469753e-01, 3.83868092e-01, 7.49337845e-01, 1.40000000e-01, 3.83596194e-01, 2.64691920e-01, 6.48288115e-01
4.00000000e-02, 2.89975866e-01, 4.90264588e-01, 7.80240454e-01, 8.00000000e-02, 3.52104182e-01, 3.97781335e-01, 7.49885517e-01, 1.60000000e-01, 3.79187328e-01, 2.63581311e-01, 6.42768639e-01
4.50000000e-02, 3.94031926e-01, 3.88390081e-01, 7.82422007e-01, 9.00000000e-02, 4.09796918e-01, 3.45170959e-01, 7.54967878e-01, 1.80000000e-01, 3.30157842e-01, 3.09882207e-01, 6.40040048e-01
