Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
0.01000000, 0.53334949, 0.22186457, 0.75521406, 155.95480114, 4.28480112, 65.45082700
0.02000000, 0.18756539, 0.55394735, 0.74151274, 798.23093112, 2.45505871, 65.45082700
0.03000000, 0.13051875, 0.61162167, 0.74214042, 909.77792675, 2.23299795, 65.45082700
0.04000000, 0.29809559, 0.44902272, 0.74711831, 595.29782811, 3.31402404, 65.45082700
0.05000000, 0.45913580, 0.29796083, 0.75709664, 303.13139859, 4.22520764, 65.45082700
0.06000000, 0.44254341, 0.30957315, 0.75211656, 325.59059736, 4.07675296, 65.45082700
0.07000000, 0.36246220, 0.38536753, 0.74782973, 472.18332869, 3.47558791, 65.45082700
0.08000000, 0.35340383, 0.39574658, 0.74915041, 492.25727741, 3.29171703, 65.45082700
0.09000000, 0.41226561, 0.34210848, 0.75437409, 388.51667992, 3.63994267, 65.45082700
0.10000000, 0.45791016, 0.30239880, 0.76030896, 311.71480556, 3.94702322, 65.45082700
0.11000000, 0.43058333, 0.33296056, 0.76354389, 370.82383083, 3.78465839, 65.45082700
0.12000000, 0.34800141, 0.41290289, 0.76090431, 525.43903644, 3.28230405, 65.45082700
0.13000000, 0.29881810, 0.45781133, 0.75662943, 612.29575217, 3.02438108, 65.45082700
0.14000000, 0.34407150, 0.41295548, 0.75702698, 525.54075151, 3.30378691, 65.45082700
0.15000000, 0.43683482, 0.32722667, 0.76406149, 359.73399050, 3.86384037, 65.45082700
0.16000000, 0.46213789, 0.30682264, 0.76896054, 320.27088875, 4.03533799, 65.45082700
0.17000000, 0.39458947, 0.37086452, 0.76545399, 444.13327837, 3.62923956, 65.45082700
0.18000000, 0.33787572, 0.42581170, 0.76368742, 550.40576549, 3.24845443, 65.45082700
0.19000000, 0.34574638, 0.41914077, 0.76488715, 537.50362000, 3.25797197, 65.45082700
0.20000000, 0.38739227, 0.37922318, 0.76661545, 460.29962932, 3.46159579, 65.45082700
0.21000000, 0.41606481, 0.35290904, 0.76897385, 409.40586586, 3.58029889, 65.45082700
0.22000000, 0.40766419, 0.36177411, 0.76943830, 426.55165833, 3.49684523, 65.45082700
0.23000000, 0.38560402, 0.38299292, 0.76859695, 467.59063821, 3.37957474, 65.45082700
0.24000000, 0.38705021, 0.38298842, 0.77003864, 467.58192899, 3.46192287, 65.45082700
0.25000000, 0.40219856, 0.37163662, 0.77383518, 445.62657875, 3.65900264, 65.45082700
0.26000000, 0.39039082, 0.38284961, 0.77324043, 467.31346247, 3.66009674, 65.45082700
