Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
-4.02574402, 11.66985407, -12.58216530, 11.90365552, 12.92760216, -9.54936359, 25.26212593, 2.98792853, 2.21905163
-3.98180029, 11.71440040, -12.50131890, 11.86526144, 12.93810965, -9.56244666, 25.29831170, 2.96183514, 2.25189430
-3.90409241, 11.75011057, -12.41761268, 11.80725111, 12.93835607, -9.57605413, 25.32883060, 2.92406701, 2.29576943
-3.79548251, 11.76334411, -12.33909996, 11.74066159, 12.92748452, -9.58474236, 25.34558488, 2.87547785, 2.35793086
-3.67054863, 11.75255882, -12.26768262, 11.68532603, 12.90276657, -9.58164422, 25.34642134, 2.82140508, 2.43340333
-3.55404706, 11.71743089, -12.20650732, 11.65999244, 12.85828522, -9.56168884, 25.33804784, 2.77100666, 2.50327634
-3.47440225, 11.65902491, -12.16459276, 11.67092849, 12.78882493, -9.52681007, 25.32967667, 2.73443086, 2.54683176
-3.45501640, 11.58864346, -12.15807168, 11.71106900, 12.69615393, -9.48606211, 25.32457485, 2.72280538, 2.55340771
-3.49918779, 11.52281411, -12.19923278, 11.76556616, 12.59038140, -9.45083509, 25.31859219, 2.74251964, 2.52762613
-3.58273858, 11.46827843, -12.27860772, 11.82185216, 12.48284853, -9.42947072, 25.30717150, 2.79019860, 2.48368583
-3.67858138, 11.42515110, -12.37165608, 11.87078539, 12.38434583, -9.42358262, 25.28896208, 2.85302537, 2.43624711
-3.77337129, 11.39590985, -12.45373513, 11.90747522, 12.30598846, -9.42916466, 25.26625117, 2.91256476, 2.39760157
-3.86239886, 11.38712120, -12.50187264, 11.93074617, 12.25613412, -9.44142956, 25.24514303, 2.95175675, 2.37500187
-3.94569817, 11.40527092, -12.50644620, 11.93994181, 12.23389992, -9.45684295, 25.22945187, 2.95726445, 2.37415982
-4.02336230, 11.45043007, -12.47591077, 11.93540175, 12.22806481, -9.47507025, 25.21534405, 2.92471152, 2.39804743
-4.09169991, 11.50870063, -12.43072025, 11.91557493, 12.22342453, -9.49503420, 25.19522797, 2.86027944, 2.44384331
-4.13797205, 11.54583418, -12.39331079, 11.87767270, 12.20332577, -9.50726070, 25.16449026, 2.77636326, 2.50306318
-4.14774194, 11.52301884, -12.38189115, 11.81950386, 12.15207062, -9.49412520, 25.12123832, 2.68378502, 2.56575419
-4.12552009, 11.44156715, -12.39513258, 11.74204340, 12.06245539, -9.44808607, 25.06353262, 2.59161514, 2.62379802
-4.08971023, 11.33090029, -12.41541972, 11.65585232, 11.94329639, -9.37954032, 24.99143022, 2.50959732, 2.67055689
-4.05415027, 11.20937610, -12.42829991, 11.57684009, 11.81078007, -9.30147844, 24.90599739, 2.44619976, 2.70161815
-4.02816383, 11.08351766, -12.42315181, 11.51907555, 11.67894808, -9.21957197, 24.81040495, 2.40733580, 2.71725117
-4.01618020, 10.95743103, -12.39471310, 11.49238156, 11.56173669, -9.13838863, 24.71140212, 2.39382041, 2.71966132
-4.01884331, 10.83805734, -12.34171761, 11.49620209, 11.47507916, -9.06237291, 24.62096569, 2.39608671, 2.71462832
-4.03153796, 10.73725515, -12.26899513, 11.52424957, 11.43050766, -8.99351514, 24.55326126, 2.39753534, 2.71005638
-4.04600019, 10.67061580, -12.18580221, 11.56947532, 11.42532330, -8.93100475, 24.51588675, 2.38284551, 2.71299163
-4.04979951, 10.65152183, -12.10203326, 11.62777825, 11.44498712, -8.87672360, 24.50163507, 2.34780651, 2.72441363
-4.03181277, 10.68627243, -12.02598986, 11.69445166, 11.47369084, -8.83234164, 24.49312904, 2.30249092, 2.73616233
-3.99308934, 10.76678336, -11.96273275, 11.75964701, 11.49589568, -8.79727373, 24.47474648, 2.26164110, 2.73470644
-3.94329114, 10.87514549, -11.91104235, 11.81080835, 11.49919613, -8.76768714, 24.44047364, 2.23741495, 2.70754888
-3.89131781, 10.98876482, -11.86743309, 11.83956711, 11.47843432, -8.73953307, 24.39773461, 2.23844182, 2.65134110
-3.84375687, 11.07986433, -11.83639021, 11.84321981, 11.43771633, -8.71423783, 24.37064449, 2.26730455, 2.57531560
-3.80435616, 11.12647395, -11.82595975, 11.82542337, 11.38668748, -8.69776699, 24.38511059, 2.31766267, 2.49393340
-3.77787340, 11.13170425, -11.83714514, 11.79519593, 11.33505242, -8.69617862, 24.43950035, 2.36933768, 2.41485806
-3.77199287, 11.12253801, -11.86769127, 11.76236967, 11.29054821, -8.71061934, 24.50224247, 2.39040114, 2.34054803
-3.79025710, 11.12843469, -11.91996313, 11.73242659, 11.26126601, -8.73386327, 24.54664654, 2.36532361, 2.27158256
-3.82348208, 11.16734610, -11.99747110, 11.70992963, 11.25748335, -8.75085136, 24.56974679, 2.31285604, 2.21584117
-3.85504717, 11.24663389, -12.09539762, 11.70101973, 11.28353165, -8.74785633, 24.58005696, 2.26285217, 2.19464794
-3.87236711, 11.36575558, -12.20672241, 11.71488550, 11.32930582, -8.72606656, 24.58126175, 2.23272874, 2.22391826
-3.87235881, 11.51574597, -12.32811548, 11.76025305, 11.37806912, -8.70097397, 24.57229829, 2.22260678, 2.29189536
-3.86116640, 11.67951591, -12.45989023, 11.83761409, 11.41949480, -8.68873612, 24.55642277, 2.22476957, 2.37203239
-3.84892091, 11.83908677, -12.59696683, 11.93651446, 11.44875064, -8.69825590, 24.54198061, 2.23382097, 2.44242899
-3.84515237, 11.98326271, -12.72758563, 12.04330935, 11.46312652, -8.72932205, 24.54038848, 2.24879774, 2.48965269
-3.85556988, 12.10937105, -12.83692685, 12.14493416, 11.46145120, -8.77738852, 24.56041214, 2.26922387, 2.50675039
-3.87499185, 12.21942796, -12.91762362, 12.23054251, 11.44428989, -8.83527218, 24.60325233, 2.28876780, 2.49718757
-3.89172150, 12.31778437, -12.97241979, 12.29121004, 11.41465363, -8.89442051, 24.66908173, 2.29396598, 2.47065494
-3.89726456, 12.40759667, -13.00818075, 12.31575276, 11.37765145, -8.94693896, 24.75589828, 2.27342218, 2.43603972
-3.89203763, 12.49037605, -13.03286554, 12.29461684, 11.33704005, -8.98631252, 24.85096298, 2.22715524, 2.39558961
-3.88169661, 12.56510657, -13.05407416, 12.22800392, 11.29304915, -9.01060194, 24.93521996, 2.16324616, 2.34933042
-3.87241260, 12.63043265, -13.07838532, 12.12644003, 11.24587149, -9.02106172, 24.99516969, 2.09263582, 2.30079443
-3.86915389, 12.68538321, -13.11100913, 12.00362974, 11.20326737, -9.01787024, 25.02839719, 2.02961192, 2.26211576
-3.87406758, 12.72815248, -13.15515786, 11.87293030, 11.17743831, -9.00458758, 25.04766567, 1.99516627, 2.24818936
-3.88603526, 12.75651067, -13.21363057, 11.75742372, 11.17377917, -8.99718663, 25.07272890, 2.01006662, 2.26674754
-3.90186971, 12.76802597, -13.28869129, 11.68770406, 11.19115676, -9.01718034, 25.11039658, 2.07345159, 2.31254927
-3.91668223, 12.76108233, -13.38044954, 11.67971548, 11.22855020, -9.06722048, 25.15149349, 2.16139456, 2.36959477
-3.92182151, 12.73421967, -13.48465108, 11.71435025, 11.28308249, -9.13051382, 25.18601435, 2.24876895, 2.42103428
-3.90396996, 12.68805312, -13.58200851, 11.75616008, 11.34946463, -9.18991135, 25.20911842, 2.31519945, 2.45558464
-3.84595759, 12.62846408, -13.64162869, 11.78009140, 11.42365894, -9.23122178, 25.21709522, 2.34384118, 2.46608613
-3.74441968, 12.56931090, -13.65474653, 11.77669720, 11.50111291, -9.23707219, 25.20725794, 2.33195478, 2.45047497
-3.62011116, 12.52347137, -13.64886577, 11.74615743, 11.58098609, -9.19409894, 25.17941818, 2.28859398, 2.41150068
-3.49442501, 12.49956217, -13.64970198, 11.70039179, 11.66722819, -9.10840922, 25.13908831, 2.22592226, 2.35626564
-3.37910089, 12.50184912, -13.66641080, 11.65981884, 11.76334965, -8.99982002, 25.09897753, 2.15461584, 2.29467690
-3.27820611, 12.52866781, -13.69318098, 11.64447849, 11.87273424, -8.89101919, 25.07654297, 2.08568757, 2.24254909
-3.19663495, 12.57477956, -13.71457721, 11.66094222, 11.99860030, -8.79575935, 25.08429778, 2.03298800, 2.22115885
-3.14150705, 12.63369912, -13.71873576, 11.69727564, 12.13400527, -8.71334556, 25.11541161, 2.00477803, 2.23749382
-3.11491759, 12.69922186, -13.70362061, 11.73201187, 12.25774448, -8.63877811, 25.15281536, 1.99987387, 2.27410385
-3.11060508, 12.76704760, -13.67664997, 11.75000665, 12.34230942, -8.57011931, 25.18269740, 2.01144631, 2.30655036
-3.11842389, 12.83389405, -13.64616065, 11.74764738, 12.36581961, -8.50889102, 25.19690002, 2.03112778, 2.31983349
-3.13026232, 12.89624469, -13.61687061, 11.73047735, 12.32734936, -8.45855841, 25.19260503, 2.05261408, 2.30866842
-3.14064324, 12.95026208, -13.59068069, 11.70516012, 12.24870222, -8.42369028, 25.17407511, 2.07491835, 2.27731397
-3.14623351, 12.99307576, -13.56715631, 11.67702833, 12.16018640, -8.40939182, 25.14940467, 2.09892608, 2.23738028
-3.14649521, 13.02347302, -13.54451531, 11.65133284, 12.08794046, -8.42300653, 25.12509450, 2.12312793, 2.20233110
-3.14347418, 13.04078835, -13.52065287, 11.63677163, 12.04904926, -8.47170320, 25.10316263, 2.13918507, 2.18442281
-3.14280986, 13.04371728, -13.49645822, 11.64045709, 12.04546275, -8.55038309, 25.08070436, 2.13778785, 2.19308605
-3.15516689, 13.03317610, -13.47892807, 11.66486248, 12.06595141, -8.64082829, 25.05506765, 2.11277528, 2.23081292
-3.19710937, 13.01141657, -13.48065798, 11.70846182, 12.09706457, -8.72146234, 25.02924256, 2.06240436, 2.29173789
-3.28036358, 12.97912621, -13.51112324, 11.76619652, 12.12740052, -8.77649978, 25.01035857, 1.99320350, 2.36397102
-3.39681707, 12.93670734, -13.56697878, 11.83009313, 12.14961102, -8.79975255, 25.00725117, 1.92274771, 2.43378488
-3.52503124, 12.88657274, -13.63610090, 11.89290817, 12.16032325, -8.79432926, 25.02623070, 1.87528536, 2.48730251
-3.64914990, 12.83052085, -13.71232467, 11.94896894, 12.15843407, -8.76917277, 25.06411699, 1.86717551, 2.52123995
-3.76205893, 12.76801963, -13.79604973, 11.99400545, 12.14451213, -8.73327731, 25.11007656, 1.89984349, 2.54493183
-3.86378715, 12.69923228, -13.88607228, 12.02375484, 12.12088956, -8.69404333, 25.15686251, 1.95962972, 2.57051617
-3.95690110, 12.62617601, -13.97783118, 12.03707881, 12.09180413, -8.65822687, 25.20521791, 2.02579062, 2.60351615
-4.04408708, 12.55481614, -14.06456045, 12.03880765, 12.06478230, -8.63106521, 25.25821192, 2.08109393, 2.64571572
-4.12667578, 12.49708421, -14.14020691, 12.03743065, 12.04933282, -8.61438213, 25.31597132, 2.11483999, 2.69803709
-4.20396189, 12.46437837, -14.19867943, 12.03924814, 12.05183076, -8.60405976, 25.37432147, 2.12068313, 2.75631163
-4.26378435, 12.46224623, -14.23362379, 12.04398626, 12.06946700, -8.59180509, 25.42521238, 2.09880766, 2.81117405
-4.29020593, 12.48433231, -14.24288751, 12.04854183, 12.09587347, -8.56983371, 25.45764143, 2.06142590, 2.85326307
-4.28000973, 12.51535017, -14.23149255, 12.04962368, 12.12678258, -8.53325485, 25.45657523, 2.03444481, 2.87606253
-4.23992168, 12.54137266, -14.20963884, 12.04372469, 12.15921060, -8.47938389, 25.41134850, 2.04174614, 2.87526346
-4.17709971, 12.55441278, -14.18691840, 12.02813108, 12.19127519, -8.40877967, 25.33010570, 2.08479927, 2.85014818
-4.09660101, 12.55045464, -14.16826464, 12.00127034, 12.22084849, -8.32742177, 25.23526902, 2.15000116, 2.80167525
-4.00363871, 12.52823725, -14.15416341, 11.96221880, 12.24815249, -8.24759536, 25.14676954, 2.22703618, 2.73082692
