Temperature (K), Average total energy (eV), Heat capacity (eV/K), Average of absolute value of order parameter P, Average order parameter r, Acceptance ratio
0.00000000e+00, -2.35200000e+03, 0, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
5.00000000e+00, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
3.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
3.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
4.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
4.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
5.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
5.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
6.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
6.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
7.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
7.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
8.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
8.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
9.00000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
9.50000000e+01, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.00000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.05000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.10000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.15000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.20000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.25000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.30000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.35000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.40000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.45000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.50000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.55000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.60000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.65000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.70000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.75000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.80000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.85000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.90000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
1.95000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.00000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.05000000e+02, -2.35187796e+03, 6.40183529e-03, 9.99217672e-01, 9.98435345e-01, 7.87600000e-04
2.10000000e+02, -2.35199695e+03, 2.47985759e-04, 9.99980447e-01, 9.99960894e-01, 2.02000000e-05
2.15000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.20000000e+02, -2.35195148e+03, 3.06533295e-03, 9.99688965e-01, 9.99377930e-01, 3.13500000e-04
2.25000000e+02, -2.35200000e+03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00
2.30000000e+02, -2.35191750e+03, 6.23232793e-03, 9.99471167e-01, 9.98942334e-01, 5.20400000e-04
2.35000000e+02, -2.35179271e+03, 4.56116920e-03, 9.98671223e-01, 9.97342445e-01, 1.32940000e-03
2.40000000e+02, -2.35192299e+03, 3.64604017e-03, 9.99506340e-01, 9.99012680e-01, 4.92600000e-04
2.45000000e+02, -2.35172565e+03, 7.41925452e-03, 9.98241317e-01, 9.96482634e-01, 1.76960000e-03
2.50000000e+02, -2.35190346e+03, 4.77680121e-03, 9.99381153e-01, 9.98762305e-01, 6.38300000e-04
2.55000000e+02, -2.35183608e+03, 6.91032166e-03, 9.98949200e-01, 9.97898401e-01, 1.04220000e-03
2.60000000e+02, -2.35194129e+03, 3.65375398e-03, 9.99623645e-01, 9.99247289e-01, 3.73200000e-04
2.65000000e+02, -2.35173113e+03, 8.24267373e-03, 9.98276477e-01, 9.96552954e-01, 1.71700000e-03
2.70000000e+02, -2.35154730e+03, 1.09447211e-02, 9.97085508e-01, 9.94196136e-01, 2.96000000e-03
2.75000000e+02, -2.35167491e+03, 1.48917753e-02, 9.97855069e-01, 9.95832143e-01, 2.16270000e-03
2.80000000e+02, -2.35149437e+03, 8.50142017e-03, 9.96734916e-01, 9.93517595e-01, 3.34290000e-03
2.85000000e+02, -2.35156477e+03, 1.02252537e-02, 9.97170842e-01, 9.94420137e-01, 2.83280000e-03
2.90000000e+02, -2.35148411e+03, 1.95811589e-02, 9.96587505e-01, 9.93385984e-01, 3.47780000e-03
2.95000000e+02, -2.35128975e+03, 1.49510317e-02, 9.95358394e-01, 9.90894216e-01, 4.69370000e-03
3.00000000e+02, -2.35116463e+03, 1.40527450e-02, 9.94545344e-01, 9.89290132e-01, 5.53620000e-03
3.05000000e+02, -2.35109328e+03, 1.55608012e-02, 9.94112776e-01, 9.88375345e-01, 5.88560000e-03
3.10000000e+02, -2.35114414e+03, 1.57738122e-02, 9.94440662e-01, 9.89027426e-01, 5.64630000e-03
3.15000000e+02, -2.35095466e+03, 2.16711754e-02, 9.93192730e-01, 9.86598232e-01, 6.80140000e-03
3.20000000e+02, -2.35092662e+03, 2.42631137e-02, 9.92999642e-01, 9.86238729e-01, 7.07350000e-03
3.25000000e+02, -2.35083936e+03, 2.62134038e-02, 9.92446111e-01, 9.85120057e-01, 7.57680000e-03
3.30000000e+02, -2.35075191e+03, 2.54832650e-02, 9.91845031e-01, 9.83998910e-01, 8.21920000e-03
