Temperature (K), Average total energy (eV), 1 sigma uncertainty total energy (eV), Statistical inefficiency total energy, Heat capacity (eV/K), 1 sigma uncertainty heat capacity (eV), Statistical inefficiency heat capacity, Average of absolute value of long range order P, 1 sigma uncertainty absolute value of long range order P, Statistical inefficiency long range order P, Average short range order r, Statistical inefficiency short range order r, 1 sigma uncertainty short range order r, Acceptance ratio
3.00000000e+02, -2.35134368e+03, 1.08620503e-01, 7.94328235e+05, 1.91524798e-02, 3.11731998e-03, 1.58489319e+05, 9.95755514e-01, 7.12706382e-04, 7.94328235e+05, 9.91585655e-01, 1.39257055e-03, 7.94328235e+05, 4.25220000e-03
3.20000000e+02, -2.35092673e+03, 8.56756576e-02, 3.54813389e+05, 2.34454646e-02, 4.43054944e-03, 1.58489319e+05, 9.93014150e-01, 5.34972341e-04, 3.16227766e+05, 9.86240179e-01, 1.09840587e-03, 3.54813389e+05, 6.97970000e-03
3.40000000e+02, -2.35039392e+03, 1.31247351e-01, 5.62341325e+05, 3.07515609e-02, 4.20919244e-03, 1.12201845e+05, 9.89410303e-01, 8.86749166e-04, 5.62341325e+05, 9.79409226e-01, 1.68265834e-03, 5.62341325e+05, 1.05989000e-02
3.60000000e+02, -2.34981101e+03, 1.51624831e-01, 6.30957344e+05, 3.26271821e-02, 4.29759895e-03, 8.91250938e+04, 9.85540695e-01, 1.03158597e-03, 6.30957344e+05, 9.71936022e-01, 1.94390809e-03, 6.30957344e+05, 1.44079000e-02
3.80000000e+02, -2.34904473e+03, 8.05377388e-02, 1.41253754e+05, 3.69041816e-02, 4.37916492e-03, 6.30957344e+04, 9.80442022e-01, 5.85861388e-04, 1.58489319e+05, 9.62111877e-01, 1.03253511e-03, 1.41253754e+05, 1.96262000e-02
4.00000000e+02, -2.34809041e+03, 7.11463116e-02, 7.94328235e+04, 4.62198684e-02, 4.04444798e-03, 3.98107171e+04, 9.73911579e-01, 5.22473576e-04, 8.91250938e+04, 9.49877026e-01, 9.12132200e-04, 7.94328235e+04, 2.61055000e-02
4.20000000e+02, -2.34716081e+03, 6.72520919e-02, 6.30957344e+04, 4.71581676e-02, 4.50398751e-03, 5.01187234e+04, 9.67371273e-01, 4.75965655e-04, 6.30957344e+04, 9.37959073e-01, 8.62206306e-04, 6.30957344e+04, 3.27074000e-02
4.40000000e+02, -2.34579097e+03, 8.27954318e-02, 6.30957344e+04, 6.51255351e-02, 6.05482729e-03, 3.98107171e+04, 9.57786374e-01, 5.98729189e-04, 6.30957344e+04, 9.20397051e-01, 1.06147989e-03, 6.30957344e+04, 4.22431000e-02
4.60000000e+02, -2.34438853e+03, 9.35129859e-02, 6.30957344e+04, 7.60102380e-02, 5.04205133e-03, 2.51188643e+04, 9.47589715e-01, 6.83223222e-04, 6.30957344e+04, 9.02417016e-01, 1.19888443e-03, 6.30957344e+04, 5.25074000e-02
4.80000000e+02, -2.34269567e+03, 8.87737790e-02, 4.46683592e+04, 8.88650209e-02, 6.84204091e-03, 2.51188643e+04, 9.35114818e-01, 6.72644173e-04, 4.46683592e+04, 8.80713740e-01, 1.13812537e-03, 4.46683592e+04, 6.48789000e-02
5.00000000e+02, -2.34082725e+03, 8.77586113e-02, 3.98107171e+04, 8.98014569e-02, 4.81246873e-03, 1.58489319e+04, 9.20957470e-01, 7.26132394e-04, 4.46683592e+04, 8.56759665e-01, 1.12511040e-03, 3.98107171e+04, 7.91117000e-02
5.20000000e+02, -2.33859001e+03, 1.00310289e-01, 3.98107171e+04, 1.08474631e-01, 7.70647617e-03, 2.23872114e+04, 9.03741410e-01, 8.01244447e-04, 3.98107171e+04, 8.28077109e-01, 1.28602934e-03, 3.98107171e+04, 9.61617000e-02
5.40000000e+02, -2.33636841e+03, 9.66007083e-02, 3.16227766e+04, 1.17440261e-01, 5.95093772e-03, 1.41253754e+04, 8.85819944e-01, 8.04929289e-04, 3.16227766e+04, 7.99594985e-01, 1.23847062e-03, 3.16227766e+04, 1.14324900e-01
