Step number, E_T (atomic units), Number of walkers
0.00000000e+00, 5.00000000e-01, 2.00000000e+02
1.00000000e+00, 6.67736368e-01, 1.43000000e+02
2.00000000e+00, 8.53268209e-01, 1.38000000e+02
3.00000000e+00, 9.57023583e-01, 1.35000000e+02
4.00000000e+00, 1.02253068e+00, 1.35000000e+02
5.00000000e+00, 1.07166100e+00, 1.35000000e+02
6.00000000e+00, 1.11468275e+00, 1.34000000e+02
7.00000000e+00, 1.14805588e+00, 1.34000000e+02
8.00000000e+00, 1.17666142e+00, 1.34000000e+02
9.00000000e+00, 1.19797378e+00, 1.35000000e+02
1.00000000e+01, 1.21980948e+00, 1.35000000e+02
1.10000000e+01, 1.23577156e+00, 1.36000000e+02
1.20000000e+01, 1.24963865e+00, 1.37000000e+02
1.30000000e+01, 1.26540267e+00, 1.37000000e+02
1.40000000e+01, 1.27270757e+00, 1.39000000e+02
1.50000000e+01, 1.27502541e+00, 1.42000000e+02
1.60000000e+01, 1.27598841e+00, 1.45000000e+02
1.70000000e+01, 1.27243162e+00, 1.49000000e+02
1.80000000e+01, 1.26458644e+00, 1.54000000e+02
1.90000000e+01, 1.25273597e+00, 1.60000000e+02
2.00000000e+01, 1.26174298e+00, 1.59000000e+02
2.10000000e+01, 1.25813224e+00, 1.62000000e+02
2.20000000e+01, 1.25397484e+00, 1.65000000e+02
2.30000000e+01, 1.25232275e+00, 1.67000000e+02
2.40000000e+01, 1.24734052e+00, 1.70000000e+02
2.50000000e+01, 1.24197975e+00, 1.73000000e+02
2.60000000e+01, 1.23063429e+00, 1.78000000e+02
2.70000000e+01, 1.22176376e+00, 1.82000000e+02
2.80000000e+01, 1.21533568e+00, 1.85000000e+02
2.90000000e+01, 1.20603226e+00, 1.89000000e+02
3.00000000e+01, 1.20700761e+00, 1.89000000e+02
3.10000000e+01, 1.20531192e+00, 1.90000000e+02
3.20000000e+01, 1.20613923e+00, 1.90000000e+02
3.30000000e+01, 1.19910763e+00, 1.93000000e+02
3.40000000e+01, 1.19449275e+00, 1.95000000e+02
3.50000000e+01, 1.18723133e+00, 1.98000000e+02
3.60000000e+01, 1.17737458e+00, 2.02000000e+02
3.70000000e+01, 1.17476724e+00, 2.03000000e+02
3.80000000e+01, 1.16723094e+00, 2.06000000e+02
3.90000000e+01, 1.15722633e+00, 2.10000000e+02
4.00000000e+01, 1.15422552e+00, 2.11000000e+02
4.10000000e+01, 1.14184612e+00, 2.16000000e+02
4.20000000e+01, 1.12946542e+00, 2.21000000e+02
4.30000000e+01, 1.12601945e+00, 2.22000000e+02
4.40000000e+01, 1.12032162e+00, 2.24000000e+02
4.50000000e+01, 1.11018401e+00, 2.28000000e+02
4.60000000e+01, 1.10653995e+00, 2.29000000e+02
4.70000000e+01, 1.09640994e+00, 2.33000000e+02
4.80000000e+01, 1.08838857e+00, 2.36000000e+02
4.90000000e+01, 1.07826090e+00, 2.40000000e+02
5.00000000e+01, 1.06609083e+00, 2.45000000e+02
5.10000000e+01, 1.05396007e+00, 2.50000000e+02
5.20000000e+01, 1.04977638e+00, 2.51000000e+02
5.30000000e+01, 1.04560431e+00, 2.52000000e+02
5.40000000e+01, 1.03554983e+00, 2.56000000e+02
5.50000000e+01, 1.02551200e+00, 2.60000000e+02
5.60000000e+01, 1.01549313e+00, 2.64000000e+02
5.70000000e+01, 1.00549534e+00, 2.68000000e+02
5.80000000e+01, 9.91857498e-01, 2.74000000e+02
5.90000000e+01, 9.83698913e-01, 2.77000000e+02
6.00000000e+01, 9.73770160e-01, 2.81000000e+02
6.10000000e+01, 9.70936516e-01, 2.81000000e+02
6.20000000e+01, 9.66373124e-01, 2.82000000e+02
6.30000000e+01, 9.60068656e-01, 2.84000000e+02
6.40000000e+01, 9.55528194e-01, 2.85000000e+02
6.50000000e+01, 9.40628916e-01, 2.92000000e+02
6.60000000e+01, 9.34304884e-01, 2.94000000e+02
6.70000000e+01, 9.26310043e-01, 2.97000000e+02
6.80000000e+01, 9.18334019e-01, 3.00000000e+02
6.90000000e+01, 9.08730045e-01, 3.04000000e+02
7.00000000e+01, 9.04053874e-01, 3.05000000e+02
7.10000000e+01, 8.94524878e-01, 3.09000000e+02
7.20000000e+01, 8.85030373e-01, 3.13000000e+02
7.30000000e+01, 8.81920054e-01, 3.13000000e+02
7.40000000e+01, 8.75667619e-01, 3.15000000e+02
7.50000000e+01, 8.64724148e-01, 3.20000000e+02
7.60000000e+01, 8.58475516e-01, 3.22000000e+02
7.70000000e+01, 8.52246411e-01, 3.24000000e+02
7.80000000e+01, 8.44505446e-01, 3.27000000e+02
7.90000000e+01, 8.35274788e-01, 3.31000000e+02
8.00000000e+01, 8.27574865e-01, 3.34000000e+02
8.10000000e+01, 8.21384634e-01, 3.36000000e+02
8.20000000e+01, 8.13737729e-01, 3.39000000e+02
8.30000000e+01, 8.07578967e-01, 3.41000000e+02
8.40000000e+01, 7.97086570e-01, 3.46000000e+02
8.50000000e+01, 7.92380940e-01, 3.47000000e+02
8.60000000e+01, 7.83408998e-01, 3.51000000e+02
8.70000000e+01, 7.74473047e-01, 3.55000000e+02
8.80000000e+01, 7.65573044e-01, 3.59000000e+02
8.90000000e+01, 7.58088241e-01, 3.62000000e+02
9.00000000e+01, 7.49260383e-01, 3.66000000e+02
9.10000000e+01, 7.40468236e-01, 3.70000000e+02
9.20000000e+01, 7.34392671e-01, 3.72000000e+02
9.30000000e+01, 7.28339001e-01, 3.74000000e+02
9.40000000e+01, 7.23638626e-01, 3.75000000e+02
9.50000000e+01, 7.16310878e-01, 3.78000000e+02
9.60000000e+01, 7.05086295e-01, 3.84000000e+02
9.70000000e+01, 7.01688768e-01, 3.84000000e+02
9.80000000e+01, 6.95728859e-01, 3.86000000e+02
9.90000000e+01, 6.87219480e-01, 3.90000000e+02
1.00000000e+02, 6.80015168e-01, 3.93000000e+02
1.01000000e+02, 6.74099630e-01, 3.95000000e+02
1.02000000e+02, 6.65692654e-01, 3.99000000e+02
1.03000000e+02, 6.61055579e-01, 4.00000000e+02
1.04000000e+02, 6.55197016e-01, 4.02000000e+02
1.05000000e+02, 6.51840599e-01, 4.02000000e+02
1.06000000e+02, 6.42335600e-01, 4.07000000e+02
1.07000000e+02, 6.38984204e-01, 4.07000000e+02
1.08000000e+02, 6.29559048e-01, 4.12000000e+02
1.09000000e+02, 6.23791875e-01, 4.14000000e+02
1.10000000e+02, 6.16844372e-01, 4.17000000e+02
1.11000000e+02, 6.12306908e-01, 4.18000000e+02
1.12000000e+02, 6.08986349e-01, 4.18000000e+02
1.13000000e+02, 6.04500695e-01, 4.19000000e+02
1.14000000e+02, 6.03620683e-01, 4.17000000e+02
1.15000000e+02, 6.00398013e-01, 4.17000000e+02
1.16000000e+02, 5.96005760e-01, 4.18000000e+02
1.17000000e+02, 5.92828329e-01, 4.18000000e+02
1.18000000e+02, 5.86102354e-01, 4.21000000e+02
