Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
0.00000000e+00, -3.00000000e+00, 1.00000000e+03
1.00000000e-02, -2.99648769e+00, 9.93000000e+02
2.00000000e-02, -2.99045140e+00, 9.88000000e+02
3.00000000e-02, -2.98844438e+00, 9.90000000e+02
4.00000000e-02, -2.98777841e+00, 9.92000000e+02
5.00000000e-02, -2.98526000e+00, 9.89000000e+02
6.00000000e-02, -2.98263491e+00, 9.86000000e+02
7.00000000e-02, -2.98095265e+00, 9.85000000e+02
8.00000000e-02, -2.97630711e+00, 9.78000000e+02
9.00000000e-02, -2.97338066e+00, 9.75000000e+02
1.00000000e-01, -2.97299871e+00, 9.77000000e+02
1.10000000e-01, -2.97081069e+00, 9.75000000e+02
1.20000000e-01, -2.96811905e+00, 9.72000000e+02
1.30000000e-01, -2.96539014e+00, 9.69000000e+02
1.40000000e-01, -2.96159230e+00, 9.64000000e+02
1.50000000e-01, -2.95872443e+00, 9.61000000e+02
1.60000000e-01, -2.95947525e+00, 9.65000000e+02
1.70000000e-01, -2.95680507e+00, 9.62000000e+02
1.80000000e-01, -2.95722246e+00, 9.65000000e+02
1.90000000e-01, -2.95154772e+00, 9.56000000e+02
2.00000000e-01, -2.94931646e+00, 9.54000000e+02
2.10000000e-01, -2.94970903e+00, 9.57000000e+02
2.20000000e-01, -2.95334278e+00, 9.66000000e+02
2.30000000e-01, -2.95410700e+00, 9.69000000e+02
2.40000000e-01, -2.95342242e+00, 9.69000000e+02
2.50000000e-01, -2.95328209e+00, 9.70000000e+02
2.60000000e-01, -2.95267291e+00, 9.70000000e+02
2.70000000e-01, -2.95311702e+00, 9.72000000e+02
2.80000000e-01, -2.95361885e+00, 9.74000000e+02
2.90000000e-01, -2.95212068e+00, 9.72000000e+02
3.00000000e-01, -2.95163103e+00, 9.72000000e+02
3.10000000e-01, -2.95269854e+00, 9.75000000e+02
3.20000000e-01, -2.95280275e+00, 9.76000000e+02
3.30000000e-01, -2.95344671e+00, 9.78000000e+02
3.40000000e-01, -2.95003273e+00, 9.72000000e+02
3.50000000e-01, -2.95218051e+00, 9.77000000e+02
3.60000000e-01, -2.95643295e+00, 9.86000000e+02
3.70000000e-01, -2.95674398e+00, 9.87000000e+02
3.80000000e-01, -2.95656715e+00, 9.87000000e+02
3.90000000e-01, -2.95690130e+00, 9.88000000e+02
4.00000000e-01, -2.95927051e+00, 9.93000000e+02
4.10000000e-01, -2.96369401e+00, 1.00200000e+03
4.20000000e-01, -2.96321913e+00, 1.00100000e+03
4.30000000e-01, -2.96721115e+00, 1.00900000e+03
4.40000000e-01, -2.96879974e+00, 1.01200000e+03
4.50000000e-01, -2.96942912e+00, 1.01300000e+03
4.60000000e-01, -2.97105120e+00, 1.01600000e+03
4.70000000e-01, -2.97122373e+00, 1.01600000e+03
4.80000000e-01, -2.97090023e+00, 1.01500000e+03
4.90000000e-01, -2.97253097e+00, 1.01800000e+03
5.00000000e-01, -2.97074451e+00, 1.01400000e+03
5.10000000e-01, -2.96791617e+00, 1.00800000e+03
5.20000000e-01, -2.96997449e+00, 1.01200000e+03
