Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
0.00000000e+00, -2.90120000e+00, 1.02400000e+03
1.00000000e-01, -2.92320844e+00, 1.04500000e+03
2.00000000e-01, -2.95657026e+00, 1.06900000e+03
3.00000000e-01, -2.98617894e+00, 1.09700000e+03
4.00000000e-01, -3.00929779e+00, 1.11400000e+03
5.00000000e-01, -3.03257052e+00, 1.13600000e+03
6.00000000e-01, -3.05057584e+00, 1.14800000e+03
7.00000000e-01, -3.06770782e+00, 1.16100000e+03
8.00000000e-01, -3.07793995e+00, 1.16000000e+03
9.00000000e-01, -3.08505636e+00, 1.15500000e+03
1.00000000e+00, -3.08915058e+00, 1.14600000e+03
1.10000000e+00, -3.09683630e+00, 1.14800000e+03
1.20000000e+00, -3.10310999e+00, 1.14800000e+03
1.30000000e+00, -3.10580277e+00, 1.14100000e+03
1.40000000e+00, -3.10558965e+00, 1.12900000e+03
1.50000000e+00, -3.10547451e+00, 1.11900000e+03
1.60000000e+00, -3.10563490e+00, 1.11100000e+03
1.70000000e+00, -3.10757233e+00, 1.10800000e+03
1.80000000e+00, -3.10331585e+00, 1.09200000e+03
1.90000000e+00, -3.10116074e+00, 1.08200000e+03
2.00000000e+00, -3.10045436e+00, 1.07600000e+03
2.10000000e+00, -3.09385056e+00, 1.05800000e+03
2.20000000e+00, -3.09044458e+00, 1.04800000e+03
2.30000000e+00, -3.08575189e+00, 1.03600000e+03
2.40000000e+00, -3.08410177e+00, 1.03100000e+03
2.50000000e+00, -3.08084294e+00, 1.02300000e+03
2.60000000e+00, -3.07687944e+00, 1.01400000e+03
2.70000000e+00, -3.07119435e+00, 1.00200000e+03
2.80000000e+00, -3.06621626e+00, 9.92000000e+02
2.90000000e+00, -3.06405263e+00, 9.88000000e+02
3.00000000e+00, -3.06384448e+00, 9.88000000e+02
3.10000000e+00, -3.06515919e+00, 9.91000000e+02
3.20000000e+00, -3.05994233e+00, 9.81000000e+02
3.30000000e+00, -3.05142042e+00, 9.65000000e+02
