delta tau, 1st order E0 estimate, 1st order 2 sigma error,2nd order E0 estimate, 2nd order 2 sigma error,delta tau fit, 1st order fit, 1st order 2 sigma prediction interval, 2nd order fit, 2nd order 2 sigma prediction interval
5.000000e-03, -2.904391e+00, 1.934677e-03, -2.902901e+00, 2.199593e-03, 0.000000e+00, -2.901934e+00, 4.492620e-04, -2.899897e+00, 8.349862e-04
1.000000e-02, -2.906456e+00, 2.279703e-03, -2.904048e+00, 1.913806e-03, 4.040404e-03, -2.903213e+00, 4.425876e-04, -2.900356e+00, 8.019600e-04
1.500000e-02, -2.908771e+00, 1.470399e-03, -2.902861e+00, 1.942938e-03, 8.080808e-03, -2.904493e+00, 4.359437e-04, -2.900822e+00, 7.699219e-04
2.000000e-02, -2.909882e+00, 1.860009e-03, -2.903385e+00, 1.820237e-03, 1.212121e-02, -2.905772e+00, 4.293318e-04, -2.901295e+00, 7.388929e-04
2.500000e-02, -2.908022e+00, 1.718018e-03, -2.903629e+00, 1.613668e-03, 1.616162e-02, -2.907052e+00, 4.227534e-04, -2.901776e+00, 7.088955e-04
3.000000e-02, -2.914060e+00, 2.454924e-03, -2.904706e+00, 2.342085e-03, 2.020202e-02, -2.908331e+00, 4.162100e-04, -2.902265e+00, 6.799539e-04
3.500000e-02, -2.913278e+00, 2.050713e-03, -2.904837e+00, 2.009473e-03, 2.424242e-02, -2.909611e+00, 4.097034e-04, -2.902761e+00, 6.520942e-04
4.000000e-02, -2.916223e+00, 1.765673e-03, -2.906660e+00, 1.934374e-03, 2.828283e-02, -2.910890e+00, 4.032352e-04, -2.903265e+00, 6.253443e-04
4.500000e-02, -2.916811e+00, 2.000463e-03, -2.905529e+00, 2.283335e-03, 3.232323e-02, -2.912169e+00, 3.968075e-04, -2.903776e+00, 5.997334e-04
5.000000e-02, -2.920269e+00, 1.834598e-03, -2.906290e+00, 1.760782e-03, 3.636364e-02, -2.913449e+00, 3.904221e-04, -2.904295e+00, 5.752925e-04
5.500000e-02, -2.918797e+00, 1.867290e-03, -2.904730e+00, 1.860070e-03, 4.040404e-02, -2.914728e+00, 3.840812e-04, -2.904821e+00, 5.520533e-04
6.000000e-02, -2.919658e+00, 1.808323e-03, -2.906694e+00, 2.394913e-03, 4.444444e-02, -2.916008e+00, 3.777870e-04, -2.905355e+00, 5.300485e-04
6.500000e-02, -2.921741e+00, 1.850520e-03, -2.907767e+00, 1.713192e-03, 4.848485e-02, -2.917287e+00, 3.715420e-04, -2.905897e+00, 5.093106e-04
7.000000e-02, -2.922614e+00, 1.875901e-03, -2.908397e+00, 2.366154e-03, 5.252525e-02, -2.918567e+00, 3.653486e-04, -2.906446e+00, 4.898712e-04
7.500000e-02, -2.925203e+00, 1.363148e-03, -2.908800e+00, 1.802197e-03, 5.656566e-02, -2.919846e+00, 3.592095e-04, -2.907002e+00, 4.717604e-04
8.000000e-02, -2.927521e+00, 1.981872e-03, -2.910046e+00, 1.666702e-03, 6.060606e-02, -2.921126e+00, 3.531275e-04, -2.907566e+00, 4.550046e-04
8.500000e-02, -2.927956e+00, 1.924138e-03, -2.908687e+00, 1.448298e-03, 6.464646e-02, -2.922405e+00, 3.471056e-04, -2.908138e+00, 4.396262e-04
9.000000e-02, -2.931184e+00, 1.731868e-03, -2.911844e+00, 2.488377e-03, 6.868687e-02, -2.923685e+00, 3.411471e-04, -2.908717e+00, 4.256409e-04
9.500000e-02, -2.932037e+00, 2.103511e-03, -2.911330e+00, 2.444662e-03, 7.272727e-02, -2.924964e+00, 3.352553e-04, -2.909304e+00, 4.130569e-04
1.000000e-01, -2.933474e+00, 1.887159e-03, -2.912278e+00, 1.815512e-03, 7.676768e-02, -2.926243e+00, 3.294337e-04, -2.909899e+00, 4.018726e-04
1.050000e-01, -2.935244e+00, 1.616867e-03, -2.913067e+00, 1.952521e-03, 8.080808e-02, -2.927523e+00, 3.236862e-04, -2.910500e+00, 3.920754e-04
1.100000e-01, -2.937200e+00, 2.202637e-03, -2.914061e+00, 1.779601e-03, 8.484848e-02, -2.928802e+00, 3.180168e-04, -2.911110e+00, 3.836407e-04
1.150000e-01, -2.938633e+00, 1.695679e-03, -2.915449e+00, 1.924567e-03, 8.888889e-02, -2.930082e+00, 3.124297e-04, -2.911727e+00, 3.765308e-04
1.200000e-01, -2.938326e+00, 1.741139e-03, -2.916098e+00, 1.743206e-03, 9.292929e-02, -2.931361e+00, 3.069294e-04, -2.912351e+00, 3.706953e-04
1.250000e-01, -2.940899e+00, 1.910215e-03, -2.916105e+00, 1.774378e-03, 9.696970e-02, -2.932641e+00, 3.015208e-04, -2.912984e+00, 3.660711e-04
1.300000e-01, -2.941900e+00, 1.868311e-03, -2.917253e+00, 1.717444e-03, 1.010101e-01, -2.933920e+00, 2.962087e-04, -2.913623e+00, 3.625840e-04
1.350000e-01, -2.944571e+00, 2.171263e-03, -2.918706e+00, 3.635376e-03, 1.050505e-01, -2.935200e+00, 2.909985e-04, -2.914270e+00, 3.601501e-04
1.400000e-01, -2.944777e+00, 1.709559e-03, -2.919255e+00, 1.591258e-03, 1.090909e-01, -2.936479e+00, 2.858957e-04, -2.914925e+00, 3.586780e-04
1.450000e-01, -2.947769e+00, 1.985967e-03, -2.920523e+00, 1.874166e-03, 1.131313e-01, -2.937758e+00, 2.809063e-04, -2.915588e+00, 3.580712e-04
1.500000e-01, -2.948698e+00, 1.407626e-03, -2.920296e+00, 1.898853e-03, 1.171717e-01, -2.939038e+00, 2.760364e-04, -2.916257e+00, 3.582299e-04
1.550000e-01, -2.950785e+00, 1.923375e-03, -2.922396e+00, 2.469890e-03, 1.212121e-01, -2.940317e+00, 2.712923e-04, -2.916935e+00, 3.590543e-04
1.600000e-01, -2.952328e+00, 1.479390e-03, -2.924054e+00, 1.553867e-03, 1.252525e-01, -2.941597e+00, 2.666808e-04, -2.917620e+00, 3.604454e-04
1.650000e-01, -2.954156e+00, 1.514353e-03, -2.923624e+00, 2.199397e-03, 1.292929e-01, -2.942876e+00, 2.622090e-04, -2.918312e+00, 3.623075e-04
1.700000e-01, -2.954953e+00, 1.471552e-03, -2.926728e+00, 1.973007e-03, 1.333333e-01, -2.944156e+00, 2.578840e-04, -2.919013e+00, 3.645492e-04
1.750000e-01, -2.956377e+00, 1.556362e-03, -2.925991e+00, 1.736302e-03, 1.373737e-01, -2.945435e+00, 2.537133e-04, -2.919720e+00, 3.670843e-04
1.800000e-01, -2.958538e+00, 1.358878e-03, -2.926213e+00, 1.977339e-03, 1.414141e-01, -2.946715e+00, 2.497048e-04, -2.920435e+00, 3.698326e-04
1.850000e-01, -2.959348e+00, 1.975476e-03, -2.927580e+00, 1.845457e-03, 1.454545e-01, -2.947994e+00, 2.458664e-04, -2.921158e+00, 3.727200e-04
1.900000e-01, -2.961261e+00, 1.772714e-03, -2.928588e+00, 1.594432e-03, 1.494949e-01, -2.949274e+00, 2.422061e-04, -2.921889e+00, 3.756790e-04
1.950000e-01, -2.963775e+00, 2.013562e-03, -2.931555e+00, 1.997277e-03, 1.535354e-01, -2.950553e+00, 2.387321e-04, -2.922626e+00, 3.786484e-04
2.000000e-01, -2.966044e+00, 1.853160e-03, -2.932647e+00, 1.821287e-03, 1.575758e-01, -2.951832e+00, 2.354526e-04, -2.923372e+00, 3.815730e-04
2.050000e-01, -2.967301e+00, 1.630647e-03, -2.933993e+00, 2.240755e-03, 1.616162e-01, -2.953112e+00, 2.323760e-04, -2.924125e+00, 3.844036e-04
2.100000e-01, -2.969209e+00, 1.805014e-03, -2.933343e+00, 1.919252e-03, 1.656566e-01, -2.954391e+00, 2.295103e-04, -2.924885e+00, 3.870966e-04
2.150000e-01, -2.970533e+00, 1.971493e-03, -2.935745e+00, 2.159893e-03, 1.696970e-01, -2.955671e+00, 2.268636e-04, -2.925653e+00, 3.896138e-04
2.200000e-01, -2.972956e+00, 1.551198e-03, -2.936099e+00, 1.838128e-03, 1.737374e-01, -2.956950e+00, 2.244436e-04, -2.926429e+00, 3.919216e-04
2.250000e-01, -2.973556e+00, 1.812673e-03, -2.936788e+00, 1.920968e-03, 1.777778e-01, -2.958230e+00, 2.222577e-04, -2.927212e+00, 3.939914e-04
