All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,80.06829190556368,57.0,66.5,1.5
1.0,80.69962420154593,79.9932197455097,58.0,66.0,1.5
2.0,80.6202674744245,79.9113851961425,63.0,64.5,1.5
3.0,80.53411263610865,79.82281264859071,68.0,62.0,1.5
4.0,80.44118521613636,79.72752850227145,79.0,58.0,1.5
5.0,80.34151275090771,79.6255611570218,241.0,50.0,1.5
6.0,80.23512477552525,79.51694100463416,267.0,59.5,1.5
7.0,80.12205281504212,79.40170041979786,284.0,65.0,1.5
8.0,80.00233037512052,79.27987375044968,289.0,67.0,1.5
9.0,79.8759929321032,79.15149730753637,295.0,69.0,1.5
10.0,79.74307792250114,79.01660935419201,326.0,77.5,1.5
11.0,79.6036247319002,78.87525009433352,338.0,80.0,1.5
12.0,79.4576746832904,78.72746166067768,370.0,80.25,0.5
13.0,79.30527102482102,78.57328810218334,385.0,77.5,0.5
14.0,79.14645891698521,78.41277537092243,386.0,77.0,0.5
15.0,78.98128541923795,78.24597130838376,389.0,76.75,0.5
16.0,78.80979947605137,78.07292563121365,392.0,75.75,0.5
17.0,78.63205190241139,77.8936899163977,394.0,75.0,0.5
18.0,78.44809536876019,77.70831758588804,395.0,74.75,0.5
19.0,78.25798438538882,77.51686389068064,405.0,71.75,0.5
20.0,78.06177528628456,77.31938589434766,418.0,67.375,0.5
21.0,77.85952621243803,77.11594245602927,423.0,65.375,0.5
22.0,77.65129709461469,76.90659421289051,428.0,63.5,0.5
23.0,77.43714963559611,76.69140356204812,429.0,63.25,0.5
24.0,77.21714729189608,76.47043464197282,436.0,60.5,0.5
25.0,76.99135525495707,76.24375331337257,437.0,60.0,0.5
26.0,76.75984043183263,76.01142713956247,438.0,59.75,0.5
27.0,76.52267142536134,75.77352536632735,441.0,58.625,0.5
28.0,76.27991851383834,75.5301189012826,444.0,57.375,0.5
29.0,76.03165363019036,75.28128029274004,472.0,46.75,0.5
30.0,75.77795034066041,75.02708370808445,477.0,45.0,0.5
31.0,75.51888382300857,74.76760491166775,498.0,39.0,0.5
32.0,75.25453084423509,74.50292124222712,512.0,36.0,0.5
33.0,74.98496973783281,74.23311158983381,520.0,35.0,0.5
34.0,74.71028038057518,73.9582563723797,528.0,34.5,0.5
35.0,74.430544168847,73.67843751160834,529.0,34.5,0.5
36.0,74.14584399452505,73.39373840869787,530.0,34.25,0.5
37.0,73.85626422041527,73.10424391940298,531.0,34.25,0.5
38.0,73.56189065525439,72.81004032876322,532.0,34.25,0.5
39.0,73.26281052828288,72.51121532538548,536.0,34.25,0.5
40.0,72.95911246339702,72.20785797530795,550.0,34.75,0.5
41.0,72.6508864528878,71.90005869545365,551.0,35.0,0.5
42.0,72.33822383077418,71.58790922668132,553.0,35.25,0.5
43.0,72.0212172457389,71.2715026064416,564.0,36.75,0.5
44.0,71.69996063367469,70.95093314104693,577.0,39.75,0.5
45.0,71.37454918984896,70.62629637756305,581.0,40.75,0.5
46.0,71.0450793406955,70.29768907533091,590.0,43.75,0.5
47.0,70.71164871524113,69.96520917712704,,,
48.0,70.3743561161762,69.62895577997135,,,
49.0,70.0333014905772,69.2890291055909,,,
50.0,69.68858590029026,68.94553047054828,,,
51.0,69.34031149198432,68.59856225604388,,,
52.0,68.98858146688296,68.2482278774007,,,
53.0,68.63350005018357,67.89463175324101,,,
54.0,68.27517246017322,67.53787927436392,,,
55.0,67.91370487705015,67.17807677233324,,,
56.0,67.54920441146035,66.81533148778489,,,
57.0,67.18177907275835,66.44975153846336,,,
58.0,66.81153773700167,66.08144588699685,,,
59.0,66.4385901146886,65.7105243084204,,,
60.0,66.06304671824847,65.33709735745707,,,
61.0,65.68501882929453,64.96127633556657,,,
62.0,65.30461846564882,64.58317325777146,,,
63.0,64.92195834814878,64.20290081927057,,,
64.0,64.53715186724568,63.82057236184972,,,
65.0,64.15031304940467,63.436301840099766,,,
66.0,63.761556523316116,63.050203787451906,,,
67.0,63.37099748592873,62.66239328204057,,,
