Vecka,2017 tider (minuter) 10 km,2018 tider (minuter) 10 km,2019 tider (minuter) 10 km,2020 tider (minuter) 10 km,2021 tider (minuter) 10 km,2022 tider (minuter) 10 km,2023 tider (minuter) 10 km
1,,43.230,,,,47.033,50.217
2,,43.678,,,,48.133,46.383
3,,43.552,,50.126,49.717,47.733,47.033
4,,44.918,,48.956,45.355,47.967,50.433
5,,,,,,46.967,47.283
6,,,,48.898,48.035,47.367,48.783
7,,45.295,,,,47.967,49.583
8,,45.442,,,50.868,47.150,46.683
9,,44.077,,44.105,,46.433,48.767
10,,42.191,,,,48.667,47.850
11,50.584,42.463,45.426,46.711,49.351,47.683,49.983
12,,43.506,,,,49.183,48.883
13,49.960,43.001,45.833,,,46.917,48.583
14,48.235,44.192,,,,48.117,48.300
15,50.366,44.726,,,48.161,46.767,48.083
16,49.423,44.397,,,,52.617,46.317
17,48.686,43.963,,,,46.983,47.650
18,46.049,44.413,,,,48.783,
19,48.438,44.486,,,47.674,46.433,
20,45.994,44.381,,,,43.133,49.650
21,44.887,,,54.424,,49.133,48.383
22,45.246,47.198,,,50.958,46.783,46.567
23,45.522,,,,,46.350,
24,45.036,,,,45.867,47.150,
25,46.297,,,,44.500,49.117,
26,45.231,,,46.138,,49.733,
27,42.836,,,40.167,47.100,48.483,
28,44.728,,,43.988,,,
29,44.123,,,46.715,44.900,49.467,
30,45.458,,,44.050,45.200,50.300,
31,45.191,,,43.563,47.283,47.500,
32,45.332,,,,49.367,49.650,
33,44.349,,,,50.083,48.700,
34,44.290,,,52.115,49.383,47.117,
35,43.740,,,51.143,49.800,47.267,
36,45.261,,,,48.817,,
37,44.022,,,51.482,47.783,50.017,
38,42.991,,,51.282,48.733,46.867,
39,44.634,,,,,49.783,
40,42.340,,56.161,51.230,49.520,46.833,
41,43.538,,,,46.450,47.867,
42,43.112,,,47.767,49.650,49.217,
43,42.354,,,50.244,47.317,49.117,
44,47.261,,50.751,,48.417,49.050,
45,43.146,,50.260,50.000,,48.483,
46,43.834,,50.356,,47.483,47.950,
47,44.065,,,45.077,,48.400,
48,45.512,,,48.212,48.600,47.333,
49,44.764,,,,44.433,44.350,
50,45.027,,,52.154,46.650,47.283,
51,44.548,,,,44.483,48.233,
52,44.460,,,45.825,47.150,47.567,
53,,,,,,,
