All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
0.0,80.47860568812986,80.37613883393422,80.77401332363333,5.0,80.25,0.25
1.0,80.37557309372973,80.26663613010771,80.70157299693335,20.0,77.5,0.25
2.0,80.26610811781737,80.15073276433989,80.62231984336634,21.0,77.0,0.25
3.0,80.1502418699464,80.02846167350901,80.53627731649966,24.0,76.75,0.25
4.0,80.02800727888898,79.89985760404382,80.44347087909554,27.0,75.75,0.25
5.0,79.89943908327757,79.76495710204941,80.34392799557573,29.0,75.0,0.25
6.0,79.76457382173234,79.6237985029217,80.23767812389391,30.0,74.75,0.25
7.0,79.623449822477,79.47642192045353,80.12475270681817,40.0,71.75,0.25
8.0,79.47610719244611,79.3228692354352,80.00518516262602,53.0,67.375,0.25
9.0,79.32258780588674,79.16318408375315,79.87901087521489,58.0,65.375,0.25
10.0,79.16293529245806,78.9974118439895,79.74626718363086,63.0,63.5,0.25
11.0,78.9971950248319,78.82559962452676,79.60699337101887,64.0,63.25,0.25
12.0,78.82541410579798,78.64779625016071,79.46123065299753,71.0,60.5,0.25
13.0,78.6476413548775,78.4640522482256,79.30902216546208,72.0,60.0,0.25
14.0,78.46392729444884,78.27441983423554,79.15041295181916,73.0,59.75,0.25
15.0,78.27432413538915,78.07895289704612,78.98544994965691,76.0,58.625,0.25
16.0,78.07888576223635,77.87770698354058,78.81418197685468,79.0,57.375,0.25
17.0,77.8776677178753,77.67073928284468,78.63665971713627,107.0,46.75,0.25
18.0,77.67072718775263,77.45810861007499,78.45293570507089,112.0,45.0,0.25
19.0,77.45812298362496,77.23987538962513,78.26306431052657,133.0,39.0,0.25
20.0,77.23991552684471,77.01610163799455,78.06710172258032,147.0,36.0,0.25
21.0,77.01616683118866,76.7868509461651,77.86510593288997,155.0,35.0,0.25
22.0,76.78694048523374,76.55218846152992,77.6571367185326,163.0,34.5,0.25
23.0,76.55230163428553,76.31218086938023,77.4432556243145,164.0,34.5,0.25
24.0,76.31231696186407,76.06689637395498,77.22352594455815,165.0,34.25,0.25
25.0,76.06705467075268,75.81640467905888,76.99801270437133,166.0,34.25,0.25
26.0,75.81658446361506,75.56077696825436,76.76678264040416,167.0,34.25,0.25
27.0,75.56097752318588,75.30008588463289,76.52990418109948,171.0,34.25,0.25
28.0,75.30030649204107,75.03440551017162,76.28744742644271,185.0,34.75,0.25
29.0,75.03464545195291,74.76381134468116,76.03948412721704,186.0,35.0,0.25
30.0,74.7640699028364,74.48838028435028,75.78608766376998,188.0,35.25,0.25
31.0,74.48865674129232,74.20819059989407,75.52733302429777,199.0,36.75,0.25
32.0,74.2084842387536,73.92332191431116,75.26329678265404,212.0,39.75,0.25
