All days with start 2022-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
365.0,80.78967431400056,80.47860555248931,370.0,80.25,0.5
366.0,80.71894447546927,80.37557296751724,385.0,77.5,0.5
367.0,80.64139662832417,80.26610800095801,386.0,77.0,0.5
368.0,80.55705372022088,80.15024176236292,389.0,76.75,0.5
369.0,80.46594070958285,80.02800718050185,392.0,75.75,0.5
370.0,80.3680845582158,79.899438994005,394.0,75.0,0.5
371.0,80.26351422332928,79.76457374149032,395.0,74.75,0.5
372.0,80.15226064896773,79.62344975117935,405.0,71.75,0.5
373.0,80.03435675685373,79.47610713000454,418.0,67.375,0.5
374.0,79.90983743664582,79.32258775221088,423.0,65.375,0.5
375.0,79.77873953561419,79.1629352474555,428.0,63.5,0.5
376.0,79.64110184773692,78.99719498840821,429.0,63.25,0.5
377.0,79.49696510222023,78.82541407785685,436.0,60.5,0.5
378.0,79.34637195144606,78.64764133532067,437.0,60.0,0.5
379.0,79.18936695835052,78.46392728317616,438.0,59.75,0.5
380.0,79.02599658323705,78.27432413229874,441.0,58.625,0.5
381.0,78.856309170028,78.07888576722452,444.0,57.375,0.5
382.0,78.68035493195897,77.87766773083663,472.0,46.75,0.5
383.0,78.49818593671982,77.67072720858008,477.0,45.0,0.5
384.0,78.30985609104708,77.4581230122098,498.0,39.0,0.5
385.0,78.11542112477198,77.2399155630767,512.0,36.0,0.5
386.0,77.91493857432926,77.01616687495597,520.0,35.0,0.5
387.0,77.70846776573099,76.78694053642313,528.0,34.5,0.5
388.0,77.49606979701124,76.55230169278228,529.0,34.5,0.5
389.0,77.27780752014615,76.31231702755208,530.0,34.25,0.5
390.0,77.05374552245492,76.06705474351455,531.0,34.25,0.5
391.0,76.82395010748749,75.81658454333207,532.0,34.25,0.5
392.0,76.58848927540416,75.5609776097381,536.0,34.25,0.5
393.0,76.34743270285341,75.30030658530735,550.0,34.75,0.5
394.0,76.10085172235321,75.03464555181102,551.0,35.0,0.5
395.0,75.84881930118287,74.76407000916298,553.0,35.25,0.5
396.0,75.59141001979056,74.48865685396298,564.0,36.75,0.5
397.0,75.32870004972399,74.20848435764294,577.0,39.75,0.5
398.0,75.06076713108993,73.92363214422252,581.0,40.75,0.5
399.0,74.7876905495496,73.63418116768015,590.0,43.75,0.5
400.0,74.50955111285685,73.34021368894629,593.0,44.25,0.5
401.0,74.22643112694584,73.04181325252512,594.0,44.5,0.5
402.0,73.93841437157538,72.73906466275153,598.0,46.0,0.5
403.0,73.64558607553708,72.43205395969001,599.0,46.25,0.5
404.0,73.34803289143494,72.12086839468238,624.0,55.25,0.5
405.0,73.0458428700433,71.80559640555127,625.0,56.0,0.5
406.0,72.73910543425123,71.48632759146639,646.0,64.25,0.5
407.0,72.42791135260096,71.16315268748079,673.0,73.25,0.5
408.0,72.11235271242782,70.83616353874424,687.0,77.0,0.5
409.0,71.79252289261036,70.50545307440132,688.0,77.25,0.5
410.0,71.46851653593775,70.171115281181,708.0,80.5,0.5
411.0,71.14042952110377,69.83324517668623,709.0,80.5,0.5
412.0,70.80835893433446,69.49193878239018,721.0,81.0,0.5
413.0,70.472403040659,69.14729309634723,,,
414.0,70.13266125483128,68.79940606562647,,,
415.0,69.7892341119117,68.44837655847562,,,
416.0,69.44222323751701,68.09430433622289,,,
417.0,69.09173131774784,67.73729002492524,,,
418.0,68.73786206880216,67.37743508677076,,,
419.0,68.38072020628387,67.01484179124358,,,
420.0,68.02041141421601,66.64961318605913,,,
421.0,67.65704231376691,66.28185306787843,,,
422.0,67.2907204316995,65.91166595280937,,,
423.0,66.92155416855215,65.53915704670376,,,
424.0,66.54965276656154,65.16443221525802,,,
425.0,66.17512627733576,64.7875979539266,,,
426.0,65.79808552928858,64.40876135765649,,,
427.0,65.4186420948433,64.02803009045094,,,
428.0,65.03690825741687,63.645512354771995,,,
429.0,64.65299697819327,63.26131686078956,,,
430.0,64.26702186269654,62.87555279548654,,,
431.0,63.879097127173154,62.488329791628104,,,
432.0,63.489337564793416,62.099757896604544,,,
433.0,63.097858511682496,61.70994754115624,,,
434.0,62.70477581279046,61.31900950798954,,,
435.0,62.31020578761205,60.92705490029277,,,
436.0,61.914265195765694,60.53419511016106,,,
437.0,61.51707120244263,60.14054178693923,,,
438.0,61.11874134373566,59.746206805491305,,,
439.0,60.71939349185855,59.35130223440613,,,
440.0,60.31914582026555,58.955940304147866,,,
441.0,59.91811676868202,58.5602333751606,,,
442.0,59.516425008056295,58.164293905935736,,,
443.0,59.11418940544288,57.768234421051794,,,
444.0,58.71152898882805,57.37216747919537,,,
445.0,58.30856291190713,56.97620564117223,,,
446.0,57.9054104188255,56.58046143791805,,,
447.0,57.502190808891875,56.185047338517464,,,
448.0,57.09902340127608,55.790075718240814,,,
449.0,56.696027499700314,55.395658826607416,,,
450.0,56.29332235713544,55.00190875548468,,,
451.0,55.8910271405121,54.6089374072321,,,
452.0,55.48926089545715,54.21685646289883,,,
453.0,55.08814251106633,53.825777350484465,,,
454.0,54.68779068472292,53.43581121327154,,,
455.0,54.288323886973416,53.04706887823904,,,
456.0,53.889860326470036,52.65966082456575,,,
