Energy theoretical (eV),Theoretical surface plasmon (arbitrary unit),Theoretical bulk plasmon (arbitrary unit),Energy lab data (eV),Measured amplitude (arbitrary unit)
70.539,1.980,4.451,70.600,46.759
70.037,2.071,4.691,70.100,46.493
69.539,2.169,4.952,69.600,47.157
69.036,2.312,5.317,69.100,47.157
68.536,2.411,5.589,68.600,47.556
68.036,2.511,5.866,68.100,47.689
67.536,2.663,6.281,67.600,48.220
67.036,2.808,6.674,67.100,48.220
66.536,2.962,7.109,66.600,48.618
66.037,3.109,7.534,66.100,48.353
65.534,3.272,8.003,65.600,49.416
65.036,3.473,8.577,65.100,48.618
64.535,3.630,9.051,64.600,49.548
64.032,3.839,9.665,64.100,49.548
63.534,4.050,10.295,63.600,49.947
63.034,4.271,10.979,63.100,49.814
62.535,4.536,11.769,62.600,50.345
62.034,4.805,12.603,62.100,50.478
61.533,5.037,13.366,61.600,51.142
61.033,5.314,14.229,61.100,50.744
60.533,5.647,15.282,60.600,51.541
60.032,5.937,16.240,60.100,51.275
59.531,6.281,17.362,59.600,52.338
59.032,6.637,18.572,59.100,52.205
58.531,6.985,19.741,58.600,53.533
58.030,7.353,21.032,58.100,53.799
57.532,7.788,22.566,57.600,54.729
57.029,8.169,23.948,57.100,55.128
56.530,8.671,25.718,56.600,56.057
56.030,9.142,27.512,56.100,56.722
55.531,9.733,29.641,55.600,57.784
55.028,10.340,31.928,55.100,58.316
54.530,11.083,34.655,54.600,59.378
54.029,11.903,37.600,54.100,59.910
53.528,12.842,40.815,53.600,60.840
53.029,13.932,44.398,53.100,61.637
52.528,15.181,48.073,52.600,62.832
52.028,16.577,51.494,52.100,63.098
51.526,18.044,54.395,51.600,63.895
51.026,19.529,56.184,51.100,64.293
50.527,20.808,56.768,50.600,65.356
50.026,21.754,56.255,50.100,65.489
49.527,22.308,55.027,49.600,66.020
49.026,22.446,53.840,49.100,66.552
48.525,22.519,53.383,48.600,66.684
48.026,22.746,54.403,48.100,66.552
47.525,23.922,58.070,47.600,67.083
47.024,28.595,64.912,47.100,66.950
46.525,26.989,45.054,46.600,66.950
