x_IR_A, y_IR_A, x_IR_B, y_IR_B, x_IR_C, y_IR_C
3997.46430,1.05222,3997.46430,1.02904,3997.46430,1.04150
3995.53595,1.05216,3995.53595,1.02899,3995.53595,1.04158
3993.60761,1.05207,3993.60761,1.02890,3993.60761,1.04158
3991.67926,1.05198,3991.67926,1.02886,3991.67926,1.04157
3989.75091,1.05197,3989.75091,1.02889,3989.75091,1.04160
3987.82256,1.05198,3987.82256,1.02893,3987.82256,1.04161
3985.89422,1.05189,3985.89422,1.02902,3985.89422,1.04152
3983.96587,1.05186,3983.96587,1.02913,3983.96587,1.04144
3982.03752,1.05206,3982.03752,1.02911,3982.03752,1.04149
3980.10917,1.05236,3980.10917,1.02896,3980.10917,1.04156
3978.18083,1.05230,3978.18083,1.02893,3978.18083,1.04156
3976.25248,1.05200,3976.25248,1.02904,3976.25248,1.04157
3974.32413,1.05195,3974.32413,1.02909,3974.32413,1.04163
3972.39578,1.05215,3972.39578,1.02918,3972.39578,1.04163
3970.46744,1.05223,3970.46744,1.02933,3970.46744,1.04154
3968.53909,1.05225,3968.53909,1.02932,3968.53909,1.04149
3966.61074,1.05232,3966.61074,1.02904,3966.61074,1.04154
3964.68239,1.05216,3964.68239,1.02882,3964.68239,1.04163
3962.75405,1.05178,3962.75405,1.02891,3962.75405,1.04165
3960.82570,1.05173,3960.82570,1.02897,3960.82570,1.04156
3958.89735,1.05190,3958.89735,1.02888,3958.89735,1.04146
3956.96901,1.05196,3956.96901,1.02888,3956.96901,1.04142
3955.04066,1.05200,3955.04066,1.02893,3955.04066,1.04142
3953.11231,1.05196,3953.11231,1.02890,3953.11231,1.04143
3951.18396,1.05178,3951.18396,1.02891,3951.18396,1.04147
3949.25562,1.05180,3949.25562,1.02902,3949.25562,1.04156
3947.32727,1.05223,3947.32727,1.02884,3947.32727,1.04160
3945.39892,1.05222,3945.39892,1.02867,3945.39892,1.04153
3943.47057,1.05153,3943.47057,1.02905,3943.47057,1.04139
3941.54223,1.05149,3941.54223,1.02925,3941.54223,1.04126
3939.61388,1.05194,3939.61388,1.02913,3939.61388,1.04113
3937.68553,1.05215,3937.68553,1.02912,3937.68553,1.04103
3935.75718,1.05218,3935.75718,1.02917,3935.75718,1.04101
3933.82884,1.05184,3933.82884,1.02956,3933.82884,1.04112
3931.90049,1.05165,3931.90049,1.02975,3931.90049,1.04130
3929.97214,1.05203,3929.97214,1.02924,3929.97214,1.04138
3928.04379,1.05210,3928.04379,1.02875,3928.04379,1.04131
3926.11545,1.05140,3926.11545,1.02888,3926.11545,1.04122
3924.18710,1.05120,3924.18710,1.02897,3924.18710,1.04122
3922.25875,1.05178,3922.25875,1.02876,3922.25875,1.04127
3920.33040,1.05188,3920.33040,1.02901,3920.33040,1.04134
3918.40206,1.05156,3918.40206,1.02969,3918.40206,1.04146
3916.47371,1.05170,3916.47371,1.02987,3916.47371,1.04159
3914.54536,1.05217,3914.54536,1.02941,3914.54536,1.04161
3912.61701,1.05216,3912.61701,1.02916,3912.61701,1.04151
3910.68867,1.05209,3910.68867,1.02899,3910.68867,1.04134
3908.76032,1.05223,3908.76032,1.02859,3908.76032,1.04112
3906.83197,1.05169,3906.83197,1.02867,3906.83197,1.04090
3904.90362,1.05085,3904.90362,1.02948,3904.90362,1.04088
3902.97528,1.05106,3902.97528,1.03003,3902.97528,1.04119
3901.04693,1.05139,3901.04693,1.03015,3901.04693,1.04157
3899.11858,1.05162,3899.11858,1.03000,3899.11858,1.04174
3897.19023,1.05277,3897.19023,1.02927,3897.19023,1.04169
3895.26189,1.05325,3895.26189,1.02885,3895.26189,1.04159
3893.33354,1.05205,3893.33354,1.02957,3893.33354,1.04162
