x-axis (inverse cm), DICING_transmission_spectrum (percent), PDMS_transmission_spectrum (percent), x-axis (inverse cm), KAPTON_transmission_spectrum (percent), PMMA_transmission_spectrum (percent)
3997.46158,1.05711,1.05948,3997.46158,1.05769,1.02887
3995.53324,1.05727,1.05967,3995.53324,1.05773,1.02905
3993.60489,1.05757,1.05999,3993.60489,1.05788,1.02927
3991.67655,1.05759,1.06011,3991.67655,1.05785,1.0292
3989.7482,1.05734,1.05992,3989.7482,1.05758,1.02893
3987.81985,1.0572,1.05965,3987.81985,1.05739,1.0288
3985.89151,1.05727,1.05951,3985.89151,1.0574,1.02883
3983.96316,1.05735,1.05959,3983.96316,1.05746,1.02887
3982.03481,1.0573,1.05977,3982.03481,1.05749,1.02886
3980.10647,1.05718,1.0598,3980.10647,1.05751,1.02877
3978.17812,1.05711,1.05958,3978.17812,1.05738,1.02855
3976.24978,1.057,1.05934,3976.24978,1.05709,1.02832
3974.32143,1.05694,1.05929,3974.32143,1.0569,1.0282
3972.39308,1.05703,1.05938,3972.39308,1.05698,1.02824
3970.46474,1.05713,1.05948,3970.46474,1.05718,1.02832
3968.53639,1.05709,1.05954,3968.53639,1.05739,1.02842
3966.60805,1.05699,1.0595,3966.60805,1.05749,1.02855
3964.6797,1.05687,1.05933,3964.6797,1.05739,1.02856
3962.75135,1.05676,1.05918,3962.75135,1.05715,1.0284
3960.82301,1.05679,1.05919,3960.82301,1.05696,1.02823
3958.89466,1.05701,1.05926,3958.89466,1.05689,1.02811
3956.96631,1.0572,1.05925,3956.96631,1.05689,1.02802
3955.03797,1.05717,1.05923,3955.03797,1.05693,1.02797
3953.10962,1.05694,1.05929,3953.10962,1.05692,1.02792
3951.18128,1.05668,1.05934,3951.18128,1.0568,1.02773
3949.25293,1.05659,1.05937,3949.25293,1.05664,1.02748
3947.32458,1.05666,1.05931,3947.32458,1.05658,1.02736
3945.39624,1.05665,1.05908,3945.39624,1.05652,1.02731
3943.46789,1.05656,1.05886,3943.46789,1.0565,1.02735
3941.53955,1.0567,1.05894,3941.53955,1.05671,1.02762
3939.6112,1.057,1.05928,3939.6112,1.05703,1.02796
3937.68285,1.05715,1.05957,3937.68285,1.05708,1.02807
3935.75451,1.05706,1.05962,3935.75451,1.05669,1.02788
3933.82616,1.05677,1.05948,3933.82616,1.05611,1.0275
3931.89781,1.05653,1.05933,3931.89781,1.05585,1.02726
3929.96947,1.05654,1.05934,3929.96947,1.05612,1.0274
3928.04112,1.05658,1.05934,3928.04112,1.05641,1.02762
3926.11278,1.0564,1.05919,3926.11278,1.05632,1.02758
3924.18443,1.05619,1.05908,3924.18443,1.0561,1.02743
3922.25608,1.05608,1.05906,3922.25608,1.05605,1.02733
3920.32774,1.05598,1.05898,3920.32774,1.05605,1.02713
3918.39939,1.05601,1.05886,3918.39939,1.05602,1.02689
3916.47105,1.05627,1.0589,3916.47105,1.05617,1.02691
3914.5427,1.05661,1.05912,3914.5427,1.05653,1.02724
3912.61435,1.05679,1.05938,3912.61435,1.05688,1.02758
3910.68601,1.05679,1.05952,3910.68601,1.05702,1.02767
3908.75766,1.0566,1.05938,3908.75766,1.0568,1.02744
3906.82931,1.05619,1.0589,3906.82931,1.05616,1.02689
3904.90097,1.05574,1.05837,3904.90097,1.05541,1.02628
3902.97262,1.05559,1.0582,3902.97262,1.05505,1.02599
3901.04428,1.05576,1.05836,3901.04428,1.05526,1.02614
3899.11593,1.05614,1.05873,3899.11593,1.05581,1.02652
3897.18758,1.05656,1.05921,3897.18758,1.05629,1.02688
3895.25924,1.05671,1.05957,3895.25924,1.05647,1.02706
3893.33089,1.05669,1.05968,3893.33089,1.05654,1.02718
3891.40254,1.05683,1.05966,3891.40254,1.05671,1.02737
3889.4742,1.05699,1.05961,3889.4742,1.05681,1.02743
3887.54585,1.05683,1.05951,3887.54585,1.05669,1.02724
3885.61751,1.05659,1.05948,3885.61751,1.05648,1.02702
3883.68916,1.05652,1.05953,3883.68916,1.05621,1.0268
3881.76081,1.05666,1.05959,3881.76081,1.05591,1.02655
3879.83247,1.05703,1.05974,3879.83247,1.05592,1.02656
3877.90412,1.05738,1.05997,3877.90412,1.05626,1.02686
3875.97578,1.05745,1.06011,3875.97578,1.05657,1.02718
3874.04743,1.05734,1.06012,3874.04743,1.05657,1.02731
3872.11908,1.05716,1.05996,3872.11908,1.05627,1.02715
3870.19074,1.05706,1.05981,3870.19074,1.05608,1.0269
3868.26239,1.05713,1.05993,3868.26239,1.05622,1.02688
3866.33404,1.05722,1.06018,3866.33404,1.05645,1.02705
3864.4057,1.05728,1.06033,3864.4057,1.05658,1.02719
3862.47735,1.05736,1.06039,3862.47735,1.0566,1.02718
