X-Axis_A (relative inverse cm), sample_A_spectrum (CCD counts), X-Axis_B (relative inverse cm), sample_B_spectrum (CCD counts), X-Axis_C (relative inverse cm),sample_C_spectrum (CCD counts)
-1.72737E+02, 1.56940E+03,-1.72737E+02, 1.56600E+03,-1.72737E+02, 1.56760E+03
-1.69713E+02, 1.56740E+03,-1.69713E+02, 1.56820E+03,-1.69713E+02, 1.56820E+03
-1.66690E+02, 1.56950E+03,-1.66690E+02, 1.56870E+03,-1.66690E+02, 1.56860E+03
-1.63668E+02, 1.56710E+03,-1.63668E+02, 1.56780E+03,-1.63668E+02, 1.56990E+03
-1.60647E+02, 1.56820E+03,-1.60647E+02, 1.56900E+03,-1.60647E+02, 1.56930E+03
-1.57627E+02, 1.56640E+03,-1.57627E+02, 1.56840E+03,-1.57627E+02, 1.57010E+03
-1.54608E+02, 1.56800E+03,-1.54608E+02, 1.56670E+03,-1.54608E+02, 1.56950E+03
-1.51591E+02, 1.56910E+03,-1.51591E+02, 1.56720E+03,-1.51591E+02, 1.56670E+03
-1.48574E+02, 1.56770E+03,-1.48574E+02, 1.56780E+03,-1.48574E+02, 1.56840E+03
-1.45559E+02, 1.56770E+03,-1.45559E+02, 1.56920E+03,-1.45559E+02, 1.56490E+03
-1.42544E+02, 1.56690E+03,-1.42544E+02, 1.56920E+03,-1.42544E+02, 1.56830E+03
-1.39531E+02, 1.56660E+03,-1.39531E+02, 1.56760E+03,-1.39531E+02, 1.57070E+03
-1.36519E+02, 1.56880E+03,-1.36519E+02, 1.56880E+03,-1.36519E+02, 1.56720E+03
-1.33507E+02, 1.56630E+03,-1.33507E+02, 1.56980E+03,-1.33507E+02, 1.56860E+03
-1.30497E+02, 1.56830E+03,-1.30497E+02, 1.56700E+03,-1.30497E+02, 1.56860E+03
-1.27488E+02, 1.56840E+03,-1.27488E+02, 1.56700E+03,-1.27488E+02, 1.56770E+03
-1.24480E+02, 1.56950E+03,-1.24480E+02, 1.56860E+03,-1.24480E+02, 1.56600E+03
-1.21473E+02, 1.56840E+03,-1.21473E+02, 1.56960E+03,-1.21473E+02, 1.56600E+03
-1.18467E+02, 1.56920E+03,-1.18467E+02, 1.56730E+03,-1.18467E+02, 1.56780E+03
-1.15462E+02, 1.56710E+03,-1.15462E+02, 1.56780E+03,-1.15462E+02, 1.57040E+03
-1.12459E+02, 1.56800E+03,-1.12459E+02, 1.56820E+03,-1.12459E+02, 1.56760E+03
-1.09456E+02, 1.56710E+03,-1.09456E+02, 1.56530E+03,-1.09456E+02, 1.56910E+03
-1.06454E+02, 1.56800E+03,-1.06454E+02, 1.56610E+03,-1.06454E+02, 1.56960E+03
-1.03454E+02, 1.56670E+03,-1.03454E+02, 1.56680E+03,-1.03454E+02, 1.56780E+03
-1.00454E+02, 1.56850E+03,-1.00454E+02, 1.56820E+03,-1.00454E+02, 1.57030E+03
-9.74556E+01, 1.56900E+03,-9.74556E+01, 1.56730E+03,-9.74556E+01, 1.56980E+03
-9.44582E+01, 1.56750E+03,-9.44582E+01, 1.56790E+03,-9.44582E+01, 1.56810E+03
-9.14618E+01, 1.56910E+03,-9.14618E+01, 1.56800E+03,-9.14618E+01, 1.56780E+03
-8.84665E+01, 1.56700E+03,-8.84665E+01, 1.56740E+03,-8.84665E+01, 1.56750E+03
-8.54722E+01, 1.56560E+03,-8.54722E+01, 1.56830E+03,-8.54722E+01, 1.56790E+03
-8.24790E+01, 1.56770E+03,-8.24790E+01, 1.56840E+03,-8.24790E+01, 1.56680E+03
-7.94869E+01, 1.56790E+03,-7.94869E+01, 1.56740E+03,-7.94869E+01, 1.56890E+03
-7.64958E+01, 1.57000E+03,-7.64958E+01, 1.56680E+03,-7.64958E+01, 1.56860E+03
-7.35058E+01, 1.56580E+03,-7.35058E+01, 1.56850E+03,-7.35058E+01, 1.56930E+03
-7.05168E+01, 1.56580E+03,-7.05168E+01, 1.56810E+03,-7.05168E+01, 1.56660E+03
-6.75289E+01, 1.56760E+03,-6.75289E+01, 1.56970E+03,-6.75289E+01, 1.56680E+03
-6.45420E+01, 1.56640E+03,-6.45420E+01, 1.56990E+03,-6.45420E+01, 1.56830E+03
-6.15562E+01, 1.56650E+03,-6.15562E+01, 1.57080E+03,-6.15562E+01, 1.56820E+03
-5.85714E+01, 1.56800E+03,-5.85714E+01, 1.56860E+03,-5.85714E+01, 1.56700E+03
-5.55877E+01, 1.56680E+03,-5.55877E+01, 1.56960E+03,-5.55877E+01, 1.56740E+03
-5.26050E+01, 1.56890E+03,-5.26050E+01, 1.56810E+03,-5.26050E+01, 1.56890E+03
-4.96234E+01, 1.56910E+03,-4.96234E+01, 1.56670E+03,-4.96234E+01, 1.56810E+03
-4.66428E+01, 1.56640E+03,-4.66428E+01, 1.56790E+03,-4.66428E+01, 1.56910E+03
-4.36633E+01, 1.56860E+03,-4.36633E+01, 1.56970E+03,-4.36633E+01, 1.56810E+03
-4.06848E+01, 1.57030E+03,-4.06848E+01, 1.56840E+03,-4.06848E+01, 1.56800E+03
-3.77074E+01, 1.56470E+03,-3.77074E+01, 1.56770E+03,-3.77074E+01, 1.56940E+03
-3.47310E+01, 1.56840E+03,-3.47310E+01, 1.56780E+03,-3.47310E+01, 1.56840E+03
-3.17556E+01, 1.56870E+03,-3.17556E+01, 1.56700E+03,-3.17556E+01, 1.56970E+03
-2.87814E+01, 1.56650E+03,-2.87814E+01, 1.56700E+03,-2.87814E+01, 1.56610E+03
-2.58081E+01, 1.56700E+03,-2.58081E+01, 1.56790E+03,-2.58081E+01, 1.56940E+03
-2.28359E+01, 1.56620E+03,-2.28359E+01, 1.56970E+03,-2.28359E+01, 1.56720E+03
-1.98647E+01, 1.56930E+03,-1.98647E+01, 1.56850E+03,-1.98647E+01, 1.56660E+03
-1.68946E+01, 1.56780E+03,-1.68946E+01, 1.56860E+03,-1.68946E+01, 1.56980E+03
-1.39255E+01, 1.56710E+03,-1.39255E+01, 1.56830E+03,-1.39255E+01, 1.56800E+03
-1.09575E+01, 1.56840E+03,-1.09575E+01, 1.56820E+03,-1.09575E+01, 1.56950E+03
-7.99052E+00, 1.56580E+03,-7.99052E+00, 1.56870E+03,-7.99052E+00, 1.56820E+03
-5.02457E+00, 1.57040E+03,-5.02457E+00, 1.57020E+03,-5.02457E+00, 1.57310E+03
-2.05965E+00, 1.58230E+03,-2.05965E+00, 1.57620E+03,-2.05965E+00, 1.60560E+03
 9.04220E-01, 1.61050E+03, 9.04220E-01, 1.59560E+03, 9.04220E-01, 1.66360E+03
 3.86705E+00, 1.60920E+03, 3.86705E+00, 1.58560E+03, 3.86705E+00, 1.65750E+03
 6.82885E+00, 1.57900E+03, 6.82885E+00, 1.57380E+03, 6.82885E+00, 1.59510E+03
 9.78961E+00, 1.57040E+03, 9.78961E+00, 1.56980E+03, 9.78961E+00, 1.57150E+03
 1.27493E+01, 1.56850E+03, 1.27493E+01, 1.57050E+03, 1.27493E+01, 1.56910E+03
 1.57080E+01, 1.56780E+03, 1.57080E+01, 1.56940E+03, 1.57080E+01, 1.56830E+03
 1.86657E+01, 1.56700E+03, 1.86657E+01, 1.56870E+03, 1.86657E+01, 1.56750E+03
 2.16223E+01, 1.56860E+03, 2.16223E+01, 1.56750E+03, 2.16223E+01, 1.57020E+03
 2.45779E+01, 1.56880E+03, 2.45779E+01, 1.56910E+03, 2.45779E+01, 1.56740E+03
 2.75324E+01, 1.56710E+03, 2.75324E+01, 1.56670E+03, 2.75324E+01, 1.56780E+03
 3.04859E+01, 1.56730E+03, 3.04859E+01, 1.56830E+03, 3.04859E+01, 1.56900E+03
 3.34384E+01, 1.56530E+03, 3.34384E+01, 1.56810E+03, 3.34384E+01, 1.56730E+03
 3.63898E+01, 1.56640E+03, 3.63898E+01, 1.56950E+03, 3.63898E+01, 1.56730E+03
 3.93402E+01, 1.56790E+03, 3.93402E+01, 1.56980E+03, 3.93402E+01, 1.56810E+03
 4.22896E+01, 1.56810E+03, 4.22896E+01, 1.56890E+03, 4.22896E+01, 1.56770E+03
 4.52380E+01, 1.56780E+03, 4.52380E+01, 1.56890E+03, 4.52380E+01, 1.56930E+03
 4.81853E+01, 1.57020E+03, 4.81853E+01, 1.56770E+03, 4.81853E+01, 1.56660E+03
 5.11316E+01, 1.56830E+03, 5.11316E+01, 1.56900E+03, 5.11316E+01, 1.56950E+03
 5.40768E+01, 1.56960E+03, 5.40768E+01, 1.56610E+03, 5.40768E+01, 1.56740E+03
 5.70211E+01, 1.56730E+03, 5.70211E+01, 1.56830E+03, 5.70211E+01, 1.56860E+03
 5.99643E+01, 1.56970E+03, 5.99643E+01, 1.57310E+03, 5.99643E+01, 1.57640E+03
 6.29064E+01, 1.57030E+03, 6.29064E+01, 1.58350E+03, 6.29064E+01, 1.58690E+03
 6.58476E+01, 1.56930E+03, 6.58476E+01, 1.59880E+03, 6.58476E+01, 1.61070E+03
 6.87877E+01, 1.56740E+03, 6.87877E+01, 1.62220E+03, 6.87877E+01, 1.65550E+03
 7.17268E+01, 1.57050E+03, 7.17268E+01, 1.66910E+03, 7.17268E+01, 1.71450E+03
 7.46649E+01, 1.57030E+03, 7.46649E+01, 1.72850E+03, 7.46649E+01, 1.79410E+03
 7.76019E+01, 1.57060E+03, 7.76019E+01, 1.81750E+03, 7.76019E+01, 1.89510E+03
 8.05380E+01, 1.56920E+03, 8.05380E+01, 1.87870E+03, 8.05380E+01, 1.99660E+03
 8.34730E+01, 1.57160E+03, 8.34730E+01, 1.94880E+03, 8.34730E+01, 2.05950E+03
 8.64069E+01, 1.56860E+03, 8.64069E+01, 1.96520E+03, 8.64069E+01, 2.06590E+03
 8.93399E+01, 1.57340E+03, 8.93399E+01, 1.93180E+03, 8.93399E+01, 2.05870E+03
 9.22718E+01, 1.57060E+03, 9.22718E+01, 1.89870E+03, 9.22718E+01, 2.05160E+03
 9.52027E+01, 1.57190E+03, 9.52027E+01, 1.86790E+03, 9.52027E+01, 2.02300E+03
 9.81326E+01, 1.57180E+03, 9.81326E+01, 1.85210E+03, 9.81326E+01, 2.01810E+03
 1.01061E+02, 1.57030E+03, 1.01061E+02, 1.83790E+03, 1.01061E+02, 2.02110E+03
 1.03989E+02, 1.57030E+03, 1.03989E+02, 1.82580E+03, 1.03989E+02, 2.00430E+03
 1.06916E+02, 1.56910E+03, 1.06916E+02, 1.83040E+03, 1.06916E+02, 1.97180E+03
 1.09842E+02, 1.57210E+03, 1.09842E+02, 1.83020E+03, 1.09842E+02, 1.96480E+03
 1.12767E+02, 1.56860E+03, 1.12767E+02, 1.83610E+03, 1.12767E+02, 1.95290E+03
 1.15691E+02, 1.57110E+03, 1.15691E+02, 1.82290E+03, 1.15691E+02, 1.93820E+03
 1.18613E+02, 1.57190E+03, 1.18613E+02, 1.83220E+03, 1.18613E+02, 1.91680E+03
 1.21535E+02, 1.57240E+03, 1.21535E+02, 1.84190E+03, 1.21535E+02, 1.92300E+03
 1.24456E+02, 1.57190E+03, 1.24456E+02, 1.83390E+03, 1.24456E+02, 1.91120E+03
 1.27376E+02, 1.57140E+03, 1.27376E+02, 1.83250E+03, 1.27376E+02, 1.90160E+03
 1.30294E+02, 1.57330E+03, 1.30294E+02, 1.83560E+03, 1.30294E+02, 1.88620E+03
 1.33212E+02, 1.57460E+03, 1.33212E+02, 1.83270E+03, 1.33212E+02, 1.87750E+03
 1.36129E+02, 1.57770E+03, 1.36129E+02, 1.85190E+03, 1.36129E+02, 1.87810E+03
 1.39044E+02, 1.57500E+03, 1.39044E+02, 1.84390E+03, 1.39044E+02, 1.87600E+03
 1.41959E+02, 1.57670E+03, 1.41959E+02, 1.83350E+03, 1.41959E+02, 1.85380E+03
 1.44873E+02, 1.57800E+03, 1.44873E+02, 1.82370E+03, 1.44873E+02, 1.85920E+03
 1.47785E+02, 1.57600E+03, 1.47785E+02, 1.79980E+03, 1.47785E+02, 1.85090E+03
 1.50697E+02, 1.57960E+03, 1.50697E+02, 1.78830E+03, 1.50697E+02, 1.84940E+03
 1.53607E+02, 1.57850E+03, 1.53607E+02, 1.77720E+03, 1.53607E+02, 1.83650E+03
 1.56517E+02, 1.57490E+03, 1.56517E+02, 1.76660E+03, 1.56517E+02, 1.82370E+03
 1.59426E+02, 1.57550E+03, 1.59426E+02, 1.75820E+03, 1.59426E+02, 1.82340E+03
 1.62333E+02, 1.57420E+03, 1.62333E+02, 1.76270E+03, 1.62333E+02, 1.81230E+03
 1.65240E+02, 1.57510E+03, 1.65240E+02, 1.76390E+03, 1.65240E+02, 1.80790E+03
 1.68145E+02, 1.57790E+03, 1.68145E+02, 1.75850E+03, 1.68145E+02, 1.80240E+03
 1.71050E+02, 1.57610E+03, 1.71050E+02, 1.76060E+03, 1.71050E+02, 1.78890E+03
 1.73953E+02, 1.57360E+03, 1.73953E+02, 1.77720E+03, 1.73953E+02, 1.79500E+03
 1.76856E+02, 1.57470E+03, 1.76856E+02, 1.81030E+03, 1.76856E+02, 1.80040E+03
 1.79757E+02, 1.57630E+03, 1.79757E+02, 1.78530E+03, 1.79757E+02, 1.78130E+03
 1.82658E+02, 1.57400E+03, 1.82658E+02, 1.76920E+03, 1.82658E+02, 1.77310E+03
 1.85558E+02, 1.57730E+03, 1.85558E+02, 1.76480E+03, 1.85558E+02, 1.77230E+03
 1.88456E+02, 1.57940E+03, 1.88456E+02, 1.77170E+03, 1.88456E+02, 1.78860E+03
 1.91354E+02, 1.57860E+03, 1.91354E+02, 1.76700E+03, 1.91354E+02, 1.77140E+03
 1.94250E+02, 1.57760E+03, 1.94250E+02, 1.77770E+03, 1.94250E+02, 1.77910E+03
 1.97146E+02, 1.57470E+03, 1.97146E+02, 1.77530E+03, 1.97146E+02, 1.78240E+03
 2.00040E+02, 1.57560E+03, 2.00040E+02, 1.78080E+03, 2.00040E+02, 1.77780E+03
 2.02934E+02, 1.57660E+03, 2.02934E+02, 1.78340E+03, 2.02934E+02, 1.77810E+03
 2.05826E+02, 1.57510E+03, 2.05826E+02, 1.79040E+03, 2.05826E+02, 1.77280E+03
 2.08718E+02, 1.57770E+03, 2.08718E+02, 1.80390E+03, 2.08718E+02, 1.77610E+03
 2.11608E+02, 1.57510E+03, 2.11608E+02, 1.80180E+03, 2.11608E+02, 1.78850E+03
 2.14498E+02, 1.57490E+03, 2.14498E+02, 1.81320E+03, 2.14498E+02, 1.78240E+03
 2.17386E+02, 1.57810E+03, 2.17386E+02, 1.82090E+03, 2.17386E+02, 1.77800E+03
 2.20274E+02, 1.57780E+03, 2.20274E+02, 1.82600E+03, 2.20274E+02, 1.79300E+03
 2.23160E+02, 1.57380E+03, 2.23160E+02, 1.83520E+03, 2.23160E+02, 1.81170E+03
 2.26046E+02, 1.57600E+03, 2.26046E+02, 1.84270E+03, 2.26046E+02, 1.82680E+03
 2.28930E+02, 1.57450E+03, 2.28930E+02, 1.86010E+03, 2.28930E+02, 1.85070E+03
 2.31814E+02, 1.57240E+03, 2.31814E+02, 1.88120E+03, 2.31814E+02, 1.87270E+03
 2.34696E+02, 1.57620E+03, 2.34696E+02, 1.88470E+03, 2.34696E+02, 1.85920E+03
 2.37578E+02, 1.57620E+03, 2.37578E+02, 1.90690E+03, 2.37578E+02, 1.87190E+03
 2.40459E+02, 1.57490E+03, 2.40459E+02, 1.95250E+03, 2.40459E+02, 1.86320E+03
 2.43338E+02, 1.57420E+03, 2.43338E+02, 2.00030E+03, 2.43338E+02, 1.86930E+03
 2.46217E+02, 1.57650E+03, 2.46217E+02, 2.07490E+03, 2.46217E+02, 1.86670E+03
 2.49094E+02, 1.57630E+03, 2.49094E+02, 2.16350E+03, 2.49094E+02, 1.88040E+03
 2.51971E+02, 1.57480E+03, 2.51971E+02, 2.18400E+03, 2.51971E+02, 1.86800E+03
 2.54847E+02, 1.57340E+03, 2.54847E+02, 2.13340E+03, 2.54847E+02, 1.87790E+03
 2.57721E+02, 1.57230E+03, 2.57721E+02, 2.10340E+03, 2.57721E+02, 1.88160E+03
 2.60595E+02, 1.57280E+03, 2.60595E+02, 2.07800E+03, 2.60595E+02, 1.87270E+03
 2.63467E+02, 1.57380E+03, 2.63467E+02, 2.04480E+03, 2.63467E+02, 1.89150E+03
 2.66339E+02, 1.57310E+03, 2.66339E+02, 2.01520E+03, 2.66339E+02, 1.89830E+03
 2.69210E+02, 1.57190E+03, 2.69210E+02, 1.98620E+03, 2.69210E+02, 1.89810E+03
 2.72079E+02, 1.57400E+03, 2.72079E+02, 1.93780E+03, 2.72079E+02, 1.89450E+03
