Radial distance r (atomic units), calculated hydrogen wavefunction from basis of four gaussians (atomic units) with 1000 points,Radial distance r (a.u.), Calculated helium wavefunction
0.0,1.2132327701053789,0.01,1.3141726130787124
0.005005005005005,1.2129095663609015,0.02,1.2882314716619403
0.01001001001001,1.2119414470647414,0.03,1.2628552235688135
0.015015015015015,1.2103328742077255,0.04,1.2380314256715572
0.02002002002002,1.2080912385552287,0.05,1.213747826863947
0.025025025025025,1.205226791458831,0.06,1.1899923741006289
0.03003003003003,1.201752550662662,0.07,1.1667532173891542
0.035035035035035,1.1976841813483303,0.08,1.1440187138293332
0.04004004004004,1.1930398539810096,0.09,1.1217774307870754
0.045045045045045,1.1878400808114575,0.1,1.1000181482832971
0.05005005005005,1.1821075331497413,0.11,1.0787298606721265
0.055055055055055,1.17586684175209,0.12,1.057901777676914
0.06006006006006,1.1691443828492902,0.13,1.0375233248470566
0.065065065065065,1.1619680524907072,0.14,1.0175841434936492
0.07007007007007,1.1543670319806505,0.15,0.998074090157382
0.075075075075075,1.146371547242416,0.16,0.978983235657636
0.08008008008008,1.1380126249599167,0.17,0.9603018637678792
0.085085085085085,1.1293218483180354,0.18,0.9420204695586208
0.09009009009009,1.1203311150923516,0.19,0.9241297574458652
0.095095095095095,1.1110724007289063,0.2,0.9066206389796796
0.1001001001001,1.1015775289082288,0.21,0.8894842304047016
0.1051051051051051,1.091877951908511,0.22,0.8727118500215933
0.1101101101101101,1.0820045428746603,0.23,0.8562950153759492
0.1151151151151151,1.0719874018674902,0.24,0.8402254402988822
0.1201201201201201,1.0618556773153005,0.25,0.8244950318213373
0.1251251251251251,1.0516374042235754,0.26,0.8090958869822388
0.1301301301301301,1.0413593602224809,0.27,0.7940202895486982
0.1351351351351351,1.0310469402513716,0.28,0.7792607066649041
0.1401401401401401,1.0207240503995276,0.29,0.7648097854447133
0.1451451451451451,1.0104130211474276,0.3,0.7506603495215974
0.1501501501501501,1.0001345399875543,0.31,0.7368053955682103
0.1551551551551551,0.9899076031518363,0.32,0.723238089796721
0.1601601601601601,0.9797494859380323,0.33,0.709951764449912
0.1651651651651651,0.9696757309126132,0.34,0.6969399142919944
0.1701701701701701,0.9597001530755565,0.35,0.6841961931072605
0.1751751751751751,0.9498348609048306,0.36,0.67171441021372
0.1801801801801801,0.9400902920566598,0.37,0.6594885269981594
0.1851851851851851,0.9304752623826824,0.38,0.6475126534783394
0.1901901901901901,0.92099702683718,0.39,0.6357810448973551
0.1951951951951951,0.9116613507863834,0.4,0.6242880983546013
0.2002002002002001,0.9024725901967596,0.41,0.6130283494772731
0.2052052052052052,0.8934337791689827,0.42,0.6019964691357528
0.2102102102102102,0.8845467232974759,0.43,0.5911872602058361
0.2152152152152152,0.875812097370106,0.44,0.5805956543803477
0.2202202202202202,0.8672295459766999,0.45,0.570216709032231
0.2252252252252252,0.8587977856662135,0.46,0.5600456041309774
0.2302302302302302,0.8505147073781498,0.47,0.5500776392138129
0.2352352352352352,0.8423774779716446,0.48,0.5403082304128911
0.2402402402402402,0.8343826397829556,0.49,0.530732907539421
0.2452452452452452,0.8265262072563565,0.5,0.5213473112254238
0.2502502502502503,0.8188037598122144,0.51,0.5121471901236494
0.2552552552552553,0.8112105302369511,0.52,0.5031283981659352
0.2602602602602603,0.8037414880005103,0.53,0.4942868918801717
0.2652652652652653,0.7963914170258725,0.54,0.4856187277658363
0.2702702702702703,0.7891549875503001,0.55,0.4771200597279913
0.2752752752752753,0.7820268218278194,0.56,0.4687871365694109
0.2802802802802803,0.7750015535256448,0.5700000000000001,0.4606162995405325
0.2852852852852853,0.7680738807627565,0.58,0.4526039799466892
0.2902902902902903,0.761238612825835,0.59,0.4447466968121071
0.2952952952952953,0.7544907106756497,0.6,0.4370410546000252
0.3003003003003003,0.7478253214254259,0.61,0.4294837409882017
0.3053053053053053,0.7412378070315151,0.62,0.4220715246991146
0.3103103103103103,0.7347237674859063,0.63,0.4148012533839783
0.3153153153153153,0.7282790588399459,0.64,0.4076698515597883
0.3203203203203203,0.7218998064194184,0.65,0.4006743185984574
0.3253253253253253,0.7155824136133747,0.66,0.3938117267671812
0.3303303303303303,0.709323566633343,0.67,0.3870792193190362
0.3353353353353353,0.703120235646486,0.68,0.3804740086329098
0.3403403403403403,0.6969696726865875,0.6900000000000001,0.3739933744017532
0.3453453453453453,0.6908694067412197,0.7000000000000001,0.3676346618681708
0.3503503503503503,0.6848172364028244,0.71,0.3613952801063836
0.3553553553553553,0.6788112204565195,0.72,0.3552727003495337
0.3603603603603603,0.6728496667589483,0.73,0.349264454361356
0.3653653653653653,0.6669311197411918,0.74,0.3433681328512144
0.3703703703703703,0.661054346845309,0.75,0.3375813839314944
0.3753753753753753,0.6552183241791338,0.76,0.3319019116163799
0.3803803803803803,0.6494222216481138,0.77,0.3263274743610311
0.3853853853853853,0.6436653877967424,0.78,0.3208558836401728
0.3903903903903903,0.6379473345660225,0.79,0.3154850025651456
0.3953953953953953,0.6322677221477453,0.8,0.3102127445384706
0.4004004004004003,0.6266263440915857,0.81,0.3050370719449729
