TRA280-coin-cell-lab
		D/C Ratio	D/C Ratio	Charging	Charging	Charging	Discharging	Discharging	Discharging
Data	Cycle	Capacity	Energy	Duration	Current	Capacity	Duration	Current	Capacity
File		Efficiency	Efficiency		Avg	Total		Avg	Total
	#	%	%	min	mA	mAh/g	min	mA	mAh/g
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	0	0.00	0.00	0.00	0	0	0.00	0	0
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	1	76.49	72.36	645.63	0.071928	0.76302	445.91	0.078537	0.58367
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	2	98.42	93.24	464.13	0.076253	0.58867	442.57	0.078543	0.57935
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	3	90.51	84.77	234.31	0.15022	0.58220	201.93	0.15658	0.52698
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	4	98.29	92.17	215.44	0.14920	0.52959	198.41	0.15741	0.52053
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	5	71.19	63.99	51.94	0.69276	0.51898	28.23	0.78537	0.36945
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	6	96.14	87.61	30.69	0.75383	0.36782	27.02	0.78537	0.35362
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	7	96.98	88.61	29.48	0.75301	0.35329	26.18	0.78538	0.34261
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	8	98.60	90.24	28.67	0.75266	0.34278	25.82	0.78541	0.33799
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	9	98.20	89.94	28.35	0.75286	0.33829	25.38	0.78538	0.33220
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	10	98.84	90.57	27.91	0.75293	0.33254	25.11	0.78540	0.32867
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	11	99.13	90.94	27.67	0.75328	0.32923	24.94	0.78538	0.32638
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	12	98.35	90.28	27.48	0.75391	0.32691	24.56	0.78537	0.32151
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	13	98.62	90.51	27.10	0.75431	0.32189	24.25	0.78539	0.31744
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	14	98.83	90.75	26.79	0.75479	0.31801	24.01	0.78536	0.31428
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	15	99.10	91.04	26.54	0.75947	0.31481	23.84	0.78534	0.31199
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	16	98.98	90.94	26.34	0.75971	0.31256	23.64	0.78536	0.30936
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	17	99.05	91.04	26.13	0.75997	0.30991	23.45	0.78539	0.30697
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	18	99.15	91.16	25.94	0.75847	0.30755	23.30	0.78539	0.30494
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	19	99.10	91.13	25.77	0.76050	0.30551	23.13	0.78539	0.30274
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	20	99.01	91.07	25.58	0.76071	0.30329	22.94	0.78539	0.30030
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	21	99.25	91.26	25.38	0.76083	0.30075	22.81	0.78538	0.29849
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	22	99.45	91.48	25.24	0.76096	0.29908	22.73	0.78535	0.29743
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	23	99.40	91.48	25.16	0.76109	0.29801	22.63	0.78539	0.29622
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	24	99.39	91.49	25.06	0.76118	0.29679	22.54	0.78539	0.29499
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	25	99.15	91.28	24.95	0.76136	0.29552	22.39	0.78542	0.29301
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	26	99.64	91.68	24.79	0.76141	0.29343	22.34	0.78537	0.29237
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	27	99.78	91.84	24.76	0.76156	0.29300	22.34	0.78540	0.29235
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	28	99.61	91.73	24.75	0.76174	0.29293	22.29	0.78539	0.29179
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	29	99.62	91.76	24.70	0.76184	0.29234	22.25	0.78539	0.29124
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	30	99.66	91.81	24.65	0.76197	0.29177	22.22	0.78538	0.29078
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	31	99.66	91.82	24.61	0.76207	0.29132	22.18	0.78537	0.29032
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	32	99.26	91.48	24.56	0.76213	0.29085	22.06	0.78536	0.28868
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	33	99.39	91.51	24.43	0.76195	0.28902	21.95	0.78537	0.28725
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	34	99.58	91.68	24.32	0.76222	0.28771	21.89	0.78538	0.28649
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	35	99.63	91.74	24.29	0.76214	0.28701	21.85	0.78540	0.28594
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	36	99.55	91.68	24.24	0.76240	0.28643	21.79	0.78541	0.28515
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	37	99.75	91.87	24.17	0.76239	0.28562	21.77	0.78543	0.28491
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	38	99.63	91.74	24.15	0.76247	0.28542	21.73	0.78537	0.28435
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	39	99.84	91.96	24.12	0.76247	0.28488	21.73	0.78538	0.28443
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	40	99.77	91.91	24.12	0.76186	0.28498	21.72	0.78542	0.28432
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	41	99.69	91.86	24.11	0.76278	0.28485	21.69	0.78540	0.28396
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	42	99.67	91.86	24.07	0.76287	0.28447	21.66	0.78537	0.28354
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	43	99.76	91.96	24.04	0.76286	0.28407	21.65	0.78538	0.28337
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	44	99.63	91.85	24.03	0.76288	0.28391	21.61	0.78535	0.28286
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	45	99.65	91.87	23.98	0.76300	0.28338	21.57	0.78541	0.28237
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	46	99.68	91.90	23.94	0.76301	0.28286	21.54	0.78539	0.28195
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	47	100.13	92.39	23.92	0.76297	0.28263	21.62	0.78536	0.28300
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	48	99.74	92.14	24.00	0.76317	0.28371	21.62	0.78535	0.28297
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	49	99.44	91.90	23.98	0.76318	0.28358	21.54	0.78539	0.28199
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	50	99.47	91.87	23.77	0.76329	0.28223	21.45	0.78534	0.28074
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	51	99.84	92.23	23.80	0.76315	0.28144	21.47	0.78539	0.28100
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	52	99.34	91.84	23.80	0.76336	0.28169	21.38	0.78539	0.27982
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	53	99.39	91.83	23.67	0.76495	0.28019	21.28	0.78537	0.27847
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	54	99.98	92.41	23.59	0.76335	0.27910	21.32	0.78539	0.27904
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	55	99.36	91.90	23.61	0.76357	0.27966	21.23	0.78541	0.27787
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	56	99.36	91.83	23.48	0.76358	0.27825	21.12	0.78537	0.27647
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	57	99.70	92.19	23.40	0.76348	0.27711	21.11	0.78539	0.27627
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	58	99.38	91.99	23.36	0.76365	0.27693	21.03	0.78536	0.27522
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	59	99.38	91.93	23.24	0.76370	0.27561	20.93	0.78537	0.27391
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	60	99.59	92.17	23.15	0.76358	0.27453	20.89	0.78535	0.27341
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	61	99.24	91.90	23.10	0.76371	0.27400	20.78	0.78537	0.27191
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	62	99.34	91.94	22.96	0.76713	0.27234	20.67	0.78540	0.27054
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	63	99.64	92.27	22.86	0.76699	0.27114	20.64	0.78539	0.27015
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	64	99.41	92.13	22.82	0.76720	0.27080	20.57	0.78540	0.26919
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	65	99.50	92.20	22.71	0.76715	0.26966	20.50	0.78537	0.26831
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	66	99.94	92.68	22.65	0.76715	0.26894	20.53	0.78539	0.26877
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	67	99.14	91.86	22.62	0.76742	0.26922	20.39	0.78540	0.26690
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	68	99.22	91.92	22.48	0.76726	0.26734	20.26	0.78543	0.26524
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	69	99.36	92.07	22.35	0.76716	0.26576	20.18	0.78538	0.26406
TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr	70	0.00	0.00	16.85	0.78538	0.22058	0.00	0	0
