Data File:	TRA280-lab_LFP-Gr_cell-3_GO_Run01_LFP-Gr
Mass (g):	0.00000000
Surface Area (cm2):	0.78500000
TRA280-coin-cell-lab
Cycle	Mode	Capacity_Cycle	CellV	Current	Power	Energy	Energy_Cycle	Time
 	 	 (mAh/g)	 (V)	 (mA)	 (mW)	 (mWh)	 (mWh)	 (min)
2	C	0	0.3240	0.078243	0.025352	6.2184E-06	6.2184E-06	0.02
2	C	2.1819E-05	0.3834	0.078539	0.030113	1.4253E-05	1.4253E-05	0.03
2	C	4.3635E-05	0.4410	0.078537	0.034637	2.3564E-05	2.3564E-05	0.05
2	C	6.5451E-05	0.4946	0.078537	0.038848	3.4068E-05	3.4068E-05	0.07
2	C	8.7267E-05	0.5447	0.078538	0.042777	4.5681E-05	4.5681E-05	0.08
2	C	0.00010908	0.5913	0.078536	0.046438	5.833E-05	5.833E-05	0.10
2	C	0.0001309	0.6346	0.078537	0.04984	7.1942E-05	7.1942E-05	0.12
2	C	0.00015271	0.6751	0.078536	0.053018	8.6452E-05	8.6452E-05	0.13
2	C	0.00017453	0.7130	0.078537	0.055993	0.0001018	0.0001018	0.15
2	C	0.00019635	0.7487	0.078537	0.058802	0.00011794	0.00011794	0.17
2	C	0.00021816	0.7823	0.078537	0.061438	0.00013483	0.00013483	0.18
2	C	0.00023998	0.8142	0.078537	0.063941	0.00015242	0.00015242	0.20
2	C	0.00026179	0.8444	0.078537	0.066316	0.00017067	0.00017067	0.22
2	C	0.00028361	0.8731	0.078537	0.068568	0.00018956	0.00018956	0.23
2	C	0.00030542	0.9004	0.078537	0.070716	0.00020906	0.00020906	0.25
2	C	0.00032724	0.9266	0.078538	0.072772	0.00022913	0.00022913	0.27
2	C	0.00034906	0.9516	0.078537	0.074739	0.00024976	0.00024976	0.28
2	C	0.00037087	0.9755	0.078536	0.076614	0.00027091	0.00027091	0.30
2	C	0.00039269	0.9986	0.078536	0.078428	0.00029257	0.00029257	0.32
2	C	0.0004145	1.0208	0.078537	0.080173	0.00031472	0.00031472	0.33
2	C	0.00043632	1.0419	0.078537	0.081829	0.00033734	0.00033734	0.35
2	C	0.00045814	1.0624	0.078538	0.083441	0.0003604	0.0003604	0.37
2	C	0.00047995	1.0823	0.078537	0.085002	0.00038391	0.00038391	0.38
2	C	0.00050177	1.1015	0.078536	0.08651	0.00040783	0.00040783	0.40
2	C	0.00052358	1.1200	0.078537	0.087965	0.00043217	0.00043217	0.42
2	C	0.0005454	1.1380	0.078536	0.089378	0.0004569	0.0004569	0.43
2	C	0.00056721	1.1554	0.078536	0.090743	0.00048201	0.00048201	0.45
2	C	0.00058903	1.1723	0.078537	0.092068	0.00050749	0.00050749	0.47
2	C	0.00061085	1.1888	0.078537	0.093367	0.00053333	0.00053333	0.48
2	C	0.00063266	1.2047	0.078537	0.094611	0.00055953	0.00055953	0.50
2	C	0.00065448	1.2204	0.078536	0.095847	0.00058607	0.00058607	0.52
2	C	0.00067629	1.2358	0.078537	0.097056	0.00061294	0.00061294	0.53
2	C	0.00069811	1.2509	0.078537	0.098243	0.00064015	0.00064015	0.55
2	C	0.00071993	1.2659	0.078537	0.099418	0.00066768	0.00066768	0.57
2	C	0.00074174	1.2806	0.078537	0.10057	0.00069554	0.00069554	0.58
2	C	0.00076356	1.2951	0.078537	0.10171	0.00072371	0.00072371	0.60
2	C	0.00078537	1.3095	0.078537	0.10285	0.0007522	0.0007522	0.62
2	C	0.00080719	1.3237	0.078537	0.10396	0.000781	0.000781	0.63
2	C	0.000829	1.3379	0.078537	0.10507	0.00081011	0.00081011	0.65
2	C	0.00085082	1.3519	0.078536	0.10617	0.00083952	0.00083952	0.67
2	C	0.00087264	1.3656	0.078537	0.10725	0.00086924	0.00086924	0.68
2	C	0.00089445	1.3793	0.078536	0.10832	0.00089926	0.00089926	0.70
2	C	0.00091627	1.3925	0.078538	0.10937	0.00092956	0.00092956	0.72
2	C	0.00093808	1.4058	0.078538	0.11041	0.00096016	0.00096016	0.73
2	C	0.0009599	1.4187	0.078537	0.11142	0.00099104	0.00099104	0.75
2	C	0.00098172	1.4314	0.078538	0.11242	0.0010222	0.0010222	0.77
2	C	0.0010035	1.4439	0.078537	0.1134	0.0010536	0.0010536	0.78
2	C	0.0010253	1.4560	0.078537	0.11435	0.0010853	0.0010853	0.80
2	C	0.0010472	1.4680	0.078536	0.11529	0.0011173	0.0011173	0.82
2	C	0.001069	1.4798	0.078537	0.11622	0.0011495	0.0011495	0.83
2	C	0.0010908	1.4913	0.078537	0.11713	0.001182	0.001182	0.85
2	C	0.0011126	1.5025	0.078537	0.118	0.0012147	0.0012147	0.87
2	C	0.0011344	1.5135	0.078538	0.11887	0.0012477	0.0012477	0.88
2	C	0.0011562	1.5243	0.078536	0.11971	0.0012809	0.0012809	0.90
