Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
0.00000000, -809.33836360, 0.00000000, -809.33836360, 0.00000000
0.00100000, -809.53127351, 0.19247502, -809.33879849, 5.81661421
0.00200000, -810.10540999, 0.76509046, -809.34031952, 23.12110977
0.00300000, -811.04583209, 1.70364718, -809.34218491, 51.48438704
0.00400000, -812.32975722, 2.98522691, -809.34453030, 90.21385361
0.00500000, -813.92738368, 4.57925671, -809.34812697, 138.38559248
0.00600000, -815.79983580, 6.44888944, -809.35094636, 194.88607899
0.00700000, -817.90693251, 8.55257931, -809.35435320, 258.45979594
0.00800000, -820.20324520, 10.84573109, -809.35751411, 327.75907017
0.00900000, -822.64283059, 13.28230911, -809.36052148, 401.39270000
0.01000000, -825.17917797, 15.81631504, -809.36286293, 477.97061071
0.01100000, -827.76835018, 18.40305224, -809.36529794, 556.14206577
0.01200000, -830.36838500, 21.00001580, -809.36836920, 634.62256211
0.01300000, -832.93912671, 23.56738866, -809.37173806, 712.20882483
0.01400000, -835.44466145, 26.06851528, -809.37614617, 787.79311960
0.01500000, -837.84936049, 28.47043729, -809.37892320, 860.37944129
0.01600000, -840.12643854, 30.74440649, -809.38203205, 929.09901630
0.01700000, -842.25114613, 32.86632988, -809.38481625, 993.22375194
0.01800000, -844.20365689, 34.81703377, -809.38662312, 1052.17421698
0.01900000, -845.96967259, 36.58208202, -809.38759057, 1105.51415044
0.02000000, -847.54095064, 38.15122036, -809.38973028, 1152.93366688
0.02100000, -848.90867440, 39.51749398, -809.39118042, 1194.22259107
0.02200000, -850.06986668, 40.67639816, -809.39346852, 1229.24479067
0.02300000, -851.01982399, 41.62562917, -809.39419482, 1257.93064593
0.02400000, -851.76027541, 42.36524091, -809.39503450, 1280.28178612
0.02500000, -852.29297038, 42.89775139, -809.39521900, 1296.37430556
0.02600000, -852.62289654, 43.22804430, -809.39485223, 1306.35579028
0.02700000, -852.75602009, 43.36305468, -809.39296541, 1310.43581723
0.02800000, -852.70417391, 43.31132781, -809.39284609, 1308.87262628
0.02900000, -852.47397858, 43.08236409, -809.39161448, 1301.95331991
0.03000000, -852.07757011, 42.68588086, -809.39168926, 1289.97155711
0.03100000, -851.52195250, 42.13154770, -809.39040480, 1273.21955411
0.03200000, -850.81760085, 41.42937001, -809.38823084, 1251.99967449
0.03300000, -849.97729010, 40.59021017, -809.38707994, 1226.64018080
0.03400000, -849.01296105, 39.62604014, -809.38692091, 1197.50286690
0.03500000, -847.93558982, 38.55009063, -809.38549919, 1164.98756577
0.03600000, -846.76139077, 37.37687280, -809.38451798, 1129.53280648
0.03700000, -845.50540974, 36.12215754, -809.38325220, 1091.61518678
0.03800000, -844.18476860, 34.80281576, -809.38195284, 1051.74454735
0.03900000, -842.81717233, 33.43660798, -809.38056436, 1010.45761246
0.04000000, -841.42005160, 32.04200065, -809.37805094, 968.31244068
0.04100000, -840.01386907, 30.63806741, -809.37580166, 925.88543862
0.04200000, -838.61825633, 29.24422696, -809.37402937, 883.76344199
0.04300000, -837.25161494, 27.87981452, -809.37180042, 842.53076260
0.04400000, -835.93493985, 26.56373550, -809.37120434, 802.75872406
0.04500000, -834.68290000, 25.31407046, -809.36882954, 764.99372233
0.04600000, -833.51557653, 24.14766152, -809.36791501, 729.74472844
0.04700000, -832.44591811, 23.07970794, -809.36621017, 697.47106505
0.04800000, -831.48832271, 22.12332753, -809.36499518, 668.56915429
0.04900000, -830.65300531, 21.28918721, -809.36381810, 643.36135103
0.05000000, -829.94755359, 20.58533580, -809.36221779, 622.09089139
0.05100000, -829.37849535, 20.01709074, -809.36140461, 604.91846930
0.05200000, -828.94852469, 19.58693087, -809.36159382, 591.91899528
0.05300000, -828.65562552, 19.29453364, -809.36109188, 583.08272195
0.05400000, -828.49948740, 19.13682628, -809.36266112, 578.31678996
0.05500000, -828.47142134, 19.10811797, -809.36330338, 577.44922188
